도번,LG부품,LG품명,역할,비고
AJR30027715,MJU66749301,"Tube,Connector",제작동관,
AJR30037603,5210A30334L,"Tube,Pinch Off",제작동관,
AJR30037604,5210A30334L,"Tube,Pinch Off",제작동관,
AJR30038101,MJU66824505,"Tube,Connector",제작동관,
AJR30038101,MJU66824602,"Tube,Connector",제작동관,
AJR30038101,MJU66824603,"Tube,Connector",제작동관,
AJR30065822,4930A20053A,"Holder,Sensor",반제품,
AJR30065823,4930A20053A,"Holder,Sensor",반제품,
AJR30065824,4930A20053A,"Holder,Sensor",반제품,
AJR30065901,AJR73665401,"Tube Assembly,Evaporator",반제품,
AJR30065902,AJR73743901,"Tube Assembly,Evaporator",반제품,
AJR30075101,4930A20053A,"Holder,Sensor",반제품,
AJR30075401,4930A20053A,"Holder,Sensor",반제품,
AJR30075401,4A00114D,"Tube,Connector",제작동관,
AJR30075401,MJC62721914,Strainer,제작동관,
AJR30075401,MJU66779319,"Tube,Connector",제작동관,
AJR30075401,MJU66894824,"Tube,Connector",제작동관,
AJR30075401,MJU66894825,"Tube,Connector",제작동관,
AJR30075401,MJU66928302,"Tube,Connector",제작동관,
AJR30075401,MJU66928303,"Tube,Connector",제작동관,
AJR30075401,MJU66928304,"Tube,Connector",제작동관,
AJR30075401,MJU66928305,"Tube,Connector",제작동관,
AJR30075401,MJU66928307,"Tube,Connector",제작동관,
AJR30075401,MJU66928308,"Tube,Connector",제작동관,
AJR30075401,MJU66928310,"Tube,Connector",제작동관,
AJR30075401,MJU66928311,"Tube,Connector",제작동관,
AJR30078601,4H00049A,"Tube,Pinch Off",제작동관,
AJR30078701,4H00049A,"Tube,Pinch Off",제작동관,
AJR30078702,4H00049A,"Tube,Pinch Off",제작동관,
AJR30083101,MJU00892201,"Tube,Connector",제작동관,
AJR30083101,MJU00893412,"Tube,Connector",제작동관,
AJR30083101,MJU66466401,"Tube,Connector",제작동관,
AJR30083102,5211A22074A,"Tube Assembly,Connector",반제품,
AJR30083102,MJU00892201,"Tube,Connector",제작동관,
AJR30083102,MJU00893412,"Tube,Connector",제작동관,
AJR30083102,MJU66466401,"Tube,Connector",제작동관,
AJR30102201,4930A20053A,"Holder,Sensor",반제품,
AJR30106101,4A00114D,"Tube,Connector",제작동관,
AJR30106101,MJU66932515,"Tube,Connector",제작동관,
AJR30106101,MJU66932528,"Tube,Connector",제작동관,
AJR30106101,MJU66932531,"Tube,Connector",제작동관,
AJR30116701,4H00049A,"Tube,Pinch Off",제작동관,
AJR30125601,MJU00752801,"Tube,Connector",제작동관,
AJR30125601,MJU00752802,"Tube,Connector",제작동관,
AJR30125601,MJU00752901,"Tube,Connector",제작동관,
AJR30125601,MJU00776505,"Tube,Connector",제작동관,
AJR30125601,MJU00776701,"Tube,Connector",제작동관,
AJR30125601,MJU00776705,"Tube,Connector",제작동관,
AJR30125601,MJU00776713,"Tube,Connector",제작동관,
AJR30125601,MJU00776714,"Tube,Connector",제작동관,
AJR30125601,MJU66478405,"Tube,Connector",제작동관,
AJR30125601,MJU66478704,"Tube,Connector",제작동관,
AJR30125601,MJU66478902,"Tube,Connector",제작동관,
AJR30125601,MJU66479001,"Tube,Connector",제작동관,
AJR30125601,MJU66479002,"Tube,Connector",제작동관,
AJR30125601,MJU66904602,"Tube,Connector",제작동관,
AJR30125601,MJU66904603,"Tube,Connector",제작동관,
AJR30125601,MJU66904605,"Tube,Connector",제작동관,
AJR30125602,MJU00752901,"Tube,Connector",제작동관,
AJR30125603,MJU00752801,"Tube,Connector",제작동관,
