도번,LG부품,LG품명,역할,도번의 자도번후보,자도번수,추천(단일시 자동),← 확정 자도번
AJR30133701,MJU00777301,"Tube,Connector",제작동관,AJR30133701-SUB-1 | AJR30133701-SUB-2,2,,
AJR30133701,MJU00777302,"Tube,Connector",제작동관,AJR30133701-SUB-1 | AJR30133701-SUB-2,2,,
AJR30133701,MJU65528010,"Tube,Connector",제작동관,AJR30133701-SUB-1 | AJR30133701-SUB-2,2,,
AJR30133701,MJU65528065,"Tube,Connector",제작동관,AJR30133701-SUB-1 | AJR30133701-SUB-2,2,,
AJR30133701,MJU66503306,"Tube,Connector",제작동관,AJR30133701-SUB-1 | AJR30133701-SUB-2,2,,
AJR30133701,MJU66853301,"Tube,Connector",제작동관,AJR30133701-SUB-1 | AJR30133701-SUB-2,2,,
AJR30133701,MJU66853304,"Tube,Connector",제작동관,AJR30133701-SUB-1 | AJR30133701-SUB-2,2,,
AJR30133702,MJU00776604,"Tube,Connector",제작동관,AJR30133702-SUB-1 | AJR30133702-SUB-2,2,,
AJR30133702,MJU00776606,"Tube,Connector",제작동관,AJR30133702-SUB-1 | AJR30133702-SUB-2,2,,
AJR30133702,MJU00776607,"Tube,Connector",제작동관,AJR30133702-SUB-1 | AJR30133702-SUB-2,2,,
AJR30133702,MJU00776608,"Tube,Connector",제작동관,AJR30133702-SUB-1 | AJR30133702-SUB-2,2,,
AJR30133702,MJU00776609,"Tube,Connector",제작동관,AJR30133702-SUB-1 | AJR30133702-SUB-2,2,,
AJR30133702,MJU00776610,"Tube,Connector",제작동관,AJR30133702-SUB-1 | AJR30133702-SUB-2,2,,
AJR30133702,MJU00776611,"Tube,Connector",제작동관,AJR30133702-SUB-1 | AJR30133702-SUB-2,2,,
AJR30133702,MJU00776612,"Tube,Connector",제작동관,AJR30133702-SUB-1 | AJR30133702-SUB-2,2,,
AJR30133702,MJU00776614,"Tube,Connector",제작동관,AJR30133702-SUB-1 | AJR30133702-SUB-2,2,,
AJR30133702,MJU00777105,"Tube,Connector",제작동관,AJR30133702-SUB-1 | AJR30133702-SUB-2,2,,
AJR30133702,MJU00777303,"Tube,Connector",제작동관,AJR30133702-SUB-1 | AJR30133702-SUB-2,2,,
AJR30133702,MJU00777304,"Tube,Connector",제작동관,AJR30133702-SUB-1 | AJR30133702-SUB-2,2,,
AJR30133702,MJU65528009,"Tube,Connector",제작동관,AJR30133702-SUB-1 | AJR30133702-SUB-2,2,,
AJR30133702,MJU65528066,"Tube,Connector",제작동관,AJR30133702-SUB-1 | AJR30133702-SUB-2,2,,
AJR30133702,MJU66503306,"Tube,Connector",제작동관,AJR30133702-SUB-1 | AJR30133702-SUB-2,2,,
AJR30133702,MJU66853304,"Tube,Connector",제작동관,AJR30133702-SUB-1 | AJR30133702-SUB-2,2,,
AJR30133703,MJU00777105,"Tube,Connector",제작동관,AJR30133703-SUB-1 | AJR30133703-SUB-2,2,,
AJR30133703,MJU00777305,"Tube,Connector",제작동관,AJR30133703-SUB-1 | AJR30133703-SUB-2,2,,
AJR30133703,MJU00777306,"Tube,Connector",제작동관,AJR30133703-SUB-1 | AJR30133703-SUB-2,2,,
AJR30133703,MJU00855303,"Tube,Connector",제작동관,AJR30133703-SUB-1 | AJR30133703-SUB-2,2,,
AJR30133703,MJU00855304,"Tube,Connector",제작동관,AJR30133703-SUB-1 | AJR30133703-SUB-2,2,,
AJR30133703,MJU00855305,"Tube,Connector",제작동관,AJR30133703-SUB-1 | AJR30133703-SUB-2,2,,
AJR30133703,MJU00855308,"Tube,Connector",제작동관,AJR30133703-SUB-1 | AJR30133703-SUB-2,2,,
AJR30133703,MJU00855309,"Tube,Connector",제작동관,AJR30133703-SUB-1 | AJR30133703-SUB-2,2,,
AJR30133703,MJU00855310,"Tube,Connector",제작동관,AJR30133703-SUB-1 | AJR30133703-SUB-2,2,,
AJR30133703,MJU65528009,"Tube,Connector",제작동관,AJR30133703-SUB-1 | AJR30133703-SUB-2,2,,
AJR30133703,MJU65528066,"Tube,Connector",제작동관,AJR30133703-SUB-1 | AJR30133703-SUB-2,2,,
AJR30133703,MJU66503307,"Tube,Connector",제작동관,AJR30133703-SUB-1 | AJR30133703-SUB-2,2,,
AJR30133703,MJU66853304,"Tube,Connector",제작동관,AJR30133703-SUB-1 | AJR30133703-SUB-2,2,,
AJR30133709,MJU00777313,"Tube,Connector",제작동관,AJR30133709-SUB-1 | AJR30133709-SUB-2,2,,
AJR30133709,MJU00777315,"Tube,Connector",제작동관,AJR30133709-SUB-1 | AJR30133709-SUB-2,2,,
AJR30133709,MJU00855303,"Tube,Connector",제작동관,AJR30133709-SUB-1 | AJR30133709-SUB-2,2,,
AJR30133709,MJU00855304,"Tube,Connector",제작동관,AJR30133709-SUB-1 | AJR30133709-SUB-2,2,,
AJR30133709,MJU00873804,"Tube,Connector",제작동관,AJR30133709-SUB-1 | AJR30133709-SUB-2,2,,
AJR30133709,MJU65528010,"Tube,Connector",제작동관,AJR30133709-SUB-1 | AJR30133709-SUB-2,2,,
AJR30133709,MJU66503308,"Tube,Connector",제작동관,AJR30133709-SUB-1 | AJR30133709-SUB-2,2,,
AJR30133709,MJU66853301,"Tube,Connector",제작동관,AJR30133709-SUB-1 | AJR30133709-SUB-2,2,,
AJR30133709,MJU66853304,"Tube,Connector",제작동관,AJR30133709-SUB-1 | AJR30133709-SUB-2,2,,
AJR30161402,MJU00855804,"Tube,Connector",제작동관,AJR30161402-A-S-1,1,AJR30161402-A-S-1,
AJR30161404,MJU65528066,"Tube,Connector",제작동관,AJR30161404-A-S-1,1,AJR30161404-A-S-1,
AJR30161406,MJU65528065,"Tube,Connector",제작동관,AJR30161406-A-S-1,1,AJR30161406-A-S-1,
AJR30161408,MJU65528065,"Tube,Connector",제작동관,AJR30161408-A-S-1,1,AJR30161408-A-S-1,
AJR30167201,MJU00780003,"Tube,Connector",제작동관,AJR30167201-A-S-1 | AJR30167201-SUB,2,,
AJR32563602,4930A20053A,"Holder,Sensor",반제품,AJR32563602-고압 | AJR32563602-저압,2,,
AJR34565827,MJU64093707,"Tube,Condenser",제작동관,AJR34565827-1-1 | AJR34565827-1-2 | AJR34565827-R1-3,3,,
AJR34565827,MJU64093708,"Tube,Condenser",제작동관,AJR34565827-1-1 | AJR34565827-1-2 | AJR34565827-R1-3,3,,
AJR34565827,MJU64093709,"Tube,Condenser",제작동관,AJR34565827-1-1 | AJR34565827-1-2 | AJR34565827-R1-3,3,,
AJR34565827,MJU64093710,"Tube,Condenser",제작동관,AJR34565827-1-1 | AJR34565827-1-2 | AJR34565827-R1-3,3,,
AJR34739821,4H00049A,"Tube,Pinch Off",제작동관,AJR34739821-F&T,1,AJR34739821-F&T,
AJR36013006,4930A20053A,"Holder,Sensor",반제품,MJU41490601,1,MJU41490601,
AJR36013006,EBF40271401,"Switch,Pressure",반제품,MJU41490601,1,MJU41490601,
AJR36013007,4930A20053A,"Holder,Sensor",반제품,MJU41491701,1,MJU41491701,
AJR36479502,MJU42132502,"Tube,Connector",제작동관,AJR36479508-1-1,1,AJR36479508-1-1,
AJR36479502,MJU42132503,"Tube,Connector",제작동관,AJR36479508-1-1,1,AJR36479508-1-1,
AJR36479508,MJU42132502,"Tube,Connector",제작동관,AJR36479508-1-1,1,AJR36479508-1-1,
AJR36479508,MJU42132503,"Tube,Connector",제작동관,AJR36479508-1-1,1,AJR36479508-1-1,
AJR37103404,4930A20053A,"Holder,Sensor",반제품,AJR36904202,1,AJR36904202,
AJR37103404,4H00049A,"Tube,Pinch Off",제작동관,AJR36904202,1,AJR36904202,
AJR37161107,4H00049A,"Tube,Pinch Off",제작동관,5211A22074A,1,5211A22074A,
AJR55707008,MJU47978301,"Tube,Connector",제작동관,AJR55707008-15-1 | AJR55707008-은납,2,,
AJR55707008,MJU47978302,"Tube,Connector",제작동관,AJR55707008-15-1 | AJR55707008-은납,2,,
AJR65507613,4930A20053A,"Holder,Sensor",반제품,MJU62356330 | MJU62356331 | MJU62356333 | MJU62356332,4,,
AJR65507704,4930A20053A,"Holder,Sensor",반제품,5211A22074A-2 | 4848A20007P,2,,
AJR65507704,5211A22074A,"Tube Assembly,Connector",반제품,5211A22074A-2 | 4848A20007P,2,,
AJR65507705,4930A20053A,"Holder,Sensor",반제품,4848A20007P | AJR65507705-4-1,2,,
AJR65507708,4930A20053A,"Holder,Sensor",반제품,AJR65507708-4-1 | 4848A20007P,2,,
AJR65507710,4930A20053A,"Holder,Sensor",반제품,AJR65507705-4-1 | 4848A20007P,2,,
AJR65507715,4930A20053A,"Holder,Sensor",반제품,AJR65507705-4-1 | 4848A20007P,2,,
AJR65507716,4930A20053A,"Holder,Sensor",반제품,4848A20007P,1,4848A20007P,
AJR65507720,4930A20053A,"Holder,Sensor",반제품,AJR65507720-4-1 | 5211A22074A-2 | 4848A20007P,3,,
AJR65507720,5211A22074A,"Tube Assembly,Connector",반제품,AJR65507720-4-1 | 5211A22074A-2 | 4848A20007P,3,,
AJR65507726,4930A20053A,"Holder,Sensor",반제품,AJR65507705-4-1 | 4848A20007P,2,,
AJR65507732,4930A20053A,"Holder,Sensor",반제품,AJR65507720-4-1 | 5211A22074A-2 | 4848A20007P,3,,
AJR65507732,5211A22074A,"Tube Assembly,Connector",반제품,AJR65507720-4-1 | 5211A22074A-2 | 4848A20007P,3,,
AJR65507733,4930A20053A,"Holder,Sensor",반제품,4848A20007P | AJR65507733-S3-1,2,,
AJR65507733,5211A22074A,"Tube Assembly,Connector",반제품,4848A20007P | AJR65507733-S3-1,2,,
AJR65507733,MJU63001003,"Tube,Connector",제작동관,4848A20007P | AJR65507733-S3-1,2,,
AJR71429409,MJU62128503,"Tube,Connector",제작동관,AJR71429409-3-1,1,AJR71429409-3-1,
AJR71429410,MJU62128503,"Tube,Connector",제작동관,AJR71429409-3-1,1,AJR71429409-3-1,
AJR72928401,4930A20053A,"Holder,Sensor",반제품,AJR72929201,1,AJR72929201,
AJR72928401,5210A22841A,"Tube,Coupling",반제품,AJR72929201,1,AJR72929201,
AJR72928401,MJU61885601,"Tube,Connector",제작동관,AJR72929201,1,AJR72929201,
AJR72928402,5210A22841A,"Tube,Coupling",반제품,AJR72929201,1,AJR72929201,
AJR72928402,MJU61885601,"Tube,Connector",제작동관,AJR72929201,1,AJR72929201,
AJR72933701,4A00114D,"Tube,Connector",제작동관,AJR72933701-S1-3 | AJR72933701-S1-4,2,,
AJR72933701,4H00049A,"Tube,Pinch Off",제작동관,AJR72933701-S1-3 | AJR72933701-S1-4,2,,
AJR72933701,MJU61873701,"Tube,Connector",제작동관,AJR72933701-S1-3 | AJR72933701-S1-4,2,,
AJR72933701,MJU61892301,"Tube,Connector",제작동관,AJR72933701-S1-3 | AJR72933701-S1-4,2,,
AJR72933701,MJU61892401,"Tube,Connector",제작동관,AJR72933701-S1-3 | AJR72933701-S1-4,2,,
AJR72937701,4930A20053A,"Holder,Sensor",반제품,AJR72942901-1 | AJR36904201-1,2,,
AJR72937701,4H00049A,"Tube,Pinch Off",제작동관,AJR72942901-1 | AJR36904201-1,2,,
AJR72937701,AJR36904201,"Tube Assembly,Expansion",반제품,AJR72942901-1 | AJR36904201-1,2,,
AJR72937701,AJR72942901,"Tube Assembly,Connector",반제품,AJR72942901-1 | AJR36904201-1,2,,
AJR72946422,4930A20053A,"Holder,Sensor",반제품,AJR72937704 | AJR74291201 | AJR72946811 | AJR37048417,4,,
AJR72946424,4930A20053A,"Holder,Sensor",반제품,AJR72937707 | AJR72946812 | AJR37048417 | AJR74291201,4,,
AJR72946805,4H00049A,"Tube,Pinch Off",제작동관,MJU61928901,1,MJU61928901,
AJR72946806,4H00049A,"Tube,Pinch Off",제작동관,MJU61928901,1,MJU61928901,
AJR72953103,4930A20053A,"Holder,Sensor",반제품,MJU41490601,1,MJU41490601,
AJR72954701,4H00049A,"Tube,Pinch Off",제작동관,MJU41635301,1,MJU41635301,
AJR72954801,4930A20053A,"Holder,Sensor",반제품,AJR72929201,1,AJR72929201,
AJR72954801,5224A20005M,Strainer,반제품,AJR72929201,1,AJR72929201,
AJR72954801,MJU53401202,"Tube,Connector",제작동관,AJR72929201,1,AJR72929201,
AJR72957301,4930A20053A,"Holder,Sensor",반제품,AJR72929201,1,AJR72929201,
AJR72957305,4930A20053A,"Holder,Sensor",반제품,AJR72929201,1,AJR72929201,
AJR72957305,5210A22841A,"Tube,Coupling",반제품,AJR72929201,1,AJR72929201,
AJR72982303,4H00901F,"Tube,Connector",제작동관,AJR72982303-12-1 | AJR72982303-은납,2,,
AJR72982303,MJU61987003,"Tube,Connector",제작동관,AJR72982303-12-1 | AJR72982303-은납,2,,
AJR72982303,MJU67003101,"Tube,Connector",제작동관,AJR72982303-12-1 | AJR72982303-은납,2,,
AJR73005001,4930A20053A,"Holder,Sensor",반제품,5210A22721A,1,5210A22721A,
AJR73023801,MAZ61902210,Bracket,반제품,AJR72929201,1,AJR72929201,
AJR73065501,4930A20053A,"Holder,Sensor",반제품,AJR73065501-은납,1,AJR73065501-은납,
AJR73222701,4H00049A,"Tube,Pinch Off",제작동관,MJU41635301,1,MJU41635301,
AJR73222702,4H00049A,"Tube,Pinch Off",제작동관,MJU41635301,1,MJU41635301,
AJR73562802,4930A20053A,"Holder,Sensor",반제품,MJU41635301,1,MJU41635301,
AJR73562802,4H00049A,"Tube,Pinch Off",제작동관,MJU41635301,1,MJU41635301,
AJR73562802,EBE60661401,Solenoid,반제품,MJU41635301,1,MJU41635301,
AJR73682802,4930A20053A,"Holder,Sensor",반제품,5210A22526F,1,5210A22526F,
AJR73682803,4930A20053A,"Holder,Sensor",반제품,5210A22526C,1,5210A22526C,
AJR73682805,4930A20053A,"Holder,Sensor",반제품,5210A22526F,1,5210A22526F,
AJR73703801,4930A20053A,"Holder,Sensor",반제품,MJU41635301,1,MJU41635301,
AJR73767304,AJR74488601,"Tube Assembly,Capillary",반제품,MJU63772601,1,MJU63772601,
AJR73767511,4930A20053A,"Holder,Sensor",반제품,AJR72929201 | MJU62911901,2,,
AJR73767513,4930A20053A,"Holder,Sensor",반제품,AJR72929201 | MJU62911901,2,,
AJR73767514,4930A20053A,"Holder,Sensor",반제품,AJR72929201 | MJU62911901,2,,
AJR73767711,4930A20053A,"Holder,Sensor",반제품,MJU61943601,1,MJU61943601,
AJR73767813,4930A20053A,"Holder,Sensor",반제품,AJR73767810-3-1,1,AJR73767810-3-1,
AJR73767818,4930A20053A,"Holder,Sensor",반제품,AJR73767803-3-1,1,AJR73767803-3-1,
AJR73767818,5210A30334L,"Tube,Pinch Off",제작동관,AJR73767803-3-1,1,AJR73767803-3-1,
AJR73768801,4930A20053A,"Holder,Sensor",반제품,MJU62822001 | MJU62822002 | MJU62822003,3,,
AJR73768803,4930A20053A,"Holder,Sensor",반제품,5224A20002T | MJU62822001 | MJU62822002 | MJU62822003,4,,
AJR73822512,EAP30616906,"Coil,Expansion",반제품,AJR36388606 | AJR73944511 | AAB35754002,3,,
AJR73822523,EAP30616906,"Coil,Expansion",반제품,AJR36388606 | AJR73944511 | AAB35754002,3,,
AJR73822530,EAP62228706,"Coil,Expansion",반제품,AAB73250401 | AJR36388606 | AJR36388510 | AJR73944512,4,,
AJR73822530,EBE61441605,Solenoid,반제품,AAB73250401 | AJR36388606 | AJR36388510 | AJR73944512,4,,
AJR73822540,MJU41942219,"Tube,Suction",제작동관,AJR73822540-SUB | AJR73944519 | AJR36388615 | AAB35754002,4,,
AJR73822540,MJU41942220,"Tube,Suction",제작동관,AJR73822540-SUB | AJR73944519 | AJR36388615 | AAB35754002,4,,
AJR73915505,4930A20053A,"Holder,Sensor",반제품,AJR73915505-S3-1 | AJR73915505-S3-3 | AJR73915505-S3-2,3,,
AJR73915506,4930A20053A,"Holder,Sensor",반제품,AJR73915506-S3-1 | AJR73915506-S3-2 | AJR73915506-S3-3,3,,
AJR73915511,4930A20053A,"Holder,Sensor",반제품,AJR73915511-S3-1 | AJR73915511-S3-2 | AJR73915511-S3-3,3,,
AJR73915512,4930A20053A,"Holder,Sensor",반제품,AJR73915512-S3-1 | AJR73915512-S3-2 | AJR73915512-S3-3,3,,
AJR73945001,4930A20053A,"Holder,Sensor",반제품,AJR73945001-SUB,1,AJR73945001-SUB,
AJR73964609,4930A20053A,"Holder,Sensor",반제품,MJU61943601,1,MJU61943601,
AJR73964902,4930A20053A,"Holder,Sensor",반제품,5210A22526C,1,5210A22526C,
AJR73964904,4930A20053A,"Holder,Sensor",반제품,5210A22526C,1,5210A22526C,
AJR73964905,4930A20053A,"Holder,Sensor",반제품,5210A22526C,1,5210A22526C,
AJR73964906,4930A20053A,"Holder,Sensor",반제품,5210A22526C,1,5210A22526C,
AJR73965601,4930A20053A,"Holder,Sensor",반제품,AJR73965601-SUB,1,AJR73965601-SUB,
AJR73965601,MJU62788805,"Tube,Connector",제작동관,AJR73965601-SUB,1,AJR73965601-SUB,
AJR73965601,MJU62788807,"Tube,Connector",제작동관,AJR73965601-SUB,1,AJR73965601-SUB,
AJR73965601,MJU62788809,"Tube,Connector",제작동관,AJR73965601-SUB,1,AJR73965601-SUB,
AJR73965601,MJU62789005,"Tube,Capillary Bending",제작동관,AJR73965601-SUB,1,AJR73965601-SUB,
AJR73965601,MJU62789007,"Tube,Capillary Bending",제작동관,AJR73965601-SUB,1,AJR73965601-SUB,
AJR73965601,MJU62922101,"Tube,Connector",제작동관,AJR73965601-SUB,1,AJR73965601-SUB,
AJR73965601,MJU62922103,"Tube,Connector",제작동관,AJR73965601-SUB,1,AJR73965601-SUB,
AJR73965601,MJU62922105,"Tube,Connector",제작동관,AJR73965601-SUB,1,AJR73965601-SUB,
AJR73965601,MJU62922107,"Tube,Connector",제작동관,AJR73965601-SUB,1,AJR73965601-SUB,
AJR73965601,MJU62922109,"Tube,Connector",제작동관,AJR73965601-SUB,1,AJR73965601-SUB,
AJR73965601,MJU62922111,"Tube,Connector",제작동관,AJR73965601-SUB,1,AJR73965601-SUB,
AJR73965601,MJU62922113,"Tube,Connector",제작동관,AJR73965601-SUB,1,AJR73965601-SUB,
AJR73965602,4930A20053A,"Holder,Sensor",반제품,AJR73965602-SUB,1,AJR73965602-SUB,
AJR73965602,MJU62788806,"Tube,Connector",제작동관,AJR73965602-SUB,1,AJR73965602-SUB,
AJR73965602,MJU62788808,"Tube,Connector",제작동관,AJR73965602-SUB,1,AJR73965602-SUB,
AJR73965602,MJU62788810,"Tube,Connector",제작동관,AJR73965602-SUB,1,AJR73965602-SUB,
AJR73965602,MJU62789006,"Tube,Capillary Bending",제작동관,AJR73965602-SUB,1,AJR73965602-SUB,
AJR73965602,MJU62789008,"Tube,Capillary Bending",제작동관,AJR73965602-SUB,1,AJR73965602-SUB,
AJR73965602,MJU62922102,"Tube,Connector",제작동관,AJR73965602-SUB,1,AJR73965602-SUB,
AJR73965602,MJU62922104,"Tube,Connector",제작동관,AJR73965602-SUB,1,AJR73965602-SUB,
AJR73965602,MJU62922106,"Tube,Connector",제작동관,AJR73965602-SUB,1,AJR73965602-SUB,
AJR73965602,MJU62922108,"Tube,Connector",제작동관,AJR73965602-SUB,1,AJR73965602-SUB,
AJR73965602,MJU62922110,"Tube,Connector",제작동관,AJR73965602-SUB,1,AJR73965602-SUB,
AJR73965602,MJU62922112,"Tube,Connector",제작동관,AJR73965602-SUB,1,AJR73965602-SUB,
AJR73965602,MJU62922114,"Tube,Connector",제작동관,AJR73965602-SUB,1,AJR73965602-SUB,
AJR73965606,4930A20053A,"Holder,Sensor",반제품,AJR73965606-SUB | AJR73965606-F&T,2,,
AJR73965607,4930A20053A,"Holder,Sensor",반제품,AJR73965607-SUB | AJR73965607-F&T,2,,
AJR73965701,4930A20053A,"Holder,Sensor",반제품,AJR72929210,1,AJR72929210,
AJR73980317,4930A20053A,"Holder,Sensor",반제품,AJR73980317-S1-2 | AJR73980317-S1-3 | AJR73980317-S1-4 | AJR73980317-S1-1,4,,
AJR73980317,5210A30334L,"Tube,Pinch Off",제작동관,AJR73980317-S1-2 | AJR73980317-S1-3 | AJR73980317-S1-4 | AJR73980317-S1-1,4,,
AJR73980318,4930A20053A,"Holder,Sensor",반제품,AJR73980318-S1-1 | AJR73980318-S1-2 | AJR73980318-S1-3 | AJR73980318-S1-4,4,,
AJR73980318,4A00114D,"Tube,Connector",제작동관,AJR73980318-S1-1 | AJR73980318-S1-2 | AJR73980318-S1-3 | AJR73980318-S1-4,4,,
AJR73980318,5210A30334L,"Tube,Pinch Off",제작동관,AJR73980318-S1-1 | AJR73980318-S1-2 | AJR73980318-S1-3 | AJR73980318-S1-4,4,,
AJR73980318,MJU63067406,"Tube,Connector",제작동관,AJR73980318-S1-1 | AJR73980318-S1-2 | AJR73980318-S1-3 | AJR73980318-S1-4,4,,
AJR73980318,MJU63067506,"Tube,Connector",제작동관,AJR73980318-S1-1 | AJR73980318-S1-2 | AJR73980318-S1-3 | AJR73980318-S1-4,4,,
AJR73980318,MJU63754101,"Tube,Connector",제작동관,AJR73980318-S1-1 | AJR73980318-S1-2 | AJR73980318-S1-3 | AJR73980318-S1-4,4,,
AJR73980322,4930A20053A,"Holder,Sensor",반제품,AJR73980304-3-1,1,AJR73980304-3-1,
AJR73980322,5210A30334L,"Tube,Pinch Off",제작동관,AJR73980304-3-1,1,AJR73980304-3-1,
AJR73980323,4930A20053A,"Holder,Sensor",반제품,AJR73980304-3-1,1,AJR73980304-3-1,
AJR73980323,5210A30334L,"Tube,Pinch Off",제작동관,AJR73980304-3-1,1,AJR73980304-3-1,
AJR73981108,AJJ73640107,Supporter Assembly,반제품,AJJ73640101 | AJR73663001 | AAB73230901,3,,
AJR74062502,EAP30616906,"Coil,Expansion",반제품,AAB73250401 | AJR73944503 | AJR36388606,3,,
AJR74107911,4930A20053A,"Holder,Sensor",반제품,AJR74107911-4-1,1,AJR74107911-4-1,
AJR74107912,4930A20053A,"Holder,Sensor",반제품,AJR74107912-4-1,1,AJR74107912-4-1,
AJR74169701,5211A22074A,"Tube Assembly,Connector",반제품,5211A22074A-3,1,5211A22074A-3,
AJR74205202,4H00049A,"Tube,Pinch Off",제작동관,MJU63311620,1,MJU63311620,
AJR74207301,4930A20053A,"Holder,Sensor",반제품,AJR74207301-S3-1,1,AJR74207301-S3-1,
AJR74227601,4H00049A,"Tube,Pinch Off",제작동관,MJU42938502,1,MJU42938502,
AJR74265701,5211A22074A,"Tube Assembly,Connector",반제품,5211A22074A-3 | AJR74488601,2,,
AJR74282902,4930A20053A,"Holder,Sensor",반제품,MJU63433501,1,MJU63433501,
AJR74364818,MJU63160502,"Tube,Connector",제작동관,AJR74364818-3-3,1,AJR74364818-3-3,
AJR74364818,MJU63160507,"Tube,Connector",제작동관,AJR74364818-3-3,1,AJR74364818-3-3,
AJR74364818,MJU63614801,"Tube,Connector",제작동관,AJR74364818-3-3,1,AJR74364818-3-3,
AJR74364818,MJU63614904,"Tube,Connector",제작동관,AJR74364818-3-3,1,AJR74364818-3-3,
AJR74364818,MJU64027007,"Tube,Connector",제작동관,AJR74364818-3-3,1,AJR74364818-3-3,
AJR74364825,MJU63160502,"Tube,Connector",제작동관,AJR74364825-3-3,1,AJR74364825-3-3,
AJR74364825,MJU63160507,"Tube,Connector",제작동관,AJR74364825-3-3,1,AJR74364825-3-3,
AJR74364825,MJU63614801,"Tube,Connector",제작동관,AJR74364825-3-3,1,AJR74364825-3-3,
AJR74364825,MJU66964501,"Tube,Connector",제작동관,AJR74364825-3-3,1,AJR74364825-3-3,
AJR74364825,MJU66964601,"Tube,Connector",제작동관,AJR74364825-3-3,1,AJR74364825-3-3,
AJR74365101,4930A20053A,"Holder,Sensor",반제품,AJR74365101-SUB,1,AJR74365101-SUB,
AJR74365101,5210A30334L,"Tube,Pinch Off",제작동관,AJR74365101-SUB,1,AJR74365101-SUB,
AJR74365101,MJU63751101,"Tube,Connector",제작동관,AJR74365101-SUB,1,AJR74365101-SUB,
AJR74365202,4930A20053A,"Holder,Sensor",반제품,AJR74365202-S3-1 | AJR74365202-S3-2 | AJR74365202-S3-3 | 5998A20002L,4,,
AJR74365205,4930A20053A,"Holder,Sensor",반제품,AJR74365205-S3-1 | AJR74365205-S3-2 | AJR74365205-S3-3 | 5998A20002L,4,,
AJR74366606,MJU65187806,"Tube,Connector",제작동관,AJR74366606-S2-1 | AAB35754002,2,,
AJR74366606,MJU65187807,"Tube,Connector",제작동관,AJR74366606-S2-1 | AAB35754002,2,,
AJR74424620,MJU63651002,"Tube,Connector",제작동관,AJR71429343,1,AJR71429343,
AJR74424620,MJU63651005,"Tube,Connector",제작동관,AJR71429343,1,AJR71429343,
AJR74424620,MJU63651009,"Tube,Connector",제작동관,AJR71429343,1,AJR71429343,
AJR74462301,4930A20053A,"Holder,Sensor",반제품,AJR74482401-1 | AJR30012101-16-1,2,,
AJR74462302,4930A20053A,"Holder,Sensor",반제품,AJR74482401,1,AJR74482401,
AJR74462303,4930A20053A,"Holder,Sensor",반제품,AJR74482401,1,AJR74482401,
AJR74524709,MJU65028701,"Tube,Connector",제작동관,AJR74522906 | AJR74523006,2,,
AJR74803514,4930A20053A,"Holder,Sensor",반제품,AJR74803512-4-1,1,AJR74803512-4-1,
AJR74803514,MJU65026401,"Tube,Manifold",반제품,AJR74803512-4-1,1,AJR74803512-4-1,
AJR74803537,MJU65026413,"Tube,Manifold",반제품,AJR74803522-4-1,1,AJR74803522-4-1,
AJR74844307,4930A20053A,"Holder,Sensor",반제품,AJR74844307-은납,1,AJR74844307-은납,
AJR74844310,4930A20053A,"Holder,Sensor",반제품,AJR74844310-은납,1,AJR74844310-은납,
AJR74844318,4930A20053A,"Holder,Sensor",반제품,AJR74844318-SUB,1,AJR74844318-SUB,
AJR74964701,4930A20053A,"Holder,Sensor",반제품,AJR74482401,1,AJR74482401,
AJR74983801,4930A20053A,"Holder,Sensor",반제품,MHH62041501,1,MHH62041501,
AJR74983802,4930A20053A,"Holder,Sensor",반제품,MHH62041501,1,MHH62041501,
AJR74983910,5210A23376A,"Tube,Connector",제작동관,AJR74983910-12-1 | AJR74983910-S1-3 | AJR74983910-S1-4,3,,
AJR74983910,5210A30334M,"Tube,Pinch Off",제작동관,AJR74983910-12-1 | AJR74983910-S1-3 | AJR74983910-S1-4,3,,
AJR74983910,5211A22074A,"Tube Assembly,Connector",반제품,AJR74983910-12-1 | AJR74983910-S1-3 | AJR74983910-S1-4,3,,
AJR74983910,EBF40271416,"Switch,Pressure",반제품,AJR74983910-12-1 | AJR74983910-S1-3 | AJR74983910-S1-4,3,,
AJR74983910,MJU64170104,"Tube,Connector",제작동관,AJR74983910-12-1 | AJR74983910-S1-3 | AJR74983910-S1-4,3,,
AJR74983910,MJU64388005,"Tube,Connector",제작동관,AJR74983910-12-1 | AJR74983910-S1-3 | AJR74983910-S1-4,3,,
AJR74983910,MJU64388203,"Tube,Connector",제작동관,AJR74983910-12-1 | AJR74983910-S1-3 | AJR74983910-S1-4,3,,
AJR74983910,MJU64930001,"Tube,Connector",제작동관,AJR74983910-12-1 | AJR74983910-S1-3 | AJR74983910-S1-4,3,,
AJR74983910,MJU64930102,"Tube,Connector",제작동관,AJR74983910-12-1 | AJR74983910-S1-3 | AJR74983910-S1-4,3,,
AJR74983910,MJU65026902,"Tube,Connector",제작동관,AJR74983910-12-1 | AJR74983910-S1-3 | AJR74983910-S1-4,3,,
AJR74983910,MJU65027002,"Tube,Connector",제작동관,AJR74983910-12-1 | AJR74983910-S1-3 | AJR74983910-S1-4,3,,
AJR74983938,5210A23376A,"Tube,Connector",제작동관,AJR74983938-S1-3 | AJR74983938-S1-4 | AJR74983910-12-1,3,,
AJR74983938,5210A30334M,"Tube,Pinch Off",제작동관,AJR74983938-S1-3 | AJR74983938-S1-4 | AJR74983910-12-1,3,,
