도번,LG부품,LG품명,역할,도번의 자도번후보,자도번수,추천(단일시 자동),← 확정 자도번
AJR30007104,MJU66571302,"Tube,Connector",제작동관,AJR77225301-1-1(링) | AJR77225301-1-2(링) | AJR30007104-S5-1,3,,
AJR30007104,MJU66571305,"Tube,Connector",제작동관,AJR77225301-1-1(링) | AJR77225301-1-2(링) | AJR30007104-S5-1,3,,
AJR30007104,MJU66571306,"Tube,Connector",제작동관,AJR77225301-1-1(링) | AJR77225301-1-2(링) | AJR30007104-S5-1,3,,
AJR30007105,4930A20053A,"Holder,Sensor",반제품,AJR30007105-S5-1,1,AJR30007105-S5-1,
AJR30007105,MJU64671101,"Tube,Connector",제작동관,AJR30007105-S5-1,1,AJR30007105-S5-1,
AJR30007105,MJU64671102,"Tube,Connector",제작동관,AJR30007105-S5-1,1,AJR30007105-S5-1,
AJR30007105,MJU64671104,"Tube,Connector",제작동관,AJR30007105-S5-1,1,AJR30007105-S5-1,
AJR30007105,MJU64671105,"Tube,Connector",제작동관,AJR30007105-S5-1,1,AJR30007105-S5-1,
AJR30007105,MJU64671109,"Tube,Connector",제작동관,AJR30007105-S5-1,1,AJR30007105-S5-1,
AJR30007105,MJU66571301,"Tube,Connector",제작동관,AJR30007105-S5-1,1,AJR30007105-S5-1,
AJR30007105,MJU66571302,"Tube,Connector",제작동관,AJR30007105-S5-1,1,AJR30007105-S5-1,
AJR30007105,MJU66571304,"Tube,Connector",제작동관,AJR30007105-S5-1,1,AJR30007105-S5-1,
AJR30007105,MJU66571305,"Tube,Connector",제작동관,AJR30007105-S5-1,1,AJR30007105-S5-1,
AJR30007105,MJU66571306,"Tube,Connector",제작동관,AJR30007105-S5-1,1,AJR30007105-S5-1,
AJR30007106,4930A20053A,"Holder,Sensor",반제품,AJR30007102-9-4 | AJR30007102-9-3 | AJR30007102-9-2 | AJR30007102-9-1 | AJR30007101-9-2 | AJR30007106-S5-1,6,,
AJR30012008,MJU66773001,"Tube,Connector",제작동관,AJR30012008-9-1 | AJR30012008-S1-2 | AJR30012008-SOCKET | AJR30012008-20-1,4,,
AJR30012009,MJU65966728,"Tube,Connector",제작동관,AJR30012009-SOCKET | AJR30012009-20-1,2,,
AJR30012009,MJU66774606,"Tube,Connector",제작동관,AJR30012009-SOCKET | AJR30012009-20-1,2,,
AJR30012009,MJU66774607,"Tube,Connector",제작동관,AJR30012009-SOCKET | AJR30012009-20-1,2,,
AJR30012010,MJU65966728,"Tube,Connector",제작동관,AJR30012010-SOCKET | AJR30012010-20-1,2,,
AJR30012010,MJU66774606,"Tube,Connector",제작동관,AJR30012010-SOCKET | AJR30012010-20-1,2,,
AJR30012010,MJU66774607,"Tube,Connector",제작동관,AJR30012010-SOCKET | AJR30012010-20-1,2,,
AJR30012011,MJU65966728,"Tube,Connector",제작동관,AJR30012011-SOCKET | AJR30012011-20-1,2,,
AJR30012011,MJU66774606,"Tube,Connector",제작동관,AJR30012011-SOCKET | AJR30012011-20-1,2,,
AJR30012011,MJU66774607,"Tube,Connector",제작동관,AJR30012011-SOCKET | AJR30012011-20-1,2,,
AJR30012012,MJU66773001,"Tube,Connector",제작동관,AJR30012008-9-1 | AJR30012008-S1-1 | AJR30012008-S1-2 | AJR30012008-SOCKET,4,,
AJR30012101,4930A20053A,"Holder,Sensor",반제품,AJR74482401-1 | AJR30012101-16-3 | AJR30012101-16-2,3,,
AJR30012102,4930A20053A,"Holder,Sensor",반제품,AJR74482401-1 | AJR30012101-16-2 | AJR30012101-16-3,3,,
AJR30027701,MJU66749006,"Tube,Connector",제작동관,AJR30027701-12-2 | AJR30027701-SUB1 | AJR30027701-SUB2,3,,
AJR30027701,MJU66749101,"Tube,Connector",제작동관,AJR30027701-12-2 | AJR30027701-SUB1 | AJR30027701-SUB2,3,,
AJR30027701,MJU66800402,"Tube,Connector",제작동관,AJR30027701-12-2 | AJR30027701-SUB1 | AJR30027701-SUB2,3,,
AJR30027701,MJU66800403,"Tube,Connector",제작동관,AJR30027701-12-2 | AJR30027701-SUB1 | AJR30027701-SUB2,3,,
AJR30027701,MJU66800404,"Tube,Connector",제작동관,AJR30027701-12-2 | AJR30027701-SUB1 | AJR30027701-SUB2,3,,
AJR30027703,MJU66749301,"Tube,Connector",제작동관,AJR30027703-SUB1 | AJR30027703-SUB2 | AJR30027703-12-3,3,,
AJR30027705,5211A22074A,"Tube Assembly,Connector",반제품,AJR30027701-12-2 | AJR30027705-SUB1 | AJR30027705-SUB2,3,,
AJR30027705,MJU66749006,"Tube,Connector",제작동관,AJR30027701-12-2 | AJR30027705-SUB1 | AJR30027705-SUB2,3,,
AJR30027705,MJU66749101,"Tube,Connector",제작동관,AJR30027701-12-2 | AJR30027705-SUB1 | AJR30027705-SUB2,3,,
AJR30027705,MJU66800403,"Tube,Connector",제작동관,AJR30027701-12-2 | AJR30027705-SUB1 | AJR30027705-SUB2,3,,
AJR30027705,MJU66800404,"Tube,Connector",제작동관,AJR30027701-12-2 | AJR30027705-SUB1 | AJR30027705-SUB2,3,,
AJR30027705,MJU66800405,"Tube,Connector",제작동관,AJR30027701-12-2 | AJR30027705-SUB1 | AJR30027705-SUB2,3,,
AJR30027707,5211A22074A,"Tube Assembly,Connector",반제품,AJR30027707-SUB1 | AJR30027707-SUB2 | AJR30027703-12-3,3,,
AJR30027707,MJU66749301,"Tube,Connector",제작동관,AJR30027707-SUB1 | AJR30027707-SUB2 | AJR30027703-12-3,3,,
AJR30027710,5211A22074A,"Tube Assembly,Connector",반제품,AJR30027701-12-2 | AJR30027710-SUB1 | AJR30027710-SUB2,3,,
AJR30027710,MJU66749006,"Tube,Connector",제작동관,AJR30027701-12-2 | AJR30027710-SUB1 | AJR30027710-SUB2,3,,
AJR30027710,MJU66749101,"Tube,Connector",제작동관,AJR30027701-12-2 | AJR30027710-SUB1 | AJR30027710-SUB2,3,,
AJR30027710,MJU66800403,"Tube,Connector",제작동관,AJR30027701-12-2 | AJR30027710-SUB1 | AJR30027710-SUB2,3,,
AJR30027710,MJU66800404,"Tube,Connector",제작동관,AJR30027701-12-2 | AJR30027710-SUB1 | AJR30027710-SUB2,3,,
AJR30027710,MJU66800405,"Tube,Connector",제작동관,AJR30027701-12-2 | AJR30027710-SUB1 | AJR30027710-SUB2,3,,
AJR30027712,5211A22074A,"Tube Assembly,Connector",반제품,AJR30027703-12-3 | AJR30027712-SUB1 | AJR30027712-SUB2,3,,
AJR30027712,MJU66749301,"Tube,Connector",제작동관,AJR30027703-12-3 | AJR30027712-SUB1 | AJR30027712-SUB2,3,,
AJR30027713,MJU66749006,"Tube,Connector",제작동관,AJR30027701-12-2 | AJR30027701-SUB1 | AJR30027701-SUB2,3,,
AJR30027713,MJU66749101,"Tube,Connector",제작동관,AJR30027701-12-2 | AJR30027701-SUB1 | AJR30027701-SUB2,3,,
AJR30027713,MJU66800402,"Tube,Connector",제작동관,AJR30027701-12-2 | AJR30027701-SUB1 | AJR30027701-SUB2,3,,
AJR30027713,MJU66800403,"Tube,Connector",제작동관,AJR30027701-12-2 | AJR30027701-SUB1 | AJR30027701-SUB2,3,,
AJR30027713,MJU66800404,"Tube,Connector",제작동관,AJR30027701-12-2 | AJR30027701-SUB1 | AJR30027701-SUB2,3,,
AJR30027715,MJU66749301,"Tube,Connector",제작동관,AJR30027703-SUB1 | AJR30027703-SUB2 | AJR30027703-12-3,3,,
AJR30037603,5210A30334L,"Tube,Pinch Off",제작동관,AJR30037603-20-1 | AJR30037603-20-2,2,,
AJR30037604,5210A30334L,"Tube,Pinch Off",제작동관,AJR30037604-20-1 | AJR30037604-20-2,2,,
AJR30038101,MJU66824505,"Tube,Connector",제작동관,AJR30038101-고주파 | AJR30038101-S6-2 | AJR30038101-S6-4 | AJR30038101-S6-5,4,,
AJR30038101,MJU66824602,"Tube,Connector",제작동관,AJR30038101-고주파 | AJR30038101-S6-2 | AJR30038101-S6-4 | AJR30038101-S6-5,4,,
AJR30038101,MJU66824603,"Tube,Connector",제작동관,AJR30038101-고주파 | AJR30038101-S6-2 | AJR30038101-S6-4 | AJR30038101-S6-5,4,,
AJR30075101,4930A20053A,"Holder,Sensor",반제품,AJR30075101-16-1 | AJR30075101-3-1,2,,
AJR30075401,4930A20053A,"Holder,Sensor",반제품,AJR30075401-3-7 | AJR30075401-4-4 | AJR30075401-4-5 | AJR30075401-4-6,4,,
AJR30075401,4A00114D,"Tube,Connector",제작동관,AJR30075401-3-7 | AJR30075401-4-4 | AJR30075401-4-5 | AJR30075401-4-6,4,,
AJR30075401,MJC62721914,Strainer,제작동관,AJR30075401-3-7 | AJR30075401-4-4 | AJR30075401-4-5 | AJR30075401-4-6,4,,
