품번,협력사,담당외경,담당T,담당길이,담당개당중량,내외경,내T,내길이,내개당중량,원인,비고
T-C01964285 9.52*0.65*L860 3165*5=15825 개발 윤동한 주임 요청,미래,9.52,0.65,860.0,0.13926,,,,,미등록(비품번:설명/샘플/스펙),
T-C01964285 개발 윤동한 주임 요청  9.52*0.65*L860  3165*7=22155,미래,9.52,0.65,860.0,0.13926,,,,,미등록(비품번:설명/샘플/스펙),
T-C01964294 12.7*0.75*L220 1257*3=3771 개발 윤동한 주임 요청,미래,12.7,0.75,220.0,0.05538,,,,,미등록(비품번:설명/샘플/스펙),
T-C01964294 12.7*0.75*L221 1263*5=6315 개발 윤동한 주임 요청,미래,12.7,0.75,221.0,0.05563,,,,,미등록(비품번:설명/샘플/스펙),
T-C01964294 개발 윤동한 주임 요청   12.7*0.75*L221 1263*7=8841,미래,12.7,0.75,221.0,0.05563,,,,,미등록(비품번:설명/샘플/스펙),
T-C01964728 12.7*0.75*L180 1029*5=5145 개발 윤동한 주임 요청,미래,12.7,0.75,180.0,0.04531,,,,,미등록(비품번:설명/샘플/스펙),
T-C01964728 개발 윤동한 주임 요청  12.7*0.75*L182 1038*7=7266,미래,12.7,0.75,182.0,0.04581,,,,,미등록(비품번:설명/샘플/스펙),
T-C01964788 15.88*0.95*L215 3235*4=12940 개발 송민찬 요청,미래,15.88,0.95,215.0,0.08565,,,,,미등록(비품번:설명/샘플/스펙),
T-C01964788 개발 송민찬 사원  요청   15.88*0.95*L215 1941*7=13587,미래,15.88,0.95,215.0,0.08565,,,,,미등록(비품번:설명/샘플/스펙),
T-C01971133 12.7*0.75*L167 954*3=2862 개발 윤동한 주임 요청,미래,12.7,0.75,167.0,0.04204,,,,,미등록(비품번:설명/샘플/스펙),
T-C01971133 12.7*0.75*L174 993*5=4965 개발 윤동한 주임 요청,미래,12.7,0.75,174.0,0.0438,,,,,미등록(비품번:설명/샘플/스펙),
T-C01971133 개발 윤동한 주임 요청  12.7*0.75*L174 993*7=6951,미래,12.7,0.75,174.0,0.0438,,,,,미등록(비품번:설명/샘플/스펙),
T-C01971827 9.52*0.65*L295 1086*5=5430 개발 윤동한 주임 요청,미래,9.52,0.65,295.0,0.04777,,,,,미등록(비품번:설명/샘플/스펙),
T-C01971827 개발 윤동한 주임 요청  9.52*0.65*L295 1086*7=7602,미래,9.52,0.65,295.0,0.04777,,,,,미등록(비품번:설명/샘플/스펙),
T-C01972396  7.0*0.65*L214  1100*6=6600 개발 윤동한 요청,미래,7.0,0.65,214.0,0.02481,,,,,미등록(비품번:설명/샘플/스펙),
T-C01972462  7.0*0.65*L214  1100*6=6600 개발 윤동한 요청,미래,7.0,0.65,214.0,0.02481,,,,,미등록(비품번:설명/샘플/스펙),
T-C01972569 9.52*0.65*L237 873*5=4365 개발 윤동한 주임 요청,미래,9.52,0.65,237.0,0.03838,,,,,미등록(비품번:설명/샘플/스펙),
T-C01972569 개발 윤동한 9.52*0.65*L237 873*7=6111,미래,9.52,0.65,237.0,0.03838,,,,,미등록(비품번:설명/샘플/스펙),
T-C01972969  7.0*0.65*L138 710*4=2840 개발 송민찬 요청,미래,7.0,0.65,138.0,0.016,,,,,미등록(비품번:설명/샘플/스펙),
T-C01972969 개발 송민찬 사원  요청   7.0*0.65*L138 426*7=2982,미래,7.0,0.65,138.0,0.016,,,,,미등록(비품번:설명/샘플/스펙),
T-C01972993 7.0*0.65*L177 910*4=3640 개발 송민찬 요청,미래,7.0,0.65,177.0,0.02052,,,,,미등록(비품번:설명/샘플/스펙),
T-C01972993 개발 송민찬 사원  요청   7.0*0.65*L177 546*7=3822,미래,7.0,0.65,177.0,0.02052,,,,,미등록(비품번:설명/샘플/스펙),
T-C01976700  7.0*0.65*L184  567*3=1701 개발 윤동한 주임 요청,미래,7.0,0.65,184.0,0.02133,,,,,미등록(비품번:설명/샘플/스펙),
T-C01976705  7.0*0.65*L201  618*3=1854 개발 윤동한 주임 요청,미래,7.0,0.65,201.0,0.0233,,,,,미등록(비품번:설명/샘플/스펙),
T-C01976739  7.0*0.65*L235  723*3=2169  개발 윤동한 주임 요청,미래,7.0,0.65,235.0,0.02724,,,,,미등록(비품번:설명/샘플/스펙),
T-C01983375 9.52*0.65*L962 3540*10=35400 개발 윤동한 주임 요청,미래,9.52,0.65,962.0,0.15578,,,,,미등록(비품번:설명/샘플/스펙),
T-C01986778 9.52*0.65*L218  801*3=2403 개발 윤동한 주임 요청,미래,9.52,0.65,218.0,0.0353,,,,,미등록(비품번:설명/샘플/스펙),
T-C01986965 9.52*0.65*L303 1116*3=3348 개발 윤동한 주임 요청,미래,9.52,0.65,303.0,0.04906,,,,,미등록(비품번:설명/샘플/스펙),
T-C01987053 9.52*0.65*L987 3633*3=10899 개발 윤동한 주임 요청,미래,9.52,0.65,987.0,0.15982,,,,,미등록(비품번:설명/샘플/스펙),
T-C01987341 12.7*0.75*L186 1062*3=3186 개발 윤동한 주임 요청,미래,12.7,0.75,186.0,0.04682,,,,,미등록(비품번:설명/샘플/스펙),
T-GMCC-U60A-SUCTION2 개발 샘플 15.88*0.95*L213 1923*4=7692 개발 윤동한 주임 요청,미래,15.88,0.95,213.0,0.08485,,,,,미등록(비품번:설명/샘플/스펙),
T-MANI_66_TUBE3,미래,6.35,0.65,209.0,0.02175,,,,,미등록(비품번:설명/샘플/스펙),
T-MANI_66_TUBE5,미래,6.35,0.65,311.0,0.03236,,,,,미등록(비품번:설명/샘플/스펙),
T-MANI_UXA_2,미래,6.35,0.65,313.0,0.03257,,,,,미등록(비품번:설명/샘플/스펙),
T-MANI_UXA_3,미래,6.35,0.65,288.0,0.02997,,,,,미등록(비품번:설명/샘플/스펙),
T-TUBE1-SUCTION 개발 송민찬 사원 요청15.88*0.95*L590 5325*1=5325,미래,15.88,0.95,590.0,0.23503,,,,,미등록(비품번:설명/샘플/스펙),
T-U18A-DIS 7.94*0.65*L310 1590*4=6360  개발 송민찬 요청,미래,7.94,0.65,310.0,0.04126,,,,,미등록(비품번:설명/샘플/스펙),
T-U18A-SUC2 12.7*0.75*L525 4995*4=19980 개발 송민찬 요청,미래,12.7,0.75,525.0,0.13215,,,,,미등록(비품번:설명/샘플/스펙),
T-U24A-DIS-CONNECTOR-GMCC  9.52*0.65*L250  2300*2=4600 개발 윤동한 주임,미래,9.52,0.65,250.0,0.04048,,,,,미등록(비품번:설명/샘플/스펙),
T-U24A-SUC-CONNECTOR-GMCC 12.7*0.75*L938 13390*2=26780 개발 윤동한 주임,미래,12.7,0.75,938.0,0.23611,,,,,미등록(비품번:설명/샘플/스펙),
T-U36A.PIPE 02,미래,12.7,0.75,609.0,0.1533,,,,,미등록(비품번:설명/샘플/스펙),
T-U60A-DIS-CONNECTOR 12.7*0.75*L992 5664*3=16992 개발 윤동한 주임 요청,미래,12.7,0.75,992.0,0.24971,,,,,미등록(비품번:설명/샘플/스펙),
T-U60A-SUC-CONNECTOR2 15.88*0.95*L61 549*3=1647 개발 윤동한 주임 요청,미래,15.88,0.95,61.0,0.0243,,,,,미등록(비품번:설명/샘플/스펙),
TUBE CONNECT-2,MTS,15.88,0.95,218.0,0.08684,,,,,미등록(비품번:설명/샘플/스펙),
TUBE CONNECT-3,MTS,15.88,0.95,90.0,0.03585,,,,,미등록(비품번:설명/샘플/스펙),
TUBE CONNECT-4,MTS,12.7,0.75,124.0,0.03121,,,,,미등록(비품번:설명/샘플/스펙),
Ø12.7*0.75*L100 240*200=48000 개발 박준수 과장 요청,미래,12.7,0.75,100.0,0.02517,,,,,미등록(비품번:설명/샘플/스펙),
Ф19.05*60,MTS,19.05,0.95,60.0,0.02898,,,,,미등록(비품번:설명/샘플/스펙),
개발,이젠터,9.52,0.65,948.0,0.15351,,,,,미등록(비품번:설명/샘플/스펙),
개발 샘플 7.94*0.65*L1000 1526*2=3052 개발 신윤철 요청,미래,7.94,0.65,1000.0,0.13309,,,,,미등록(비품번:설명/샘플/스펙),
개발샘플 T-TUBE-SUCTION 15.88*0.95*L594 5361*4=21444 개발 신윤철 요청,미래,15.88,0.95,594.0,0.23662,,,,,미등록(비품번:설명/샘플/스펙),
개발샘플-권현석,미래,9.52,0.65,1086.0,0.17586,,,,,미등록(비품번:설명/샘플/스펙),★월/Assy별 치수 여러개
개발샘플-김영국,미래,6.35,0.65,121.0,0.01259,,,,,미등록(비품번:설명/샘플/스펙),★월/Assy별 치수 여러개
개발샘플-진승규,미래,7.94,0.65,1069.0,0.14227,,,,,미등록(비품번:설명/샘플/스펙),★월/Assy별 치수 여러개
고강도 SAMPLE 9.52*0.55T*L106,미래,9.52,0.55,106.0,0.01469,,,,,미등록(비품번:설명/샘플/스펙),
고강도 SAMPLE 9.52*0.55T*L133,미래,9.52,0.55,133.0,0.01843,,,,,미등록(비품번:설명/샘플/스펙),
고강도 SAMPLE 9.52*0.55T*L138,미래,9.52,0.55,138.0,0.01912,,,,,미등록(비품번:설명/샘플/스펙),
고강도 SAMPLE 9.52*0.55T*L204,미래,9.52,0.55,204.0,0.02827,,,,,미등록(비품번:설명/샘플/스펙),
고강도 SAMPLE 9.52*0.55T*L230,미래,9.52,0.55,230.0,0.03187,,,,,미등록(비품번:설명/샘플/스펙),
고강도 SAMPLE 9.52*0.55T*L241,미래,9.52,0.55,241.0,0.03339,,,,,미등록(비품번:설명/샘플/스펙),
고강도 SAMPLE 9.52*0.55T*L324,미래,9.52,0.55,324.0,0.04489,,,,,미등록(비품번:설명/샘플/스펙),
고강도 SAMPLE 9.52*0.55T*L430,미래,9.52,0.55,430.0,0.05958,,,,,미등록(비품번:설명/샘플/스펙),
고강도 SAMPLE 9.52*0.55T*L455,미래,9.52,0.55,455.0,0.06305,,,,,미등록(비품번:설명/샘플/스펙),
고강도 SAMPLE 9.52*0.55T*L468,미래,9.52,0.55,468.0,0.06485,,,,,미등록(비품번:설명/샘플/스펙),
냉매누설PIPE,명진,4.0,0.6,600.0,0.03438,,,,,미등록(비품번:설명/샘플/스펙),
두성이관초품,미래,9.52,0.65,58.0,0.00939,,,,,미등록(비품번:설명/샘플/스펙),
박준수 과장님샘플,미래,9.52,0.65,62.0,0.01004,,,,,미등록(비품번:설명/샘플/스펙),★월/Assy별 치수 여러개
사우디,중앙,7.94,0.65,62.0,0.00825,,,,,미등록(비품번:설명/샘플/스펙),★월/Assy별 치수 여러개
"사우디(시방변경: 고무,타이추가)",이젠터,7.94,0.65,759.0,0.10101,,,,,미등록(비품번:설명/샘플/스펙),
상단PIPE,MTS,12.7,0.75,155.0,0.03902,,,,,미등록(비품번:설명/샘플/스펙),
샘플,대원,7.0,0.55,5000.0,0.49817,,,,,미등록(비품번:설명/샘플/스펙),★월/Assy별 치수 여러개
샘플 9.52*0.65*2020,중앙,9.52,0.65,2020.0,0.3271,,,,,미등록(비품번:설명/샘플/스펙),
샘플-이창환,미래,9.52,0.65,609.0,0.09861,,,,,미등록(비품번:설명/샘플/스펙),
엘지교육용,이젠터,6.35,0.65,50.0,0.0052,,,,,미등록(비품번:설명/샘플/스펙),★월/Assy별 치수 여러개
엘지교육용12.7,이젠터,12.7,0.75,75.0,0.01888,,,,,미등록(비품번:설명/샘플/스펙),
엘지교육용15.88,이젠터,15.88,0.95,75.0,0.02988,,,,,미등록(비품번:설명/샘플/스펙),
엘지교육용6.35,이젠터,6.35,0.65,75.0,0.0078,,,,,미등록(비품번:설명/샘플/스펙),
엘지교육용9.52,이젠터,9.52,0.65,75.0,0.01214,,,,,미등록(비품번:설명/샘플/스펙),
용접ASSY(저압),이젠터,12.7,0.75,130.0,0.03272,,,,,미등록(비품번:설명/샘플/스펙),★월/Assy별 치수 여러개
윤동한 주임 샘플,미래,9.52,0.55,168.0,0.02328,,,,,미등록(비품번:설명/샘플/스펙),★월/Assy별 치수 여러개
일회성컷팅(조익수),중앙,4.76,0.65,1230.0,0.09229,,,,,미등록(비품번:설명/샘플/스펙),★월/Assy별 치수 여러개
중단PIPE,MTS,12.7,0.75,80.0,0.02014,,,,,미등록(비품번:설명/샘플/스펙),
직납,중앙,6.35,0.65,222.0,0.0231,,,,,미등록(비품번:설명/샘플/스펙),★월/Assy별 치수 여러개
초품 MJU66936605 (6.35*260) \-800,중앙,6.35,0.65,260.0,0.02705,,,,,미등록(비품번:설명/샘플/스펙),
초품 MJU66936606 SUB 용접 (6.35*131) \-1200,중앙,6.35,0.65,131.0,0.01363,,,,,미등록(비품번:설명/샘플/스펙),
초품 MJU66936607 SUB 용접 (6.35*247) \-1500,중앙,6.35,0.65,247.0,0.0257,,,,,미등록(비품번:설명/샘플/스펙),
초품 MJU66936608 (9.52*431) \-1700,중앙,9.52,0.65,431.0,0.06979,,,,,미등록(비품번:설명/샘플/스펙),
컷팅샘플,중앙,9.52,0.55,1200.0,0.16627,,,,,미등록(비품번:설명/샘플/스펙),★월/Assy별 치수 여러개
품번 2,MTS,15.88,0.95,217.0,0.08644,,,,,미등록(비품번:설명/샘플/스펙),
품번 3,MTS,15.88,0.95,90.0,0.03585,,,,,미등록(비품번:설명/샘플/스펙),
품번 4,MTS,9.52,0.65,250.0,0.04048,,,,,미등록(비품번:설명/샘플/스펙),
품번11,MTS,19.05,0.95,45.0,0.02173,,,,,미등록(비품번:설명/샘플/스펙),
품번11번,MTS,15.88,0.95,53.0,0.02111,,,,,미등록(비품번:설명/샘플/스펙),
품번6,MTS,15.88,0.95,390.0,0.15536,,,,,미등록(비품번:설명/샘플/스펙),
품번7,MTS,19.05,0.95,55.0,0.02656,,,,,미등록(비품번:설명/샘플/스펙),
품번7번,MTS,15.88,0.95,52.0,0.02071,,,,,미등록(비품번:설명/샘플/스펙),
품번9,MTS,15.88,0.95,55.0,0.02191,,,,,미등록(비품번:설명/샘플/스펙),★월/Assy별 치수 여러개
하단PIPE,MTS,9.52,0.65,145.0,0.02348,,,,,미등록(비품번:설명/샘플/스펙),
핫가스배관-1,미래,6.35,0.65,793.0,0.08252,,,,,미등록(비품번:설명/샘플/스펙),
핫가스배관-2,미래,6.35,0.65,447.0,0.04651,,,,,미등록(비품번:설명/샘플/스펙),
홍과장님 요청,미래,15.88,0.95,734.0,0.29239,,,,,미등록(비품번:설명/샘플/스펙),
확관(30MM) 샘플 12.7*0.75*L66 378*351=132678 제형제 차장 요청,미래,12.7,0.75,66.0,0.01661,,,,,미등록(비품번:설명/샘플/스펙),
후레아 체결,미래,15.9,0.95,408.0,0.16275,,,,,미등록(비품번:설명/샘플/스펙),
MJU65749601,미래,6.35,0.65,122.0,0.01269,7.94,0.65,926.0,0.12324,외경 담당6.35/내7.94 + 길이 담당122.0/내926.0,
MJU65749702,미래,7.94,0.65,926.0,0.12324,6.35,0.65,122.0,0.01269,외경 담당7.94/내6.35 + 길이 담당926.0/내122.0,
5210A21172L,이젠터,12.7,0.75,269.0,0.06771,nan,nan,nan,0.0,치수동일한데 저장중량 다름(계산오류),
5210A30554F,미래,7.0,0.65,46.0,0.00533,nan,nan,nan,0.0,치수동일한데 저장중량 다름(계산오류),
5210A30846A,미래,7.0,0.65,85.0,0.00985,nan,nan,nan,0.0,치수동일한데 저장중량 다름(계산오류),
5210A30994B,명진,4.76,0.65,316.0,0.02371,nan,nan,nan,0.0,치수동일한데 저장중량 다름(계산오류),
5210A30994C,명진,4.76,0.65,316.0,0.02371,nan,nan,nan,0.0,치수동일한데 저장중량 다름(계산오류),
5210A30994D,명진,4.76,0.65,316.0,0.02371,nan,nan,nan,0.0,치수동일한데 저장중량 다름(계산오류),
5210A30994H,명진,4.76,0.65,333.0,0.02499,nan,nan,nan,0.0,치수동일한데 저장중량 다름(계산오류),
5210A30994J,명진,4.76,0.65,333.0,0.02499,nan,nan,nan,0.0,치수동일한데 저장중량 다름(계산오류),
5210A30994K,명진,4.76,0.65,334.0,0.02506,nan,nan,nan,0.0,치수동일한데 저장중량 다름(계산오류),
5210A30998B,명진,4.76,0.65,314.0,0.02356,nan,nan,nan,0.0,치수동일한데 저장중량 다름(계산오류),
5210A30998C,명진,4.76,0.65,316.0,0.02371,nan,nan,nan,0.0,치수동일한데 저장중량 다름(계산오류),
5210A30998F,명진,4.76,0.65,333.0,0.02499,nan,nan,nan,0.0,치수동일한데 저장중량 다름(계산오류),
5210A30998G,명진,4.76,0.65,333.0,0.02499,nan,nan,nan,0.0,치수동일한데 저장중량 다름(계산오류),
MJU42805405,미래,4.76,0.65,173.0,0.01298,nan,nan,nan,0.0,치수동일한데 저장중량 다름(계산오류),
MJU42805406,미래,4.76,0.65,147.0,0.01103,nan,nan,nan,0.0,치수동일한데 저장중량 다름(계산오류),
MJU62078902,명진,4.0,0.6,239.0,0.01369,nan,nan,nan,0.0,치수동일한데 저장중량 다름(계산오류),
MJU63407212,케이비,5.0,0.65,127.0,0.01009,5.0,0.65,nan,0.0,치수동일한데 저장중량 다름(계산오류),★월/Assy별 치수 여러개
MJU63480401,케이비,4.76,0.65,104.0,0.0078,nan,nan,nan,0.0,치수동일한데 저장중량 다름(계산오류),
MJU63480402,케이비,4.76,0.65,138.0,0.01035,nan,nan,nan,0.0,치수동일한데 저장중량 다름(계산오류),
MJU63711305,미래,7.0,0.65,86.0,0.00997,nan,nan,nan,0.0,치수동일한데 저장중량 다름(계산오류),★월/Assy별 치수 여러개
MJU64287009,케이비,9.52,0.65,48.0,0.00777,nan,nan,nan,0.0,치수동일한데 저장중량 다름(계산오류),★월/Assy별 치수 여러개
MJU64329103,중앙,5.0,0.65,110.0,0.00873,5.0,0.65,nan,0.0,치수동일한데 저장중량 다름(계산오류),★월/Assy별 치수 여러개
MJU64329104,중앙,5.0,0.65,111.0,0.00881,5.0,0.65,nan,0.0,치수동일한데 저장중량 다름(계산오류),★월/Assy별 치수 여러개
MJU64329105,중앙,5.0,0.65,114.0,0.00905,5.0,0.65,nan,0.0,치수동일한데 저장중량 다름(계산오류),★월/Assy별 치수 여러개
MJU64329106,중앙,5.0,0.65,119.0,0.00945,5.0,0.65,nan,0.0,치수동일한데 저장중량 다름(계산오류),★월/Assy별 치수 여러개
MJU64329109,중앙,5.0,0.65,109.0,0.00866,5.0,0.65,nan,0.0,치수동일한데 저장중량 다름(계산오류),★월/Assy별 치수 여러개
MJU64431914,케이비,4.76,0.7,293.0,0.02339,nan,nan,nan,0.0,치수동일한데 저장중량 다름(계산오류),★월/Assy별 치수 여러개
MJU64431915,케이비,4.76,0.7,281.0,0.02243,nan,nan,nan,0.0,치수동일한데 저장중량 다름(계산오류),★월/Assy별 치수 여러개
MJU64431916,케이비,4.76,0.7,239.0,0.01908,nan,nan,nan,0.0,치수동일한데 저장중량 다름(계산오류),★월/Assy별 치수 여러개
MJU64794402,미래,4.76,0.65,153.0,0.01148,nan,nan,nan,0.0,치수동일한데 저장중량 다름(계산오류),
MJU64868527,미래,6.35,0.65,95.0,0.00989,nan,nan,nan,0.0,치수동일한데 저장중량 다름(계산오류),★월/Assy별 치수 여러개
MJU64868529,미래,12.7,0.75,1050.0,0.26431,nan,nan,nan,0.0,치수동일한데 저장중량 다름(계산오류),★월/Assy별 치수 여러개
MJU64921201,미래,4.0,0.6,500.0,0.02865,nan,nan,nan,0.0,치수동일한데 저장중량 다름(계산오류),
MJU65789209,케이비,7.0,0.41,99.0,0.00751,nan,nan,nan,0.0,치수동일한데 저장중량 다름(계산오류),
MJU65886301,미래,15.88,0.95,453.0,0.18046,nan,nan,nan,0.0,치수동일한데 저장중량 다름(계산오류),★월/Assy별 치수 여러개
MJU66508201,이젠터,12.7,0.75,831.0,0.20918,nan,nan,nan,0.0,치수동일한데 저장중량 다름(계산오류),
MJU66547301,이젠터,4.76,0.65,309.0,0.02319,nan,nan,nan,0.0,치수동일한데 저장중량 다름(계산오류),
SVC,MTS,12.7,0.75,484.0,0.12183,nan,nan,nan,0.0,치수동일한데 저장중량 다름(계산오류),
