품번,협력사,담당외경,담당T,담당길이,담당개당중량,내외경,내T,내길이,내개당중량,원인,비고
MJU64712401(단품),미래,6.35,0.65,136.0,0.01415,,,,,미등록(비품번:설명/샘플/스펙),
MJU64770701(저압),미래,6.35,0.65,102.0,0.01061,,,,,미등록(비품번:설명/샘플/스펙),
MJU64770710(고압),미래,6.35,0.65,197.0,0.0205,,,,,미등록(비품번:설명/샘플/스펙),
MJU64890909(샘플),MTS,9.52,0.65,221.0,0.03579,,,,,미등록(비품번:설명/샘플/스펙),
MJU64890910(샘플),MTS,9.52,0.65,55.0,0.00891,,,,,미등록(비품번:설명/샘플/스펙),
MJU65517901+용접링,미래,9.52,0.65,100.0,0.01619,,,,,미등록(비품번:설명/샘플/스펙),
MJU65517902+용접링,미래,9.52,0.65,118.0,0.01911,,,,,미등록(비품번:설명/샘플/스펙),
MJU65517903+용접링,미래,9.52,0.65,510.0,0.08258,,,,,미등록(비품번:설명/샘플/스펙),
MJU65517904+용접링,미래,9.52,0.65,218.0,0.0353,,,,,미등록(비품번:설명/샘플/스펙),
MJU65517905+용접링,미래,9.52,0.65,253.0,0.04097,,,,,미등록(비품번:설명/샘플/스펙),
MJU65517906+용접링,미래,9.52,0.65,443.0,0.07173,,,,,미등록(비품번:설명/샘플/스펙),
MJU65517908+용접링,미래,9.52,0.65,235.0,0.03805,,,,,미등록(비품번:설명/샘플/스펙),
MJU65517909+용접링,미래,9.52,0.65,154.0,0.02494,,,,,미등록(비품번:설명/샘플/스펙),
MJU65517911+용접링,미래,9.52,0.65,185.0,0.02996,,,,,미등록(비품번:설명/샘플/스펙),
MJU65517912+용접링,미래,9.52,0.65,174.0,0.02818,,,,,미등록(비품번:설명/샘플/스펙),
MJU65517913+용접링,미래,9.52,0.65,195.0,0.03158,,,,,미등록(비품번:설명/샘플/스펙),
MJU65517914+용접링,미래,9.52,0.55,100.0,0.01386,,,,,미등록(비품번:설명/샘플/스펙),
MJU65517915+용접링,미래,9.52,0.55,118.0,0.01635,,,,,미등록(비품번:설명/샘플/스펙),
MJU65517916+용접링,미래,9.52,0.55,510.0,0.07067,,,,,미등록(비품번:설명/샘플/스펙),
MJU65517917+용접링,미래,9.52,0.55,218.0,0.03021,,,,,미등록(비품번:설명/샘플/스펙),
MJU65517918+용접링,미래,9.52,0.55,253.0,0.03506,,,,,미등록(비품번:설명/샘플/스펙),
MJU65517919+용접링,미래,9.52,0.55,443.0,0.06138,,,,,미등록(비품번:설명/샘플/스펙),
MJU65517921+용접링,미래,9.52,0.55,235.0,0.03256,,,,,미등록(비품번:설명/샘플/스펙),
MJU65517922+용접링,미래,9.52,0.55,154.0,0.02134,,,,,미등록(비품번:설명/샘플/스펙),
MJU65517924+용접링,미래,9.52,0.55,185.0,0.02563,,,,,미등록(비품번:설명/샘플/스펙),
MJU65517925+용접링,미래,9.52,0.55,174.0,0.02411,,,,,미등록(비품번:설명/샘플/스펙),
MJU65706709  9.52*0.65*L340 2085*4=8340  개발 송민찬 요청,미래,9.52,0.65,340.0,0.05506,,,,,미등록(비품번:설명/샘플/스펙),
MJU66469736 12.7*0.75*L852 8110*5=40550 개발 송민찬 요청,미래,12.7,0.75,852.0,0.21446,,,,,미등록(비품번:설명/샘플/스펙),
MJU66469737 12.7*0.75*L278 2645*5=13225 개발 송민찬 요청,미래,12.7,0.75,278.0,0.06998,,,,,미등록(비품번:설명/샘플/스펙),
MJU66469739  12.7*0.75*L392 3730*5=18650  개발 송민찬 요청,미래,12.7,0.75,392.0,0.09867,,,,,미등록(비품번:설명/샘플/스펙),
MJU66471701+용접링,미래,9.52,0.65,168.0,0.0272,,,,,미등록(비품번:설명/샘플/스펙),
MJU66471702+용접링,미래,9.52,0.65,190.0,0.03077,,,,,미등록(비품번:설명/샘플/스펙),
MJU66471705+용접링,미래,9.52,0.65,242.0,0.03919,,,,,미등록(비품번:설명/샘플/스펙),
MJU66471706+용접링,미래,9.52,0.65,259.0,0.04194,,,,,미등록(비품번:설명/샘플/스펙),
MJU66471707+용접링,미래,9.52,0.65,199.0,0.03222,,,,,미등록(비품번:설명/샘플/스펙),
MJU66479301(20.08시방),미래,12.7,0.75,577.0,0.14524,,,,,미등록(비품번:설명/샘플/스펙),
MJU66503001+용접링,미래,9.52,0.65,338.0,0.05473,,,,,미등록(비품번:설명/샘플/스펙),
MJU66571302+용접링,중앙,9.52,0.65,219.0,0.03546,,,,,미등록(비품번:설명/샘플/스펙),
MJU66571303+용접링,중앙,9.52,0.65,415.0,0.0672,,,,,미등록(비품번:설명/샘플/스펙),
MJU66571305+용접링,중앙,9.52,0.65,347.0,0.05619,,,,,미등록(비품번:설명/샘플/스펙),
MJU66571306+용접링,중앙,9.52,0.65,446.0,0.07222,,,,,미등록(비품번:설명/샘플/스펙),
MJU66571308+용접링,"중앙,케이비",9.52,0.55,219.0,0.03035,,,,,미등록(비품번:설명/샘플/스펙),
MJU66571310+용접링,중앙,9.52,0.55,347.0,0.04808,,,,,미등록(비품번:설명/샘플/스펙),★월/Assy별 치수 여러개
MJU66571311+용접링,중앙,9.52,0.55,446.0,0.0618,,,,,미등록(비품번:설명/샘플/스펙),★월/Assy별 치수 여러개
MJU66746201(20.08시방),미래,15.88,0.95,663.0,0.26411,,,,,미등록(비품번:설명/샘플/스펙),
MJU66867129   9.52*0.65*L64 237*8=1896 개발 송민찬 요청,미래,9.52,0.65,64.0,0.01036,,,,,미등록(비품번:설명/샘플/스펙),
MJU66867129 개발 송민찬 사원 요청 9.52*0.65*L60 222*8=1776,미래,9.52,0.65,60.0,0.00972,,,,,미등록(비품번:설명/샘플/스펙),
MJU66867133   9.52*0.65*L215 792*4=3168 개발 송민찬 요청,미래,9.52,0.65,215.0,0.03481,,,,,미등록(비품번:설명/샘플/스펙),
MJU66867133 개발 송민찬 사원 요청 9.52*0.65*L215 792*4=3168,미래,9.52,0.65,215.0,0.03481,,,,,미등록(비품번:설명/샘플/스펙),
MJU66867134   9.52*0.65*L66 243*4=972 개발 송민찬 요청,미래,9.52,0.65,66.0,0.01069,,,,,미등록(비품번:설명/샘플/스펙),
MJU66867134 개발 송민찬 사원 요청 9.52*0.65*L66 243*4=972,미래,9.52,0.65,66.0,0.01069,,,,,미등록(비품번:설명/샘플/스펙),
MJU66894824 (9.52*66) \-340,중앙,9.52,0.65,66.0,0.01069,,,,,미등록(비품번:설명/샘플/스펙),
MJU66894825 (9.52*68) \-300,중앙,9.52,0.65,68.0,0.01101,,,,,미등록(비품번:설명/샘플/스펙),
MJU66928208 15.88*0.95*L705 6360*27=171720 개발송민찬 사원 요청,미래,15.88,0.95,705.0,0.28084,,,,,미등록(비품번:설명/샘플/스펙),
MJU66932501 6.35*0.65*L42 102*3=306 개발 송민찬 요청,미래,6.35,0.65,42.0,0.00437,,,,,미등록(비품번:설명/샘플/스펙),
MJU66932502  6.35*0.65*L45 108*3=324 개발 송민찬 요청,미래,6.35,0.65,45.0,0.00468,,,,,미등록(비품번:설명/샘플/스펙),
MJU66932503 6.35*0.65*L192  459*3=1377 개발 송민찬 요청,미래,6.35,0.65,192.0,0.01998,,,,,미등록(비품번:설명/샘플/스펙),
MJU66932504 6.35*0.65*L55 132*3=396 개발 송민찬 요청,미래,6.35,0.65,55.0,0.00572,,,,,미등록(비품번:설명/샘플/스펙),
MJU66932505  6.35*0.65*L52 126*3=378 개발 송민찬 요청,미래,6.35,0.65,52.0,0.00541,,,,,미등록(비품번:설명/샘플/스펙),
MJU66932506  6.35*0.65*L196 468*3=1404 개발 송민찬 요청,미래,6.35,0.65,196.0,0.02039,,,,,미등록(비품번:설명/샘플/스펙),
MJU66954303 개발 초품용7.94*0.65*L121 620*10=6200 개발 신윤철 요청,미래,7.94,0.65,121.0,0.0161,,,,,미등록(비품번:설명/샘플/스펙),
MJU66954404 9.52*0.65*L89 327*10=\3270 개발 송민찬 요청,미래,9.52,0.65,89.0,0.01441,,,,,미등록(비품번:설명/샘플/스펙),
MJU66954603 12.7*0.75*L456 2604*6=15624 개발 윤동한 주임 요청,미래,12.7,0.75,456.0,0.11478,,,,,미등록(비품번:설명/샘플/스펙),
