품번,파이프수불_치수들,견적서_치수,업체명
4H00049A,6.35x0.65x110 / 6.35x0.65x112 / 6.35x0.65x114 / 6.35x0.65x117 / 6.35x0.7x111 / 6.35x0.7x112 / 6.35x0.7x113 / 6.35x0.7x114,6.35x0.65x114 / 6.35x0.7x111 / 6.35x0.7x112 / 6.35x0.7x113 / 6.35x0.7x114,"대원산업,미래정밀,썬텍코리아,이젠터,중앙정밀"
4H00901F,6.35x0.65x120 / 6.35x0.7x125 / 7.0x0.65x121,6.35x0.65x120 / 6.35x0.65x125,"대원산업,이젠터"
4H01281C,6.35x0.65x122 / 6.35x0.65x125 / 6.35x0.65x137 / 6.35x0.7x73 / 6.35x0.7x120,6.35x0.65x123 / 6.35x0.65x125 / 6.35x0.7x120 / 6.35x0.7x123,"대원산업,미래정밀,이젠터,중앙정밀"
5210A22520B,6.35x0.65x65 / 6.35x0.9x67 / 6.35x0.9x70 / 6.35x0.9x72,6.35x0.9x70 / 6.35x0.9x71,"MTS,이젠터,중앙정밀,케이비"
5210A22950A,6.35x0.65x171 / 6.35x0.7x173,6.35x0.65x171 / 6.35x0.7x173,"미래정밀,이젠터"
5210A23089A,6.35x0.65x142 / 6.35x0.65x144 / 6.35x0.7x141 / 6.35x0.7x143 / 6.35x0.7x144,6.35x0.65x141 / 6.35x0.7x141 / 6.35x0.7x143 / 6.35x0.7x144,"대원산업,미래정밀,이젠터,중앙정밀"
5210A24673B,12.7x0.75x68 / 19.05x0.95x353 / 19.05x0.95x383,(견적서 없음),MTS
5210A31939A,6.35x0.65x143 / 6.35x0.7x143 / 6.35x0.7x144 / 6.35x0.7x145 / 6.35x0.7x147,6.35x0.65x143 / 6.35x0.65x145 / 6.35x0.7x144 / 6.35x0.7x145,"명진산업,미래정밀,이젠터,중앙정밀"
DISCHARGE-PART1,12.7x0.75x773 / 12.7x0.75x932 / 22.22x1.15x287,(견적서 없음),미래정밀
DISCHARGE-PART2,9.52x0.65x182 / 22.22x1.15x198,(견적서 없음),미래정밀
MJU30588601,4.76x0.65x117 / 4.76x0.65x118 / 9.52x0.65x215,4.76x0.65x117 / 4.76x0.65x118 / 9.52x0.65x215,"미래정밀,케이비"
MJU41254401,6.35x0.65x170 / 7.0x0.65x172,7.0x0.65x172,"미래정밀,중앙정밀"
MJU41254402,6.35x0.65x150 / 7.0x0.65x151,7.0x0.65x151,"미래정밀,중앙정밀"
MJU41254403,6.35x0.65x176 / 7.0x0.65x181,7.0x0.65x181,"미래정밀,중앙정밀"
MJU41254404,6.35x0.65x155 / 7.0x0.65x155,7.0x0.65x155,"미래정밀,중앙정밀"
MJU42911802,9.52x1.45x40 / 19.05x0.95x391,9.52x1.45x40,"MTS,케이비"
