품번,품명,유형,사내거래처,매입가(JS제외),매입가출처,견적재료비,비고
MJU66800301,Tube Connector,사급부품,가공반(사내);제이에스,1246,가공반(사내),1246,
MJU66800302,Tube Connector,사급부품,가공반(사내);제이에스,2236,가공반(사내),2236,
MJU66800303,Tube Connector,사급부품,가공반(사내);제이에스,318,가공반(사내),318,
MJU66800402,Tube Connector,사급부품,제이에스,3052,제이에스,2330,JS만(가격신뢰X)
MJU66800403,Tube Connector,사급부품,가공반(사내);제이에스,1132,가공반(사내),994,
MJU66800404,Tube Connector,사급부품,가공반(사내);제이에스,1542,가공반(사내),1696,
MJU66800405,Tube Connector,사급부품,가공반(사내);제이에스,2373,가공반(사내),2373,
MJU66801001,"Tube,Connector",동관,가공반(사내);제이에스,2003,가공반(사내),1619,
MJU66845401,Tube Connector,사급부품,가공반(사내);제이에스,477,가공반(사내),1168,
MJU66845402,Tube Connector,사급부품,가공반(사내);제이에스,697,가공반(사내),1478,
MJU66928001,"Tube,Connector",사급부품,제이에스,2860,제이에스,3831,JS만(가격신뢰X)
MJU66928301,Tube Connector,동관,제이에스,1084,제이에스,2200,JS만(가격신뢰X)
MJU66928307,Tube Connector,사급부품,제이에스,739,제이에스,720,JS만(가격신뢰X)
MJU66930201,"Tube,Connector",사급부품,제이에스,6569,제이에스,6467,JS만(가격신뢰X)
MJU66930202,"Tube,Manifold",사급부품,제이에스,1784,제이에스,1796,JS만(가격신뢰X)
MJU66930302,"Tube,Connector",사급부품,제이에스,607,제이에스,2143,JS만(가격신뢰X)
MJU66945401,Tube Connector,사급부품,제이에스,1953,제이에스,4165,JS만(가격신뢰X)
MJU66954701,Tube Connector,동관,제이에스,3050,제이에스,2538,JS만(가격신뢰X)
MJU67039503,"Tube,Connector",사급부품,제이에스,607,제이에스,275,JS만(가격신뢰X)
