협력사,품번,품명,등급,제작동관중량,시점,이전원재료비,이후원재료비,원재료비증가,사급부품가,가공비(고정),이전판가,이후판가,판가증가,최근납품가
대원산업,AJR30038201-12-5,"Tube,Connector",일반CU,0.0,작년(7.5k),370,987,617,405,112,887,1504,617,1357
대원산업,AJR30038201-12-2,"Tube,Connector",일반CU,0.0,작년(7.5k),350,933,583,405,112,867,1450,583,1293
대원산업,AJR76462608,"Tube,Connector",일반CU,0.0457,작년(7.5k),346,923,577,91,410,847,1424,577,1467
대원산업,AJR30038201-12-3,"Tube,Connector",일반CU,0.0,작년(7.5k),340,907,567,405,112,857,1424,567,1255
대원산업,AJR76462620,Tube Connector,일반CU,0.1143,올해(20k),325,866,541,91,377,793,1334,541,1350
대원산업,AJR30038201-12-4,"Tube,Connector",일반CU,0.0,작년(7.5k),310,827,517,405,112,827,1344,517,1201
대원산업,AJR75563503-12-1,"Tube,Connector",일반CU,0.099,올해(20k),285,760,475,846,1181,2312,2787,475,3360
대원산업,AJR30038201-12-1,"Tube,Connector",일반CU,0.0,작년(7.5k),280,747,467,405,112,797,1264,467,1168
대원산업,AJR30117401-12-1,"Tube,Connector",고강도CU,0.0115,작년(7.5k),149,437,288,390,239,778,1066,288,947
대원산업,AJR36852706-12-1,"Tube,Connector",일반CU,0.0216,작년(7.5k),166,443,277,1460,509,2135,2412,277,2500
대원산업,AJR74290001-12-1,"Tube,Connector",일반CU,0.0177,작년(7.5k),141,376,235,1036,348,1525,1760,235,2300
대원산업,AJR75104017-12-1,"Tube,Connector",일반CU,0.0451,올해(20k),130,346,216,538,458,1126,1342,216,1386
대원산업,AJR30073603-12-1,"Tube,Connector",일반CU,0.0389,올해(20k),110,294,184,2209,2175,4494,4678,184,4824
대원산업,AJR74523201-12-1,"Tube,Connector",일반CU,0.0133,작년(7.5k),102,272,170,390,236,728,898,170,820
대원산업,AJR30073601-12-1,"Tube,Connector",일반CU,0.0356,올해(20k),101,270,169,2209,2173,4483,4652,169,4800
대원산업,AJR30078601-12-3,"Tube,Pinch off",일반CU,0.0126,작년(7.5k),96,256,160,2143,166,2405,2565,160,3774
대원산업,AJR30078601-12-1,Tube Connector,고강도CU,0.0061,작년(7.5k),78,229,151,6467,1534,8079,8230,151,13328
대원산업,AJR30078601-12-2,"Tube,Connector",고강도CU,0.0061,작년(7.5k),78,229,151,1796,409,2283,2434,151,3476
대원산업,AJR30117401-12-2,"Tube,Connector",고강도CU,0.0051,작년(7.5k),67,197,130,390,180,637,767,130,806
대원산업,AJR75563502-12-2,"Tube,Connector",일반CU,0.0074,작년(7.5k),57,152,95,1008,180,1245,1340,95,1436
대원산업,AJR76562802-12-1,Tube Connector,일반CU,0.0071,작년(7.5k),55,147,92,4714,1356,6125,6217,92,8000
대원산업,AJR76562802-12-2,"Tube,Connector",일반CU,0.0071,작년(7.5k),55,147,92,1297,382,1734,1826,92,2000
대원산업,AJR74523201-12-2,"Tube,Connector",일반CU,0.0059,작년(7.5k),46,123,77,390,178,614,691,77,750
대원산업,AJR76562802-12-3,"Tube,Pinch off",일반CU,0.0126,올해(20k),36,96,60,1389,166,1591,1651,60,1700
대원산업,AJR33796512-12-1,Distributor,일반CU,0.0,올해(20k),0,0,0,3927,2283,6210,6210,0,6436
대원산업,MJU63618001,"Tube,Connector",일반CU,0.0,올해(20k),0,0,0,1141,238,1379,1379,0,1600
대원산업,AJR30027701-12-2,Tube Connector,일반CU,0.0,올해(20k),0,0,0,6437,2341,8778,8778,0,17988
대원산업,AJR30012008-9-1,Tube Connector,일반CU,0.0,올해(20k),0,0,0,6872,798,7670,7670,0,17678
대원산업,AJR75242815-12-1,"Tube,Connector",일반CU,0.0,올해(20k),0,0,0,757,298,1055,1055,0,3681
명진산업,AJR73965601-19-4,"Tube,Connector",일반CU,0.0,작년(7.5k),700,1867,1167,0,204,904,2071,1167,1883
명진산업,AJR73965601-19-5,"Tube,Connector",일반CU,0.0,작년(7.5k),700,1867,1167,0,204,904,2071,1167,1883
명진산업,AJR73965601-19-6,"Tube,Connector",일반CU,0.0,작년(7.5k),700,1867,1167,390,204,1294,2461,1167,1883
명진산업,AJR73965601-19-1,"Tube,Connector",일반CU,0.0,작년(7.5k),680,1813,1133,390,192,1262,2395,1133,2051
명진산업,AJR73965601-19-2,"Tube,Connector",일반CU,0.0,작년(7.5k),680,1813,1133,390,192,1262,2395,1133,2051
명진산업,AJR73965601-19-3,"Tube,Connector",일반CU,0.0,작년(7.5k),680,1813,1133,390,202,1272,2405,1133,2051
명진산업,AJR77142503-19-1,"Tube,Connector",일반CU,0.0506,작년(7.5k),388,1035,647,0,397,785,1432,647,1594
명진산업,AJR73965601-19-7,"Tube,Connector",일반CU,0.0,올해(20k),322,860,538,390,204,916,1454,538,2161
명진산업,AJR73965601-19-8,"Tube,Connector",일반CU,0.0,올해(20k),322,860,538,390,204,916,1454,538,2161
명진산업,AJR77202902-19-1,"Tube,Connector",일반CU,0.0266,올해(20k),199,531,332,299,768,1266,1598,332,1650
명진산업,AJR75563402-19-1,"Tube,Connector",일반CU,0.0616,올해(20k),177,472,295,243,726,1146,1441,295,1450
명진산업,AJR77142503-19-2,"Tube,Connector",일반CU,0.0228,작년(7.5k),175,467,292,0,450,625,917,292,1178
명진산업,AJR30060805-19-1,Tube Connector,일반CU,0.0149,작년(7.5k),114,304,190,2313,434,2861,3051,190,3495
명진산업,AJR75062907-19-6,"Tube,Connector",일반CU,0.013,작년(7.5k),100,267,167,1104,587,1791,1958,167,1950
