협력사,품번,품명,등급,제작동관중량,시점,이전원재료비,이후원재료비,원재료비증가,사급부품가,가공비(고정),이전판가,이후판가,판가증가,최근납품가
미래정밀,AJR74364919-4-1,"Tube,Connector",일반CU,0.0277,올해(20k),79,210,131,405,196,680,811,131,914
미래정밀,AJR74364919-4-4,"Tube,Connector",일반CU,0.0277,올해(20k),79,210,131,405,196,680,811,131,914
미래정밀,AJR30089602-4-3,Tube Connector,일반CU,0.0275,올해(20k),78,209,131,405,309,792,923,131,964
미래정밀,AJR74364921-4-1,"Tube,Connector",일반CU,0.0269,올해(20k),76,204,128,405,197,678,806,128,914
미래정밀,AJR74364918-4-1,미래 SUB,일반CU,0.0099,작년(7.5k),76,203,127,570,110,756,883,127,916
미래정밀,AJR74364923-4-1,"Tube,Connector",일반CU,0.0254,올해(20k),72,193,121,405,194,671,792,121,838
미래정밀,AJR30089616-4-1,미래 SUB,일반CU,0.0054,작년(7.5k),70,187,117,0,168,238,355,117,765
미래정밀,AJR74364919-4-2,"Tube,Connector",일반CU,0.024,올해(20k),68,182,114,405,193,666,780,114,866
미래정밀,AJR74364923-4-2,"Tube,Connector",일반CU,0.024,올해(20k),68,182,114,405,193,666,780,114,828
미래정밀,AJR30089603-4-2,Tube Connector,일반CU,0.023,올해(20k),65,174,109,405,304,774,883,109,944
미래정밀,AJR30089602-4-2,Tube Connector,일반CU,0.0223,올해(20k),63,169,106,405,302,770,876,106,944
미래정밀,AJR74364921-4-2,"Tube,Connector",일반CU,0.0215,올해(20k),61,163,102,405,192,658,760,102,837
미래정밀,AJR30089603-4-3,Tube Connector,일반CU,0.0214,올해(20k),61,162,101,405,302,768,869,101,934
미래정밀,AJR74364912-4-2,"Tube,Connector",일반CU,0.0062,작년(7.5k),48,128,80,390,165,603,683,80,772
미래정밀,AJR77163101-4-1,"Tube,Connector",일반CU,0.0,올해(20k),0,0,0,4344,360,4704,4704,0,9962
미래정밀,AJR77144606-4-1,"Tube,Connector",일반CU,0.0,올해(20k),0,0,0,872,135,1007,1007,0,1611
미래정밀,AJR77144606-4-2,"Tube,Connector",일반CU,0.0,올해(20k),0,0,0,1507,135,1642,1642,0,3167
미래정밀,AJR74364918-4-2,"Tube,Connector",일반CU,0.0,올해(20k),0,0,0,570,110,680,680,0,916
미래정밀,AJR74364918-4-3,"Tube,Connector",일반CU,0.0,올해(20k),0,0,0,510,110,620,620,0,772
미래정밀,AJR74364922-4-1,"Tube,Connector",일반CU,0.0,올해(20k),0,0,0,560,110,670,670,0,916
미래정밀,AJR30075401-4-1,Tube Connector,일반CU,0.0,올해(20k),0,0,0,2286,399,2685,2685,0,4450
미래정밀,AJR30075401-4-3,Tube Connector,일반CU,0.0,올해(20k),0,0,0,1842,401,2243,2243,0,4120
미래정밀,AJR76582505-4-1,Tube Connector,일반CU,0.0,올해(20k),0,0,0,1542,411,1953,1953,0,3587
미래정밀,AJR76582505-4-2,Tube Connector,일반CU,0.0,올해(20k),0,0,0,401,165,566,566,0,959
미래정밀,AJR76582505-4-3,Tube Connector,일반CU,0.0,올해(20k),0,0,0,2313,447,2760,2760,0,5029
미래정밀,AJR76582505-4-4,Tube Connector,일반CU,0.0,올해(20k),0,0,0,441,168,609,609,0,1099
미래정밀,AJR76582506-4-1,Tube Connector,일반CU,0.0,올해(20k),0,0,0,2013,424,2437,2437,0,4256
미래정밀,AJR30060805-4-1,Tube Connector,일반CU,0.0,올해(20k),0,0,0,2833,484,3317,3317,0,6864
미래정밀,AHQ73469301-4-1,Tube Connector,일반CU,0.0,올해(20k),0,0,0,7326,762,8088,8088,0,8100
미래정밀,AJR74963003-4-1,미래SUB,일반CU,0.0,올해(20k),0,0,0,4802,558,5360,5360,0,5200
썬텍,AJR30125501-20-1,썬텍 sub,일반CU,0.2931,작년(7.5k),5862,15632,9770,0,1004,6866,16636,9770,20505
썬텍,AJR77188802-20-1,썬텍 SUB,일반CU,0.243,작년(7.5k),1834,4891,3057,0,544,2378,5435,3057,18075
썬텍코리아,AJR76562804-20-1,Tube Connector,일반CU,0.46,올해(20k),3450,9200,5750,0,2758,6208,11958,5750,14900
썬텍코리아,AJR30125505-20-1,Tube Connector,일반CU,0.2856,올해(20k),2142,5711,3569,11948,998,15088,18657,3569,20200
썬텍코리아,AJR76562804-20-2,Tube Connector,일반CU,0.1988,올해(20k),1491,3977,2486,0,1148,2639,5125,2486,6200
썬텍코리아,AJR75462802-20-1,Tube Connector,일반CU,0.0807,올해(20k),605,1614,1009,4422,443,5470,6479,1009,7100
썬텍코리아,AJR30125601-20-2,Tube Connector,일반CU,0.0257,작년(7.5k),515,1373,858,6570,368,7453,8311,858,7950
썬텍코리아,AJR30125603-20-1,Tube Connector,일반CU,0.0257,작년(7.5k),515,1373,858,5581,368,6464,7322,858,7000
썬텍코리아,AJR30125601-20-1,Tube Connector,일반CU,0.0517,올해(20k),387,1033,646,15199,574,16160,16806,646,17500
이젠터,AJR53980903-3-1,이젠터 SUB,일반CU,0.1235,작년(7.5k),934,2491,1557,0,635,1569,3126,1557,3796
이젠터,AJR75462802-3-1,"Tube,Connector",일반CU,0.0,올해(20k),0,0,0,7259,195,7454,7454,0,7600
중앙정밀,AJR75483401-1-2,"Tube,Connector",일반CU,0.1352,작년(7.5k),1022,2725,1703,716,387,2125,3828,1703,3909
중앙정밀,AJR75463101-1-2,"Tube,Connector",일반CU,0.1183,작년(7.5k),895,2387,1492,716,359,1970,3462,1492,3550
중앙정밀,AJR76363201-1-1,"Tube,Connector",일반CU,0.0993,작년(7.5k),752,2005,1253,629,211,1592,2845,1253,3047
중앙정밀,AJR74803543-1-1,"Tube,Connector",일반CU,0.0843,작년(7.5k),639,1704,1065,0,489,1128,2193,1065,2342
중앙정밀,AJR77224508-1-1,"Tube,Connector",일반CU,0.069,작년(7.5k),523,1395,872,1454,381,2358,3230,872,4748
중앙정밀,AJR75463101-1-1,"Tube,Connector",일반CU,1.5629,작년(7.5k),497,1325,828,1116,182,1795,2623,828,2333
중앙정밀,AJR30012008-1-1,"Tube,Connector",일반CU,0.0641,작년(7.5k),486,1296,810,55,249,790,1600,810,1601
중앙정밀,AJR76322701-1-1,"Tube,Connector",일반CU,0.0568,작년(7.5k),431,1149,718,685,403,1519,2237,718,2415
중앙정밀,AJJ74578316-1-2,"Tube,Connector",일반CU,0.0538,작년(7.5k),407,1085,678,347,314,1068,1746,678,1795
중앙정밀,AJJ74578314-1-1,"Tube,Connector",일반CU,0.0454,작년(7.5k),344,917,573,624,260,1228,1801,573,2154
중앙정밀,AJR30089621-1-3,"Tube,Connector",고강도CU,0.0227,작년(7.5k),292,857,565,405,204,901,1466,565,1214
중앙정밀,AJR76363201-1-2,"Tube,Connector",일반CU,0.0429,작년(7.5k),325,867,542,624,259,1208,1750,542,2171
중앙정밀,AJJ75318301-1-1,"Tube,Connector",일반CU,0.0415,작년(7.5k),314,837,523,65,221,600,1123,523,1100
중앙정밀,AJR30089621-1-2,"Tube,Connector",고강도CU,0.0198,작년(7.5k),255,748,493,405,201,861,1354,493,1176
중앙정밀,AJR75802501-1-2,"Tube,Connector",일반CU,0.0384,작년(7.5k),295,787,492,538,276,1109,1601,492,2002
중앙정밀,AJR30089621-1-1,"Tube,Connector",고강도CU,0.0468,올해(20k),205,602,397,405,247,857,1254,397,1828
중앙정밀,AJR74943201-1-1,"Tube,Connector",일반CU,0.0302,작년(7.5k),228,608,380,2035,514,2777,3157,380,5091
중앙정밀,AJJ74578316-1-1,"Tube,Connector",일반CU,0.0271,작년(7.5k),205,547,342,347,245,797,1139,342,1169
중앙정밀,AJR74803541-1-2,"Tube,Connector",일반CU,0.0254,작년(7.5k),195,520,325,620,356,1171,1496,325,2050
중앙정밀,AJR74963101-1-1,"Tube,Connector",일반CU,0.0249,작년(7.5k),188,501,313,1552,514,2254,2567,313,4467
중앙정밀,AJJ74578324-1-1,"Tube,Connector",일반CU,0.0244,작년(7.5k),185,493,308,391,201,777,1085,308,1084
중앙정밀,AJR77188701-1-1,"Tube,Connector",일반CU,0.0607,올해(20k),172,460,288,685,356,1213,1501,288,1637
중앙정밀,AJR75802501-1-1,"Tube,Connector",일반CU,0.0222,작년(7.5k),170,453,283,538,274,982,1265,283,1700
중앙정밀,AJR30089604-1-1,"Tube,Connector",일반CU,0.0547,올해(20k),156,415,259,405,234,795,1054,259,1200
중앙정밀,AJJ74578314-1-2,"Tube,Connector",일반CU,0.0168,작년(7.5k),128,341,213,629,133,890,1103,213,1405
중앙정밀,AJR75544609-1-1,"Tube,Connector",일반CU,0.0424,올해(20k),120,321,201,685,325,1130,1331,201,1398
중앙정밀,AJR74803541-1-1,"Tube,Connector",일반CU,0.0136,작년(7.5k),105,280,175,620,308,1033,1208,175,1644
중앙정밀,AJR74424612-1-1,"Tube,Connector",일반CU,0.0102,작년(7.5k),77,205,128,4815,479,5371,5499,128,10653
중앙정밀,AJR30089604-1-3,"Tube,Connector",일반CU,0.0266,올해(20k),75,201,126,405,198,678,804,126,900
중앙정밀,AJR30089604-1-2,"Tube,Connector",일반CU,0.0232,올해(20k),66,175,109,405,195,666,775,109,900
중앙정밀,AJR74803516-1-2,"Tube,Connector",일반CU,0.0177,올해(20k),51,136,85,538,304,893,978,85,1047
중앙정밀,AJR74803516-1-1,"Tube,Connector",일반CU,0.0172,올해(20k),50,132,82,538,287,875,957,82,1029
중앙정밀,AJR75483701-1-1,"Tube,Connector",일반CU,0.0,올해(20k),0,0,0,412,63,475,475,0,962
중앙정밀,AJR75483701-1-2,"Tube,Connector",일반CU,0.0,올해(20k),0,0,0,365,63,428,428,0,827
중앙정밀,AJR74963102-1-1,"Tube,Manifold",일반CU,0.0,올해(20k),0,0,0,1502,308,1810,1810,0,3724
중앙정밀,AJR74943202-1-1,"Tube,Connector",일반CU,0.0,올해(20k),0,0,0,1961,306,2267,2267,0,3487
중앙정밀,AJR34565827-1-1,"Tube,Connector",일반CU,0.0,올해(20k),0,0,0,798,195,993,993,0,1586
중앙정밀,AJR34565827-1-2,"Tube,Connector",일반CU,0.0,올해(20k),0,0,0,985,195,1180,1180,0,2014
중앙정밀,AJR77224507-1-1,Tube Connector,일반CU,0.0,올해(20k),0,0,0,2224,199,2423,2423,0,4774
중앙정밀,AJR77224502-1-2,"Solder,Drawing",일반CU,0.0,올해(20k),0,0,0,0,2579,2579,2579,0,4976
중앙정밀,AJR30089620-1-1,"Tube,Connector",일반CU,0.0,올해(20k),0,0,0,775,163,938,938,0,1212
중앙정밀,AJR74364920-1-2,"Tube,Connector",일반CU,0.0,올해(20k),0,0,0,590,163,753,753,0,872
중앙정밀,AJR30089620-1-2,"Tube,Connector",일반CU,0.0,올해(20k),0,0,0,775,163,938,938,0,1032
중앙정밀,AJR76502605-1-1,"Tube,Connector",일반CU,0.0,올해(20k),0,0,0,772,193,965,965,0,1445
케이비,AJR30106101-16-2,"Tube,Connector",일반CU,0.1059,작년(7.5k),1628,4341,2713,2158,1418,5204,7917,2713,6697
케이비,AJR74007502-16-1,"Tube,Connector",일반CU,0.1808,작년(7.5k),1367,3645,2278,56,334,1757,4035,2278,4019
케이비,AJR30123401-16-1,"Tube,Connector",일반CU,0.0886,작년(7.5k),1344,3584,2240,4837,1518,7699,9939,2240,10820
케이비,AJR30075101-16-1,"Tube,Connector",일반CU,0.072,작년(7.5k),931,2483,1552,3831,4827,9589,11141,1552,10876
케이비,AJR75242816-16-1,"Tube,Connector",일반CU,0.0658,작년(7.5k),881,2349,1468,757,701,2339,3807,1468,3245
케이비,AJR30060707-16-1,"Tube,Connector",일반CU,0.0952,올해(20k),714,1903,1189,3100,848,4662,5851,1189,6600
케이비,AJR30106101-16-1,"Tube,Connector",일반CU,0.0538,작년(7.5k),684,1824,1140,685,596,1965,3105,1140,2591
케이비,AJR30060701-16-1,"Tube,Connector",일반CU,0.1178,올해(20k),679,1811,1132,287,925,1891,3023,1132,3500
케이비,AJR30012101-16-3,"Tube,Connector",일반CU,0.0832,올해(20k),624,1663,1039,7363,704,8691,9730,1039,10000
케이비,AJR75242814-16-1,"Tube,Connector",일반CU,0.0659,작년(7.5k),523,1395,872,757,774,2054,2926,872,2828
케이비,MJU66571311+용접링,"Tube,Connector",고강도CU,0.0697,올해(20k),347,1018,671,20,276,643,1314,671,1566
케이비,AJR74007502-16-2,"Tube,Connector",일반CU,0.0513,작년(7.5k),389,1037,648,2214,482,3085,3733,648,6733
케이비,AJR75713001-16-1,"Tube,Connector",일반CU,0.0449,작년(7.5k),346,923,577,682,327,1355,1932,577,2411
케이비,AJR30012101-16-1,"Tube,Connector",일반CU,0.0435,올해(20k),327,871,544,0,507,834,1378,544,1330
케이비,MJU66571310+용접링,"Tube,Connector",고강도CU,0.0563,올해(20k),280,822,542,20,227,527,1069,542,1256
케이비,AJR74803521-16-1,"Tube,Connector",일반CU,0.0498,올해(20k),293,782,489,1209,783,2285,2774,489,3100
케이비,AJR30102601-16-2,"Tube,Connector",일반CU,0.012,작년(7.5k),240,640,400,3773,575,4588,4988,400,5100
케이비,MJU66571308+용접링,"Tube,Connector",고강도CU,0.0303,올해(20k),151,443,292,20,182,353,645,292,843
케이비,AHQ73469301-16-1,"Tube,Connector",일반CU,0.0169,올해(20k),127,339,212,4406,375,4908,5120,212,5300
케이비,AJR74488604-16-1,"Tube,Connector",일반CU,0.0418,올해(20k),120,321,201,0,299,419,620,201,700
케이비,AJR74488604-16-2,"Tube,Connector",일반CU,0.0277,올해(20k),80,213,133,1008,523,1611,1744,133,1850
케이비,AJR30060704-16-1,"Tube,Connector",일반CU,0.0,올해(20k),0,0,0,2937,540,3477,3477,0,4222
케이비,AJR30123401-16-2,"Tube,Connector",일반CU,0.0,올해(20k),0,0,0,4416,184,4600,4600,0,4766
케이비,AJR30012101-16-2,"Tube,Connector",일반CU,0.0,올해(20k),0,0,0,2804,159,2963,2963,0,3100
케이비,AJR30102601-16-1,"Tube,Connector",일반CU,0.0,올해(20k),0,0,0,2597,246,2843,2843,0,2900
케이비,AJR30102602-16-1,"Tube,Connector",일반CU,0.0,올해(20k),0,0,0,2985,246,3231,3231,0,5100
케이비,AJR30102601-16-3,"Tube,Connector",일반CU,0.0,올해(20k),0,0,0,2753,171,2924,2924,0,2965
