구분,P/N,협력사,엑셀중량,기하중량/비교,외경,두께,길이,배수/비고
②시트간스펙충돌,MJU64906801,명진/케이비,,,,,,명진:Φ6.35 T0.65 L384.0 | 케이비:Φ6.35 T0.65 L392.0
②시트간스펙충돌,MJU64856801,명진/케이비,,,,,,명진:Φ6.35 T0.65 L300.0 | 케이비:Φ6.35 T0.65 L306.0
②시트간스펙충돌,MJU66845510,명진/케이비,,,,,,명진:Φ4.76 T0.65 L1206.0 | 케이비:Φ4.76 T0.65 L1212.0
②시트간스펙충돌,MJU65146132,명진/케이비,,,,,,명진:Φ4.76 T0.65 L230.0 | 케이비:Φ4.76 T0.65 L237.0 | 케이비:Φ4.76 T0.65 L240.0
②시트간스펙충돌,MJU65146134,명진/케이비,,,,,,명진:Φ4.76 T0.65 L173.0 | 명진:Φ4.76 T0.65 L173.0 | 케이비:Φ4.76 T0.65 L179.0 | 케이비:Φ4.76 T0.65 L183.0
②시트간스펙충돌,MJU65146135,명진/케이비,,,,,,명진:Φ4.76 T0.65 L69.0 | 명진:Φ4.76 T0.65 L69.0 | 명진:Φ4.76 T0.65 L69.0 | 명진:Φ4.76 T0.65 L69.0 | 명진:Φ4.76 T0.65 L69.0 | 명진:Φ4.76 T0.65 L69.0 | 명진:Φ4.76 T0.65 L69.0 | 케이비:Φ4.76 T0.65 L72.0 | 케이비:Φ4.76 T0.65 L76.0
②시트간스펙충돌,MJU62788805,명진/케이비,,,,,,명진:Φ4.76 T0.65 L825.0 | 케이비:Φ4.76 T0.65 L820.0
②시트간스펙충돌,MJU62788807,명진/케이비,,,,,,명진:Φ4.76 T0.65 L825.0 | 케이비:Φ4.76 T0.65 L820.0
②시트간스펙충돌,MJU62788809,명진/케이비,,,,,,명진:Φ4.76 T0.65 L825.0 | 케이비:Φ4.76 T0.65 L820.0
②시트간스펙충돌,MJU62788806,명진/케이비,,,,,,명진:Φ4.76 T0.65 L825.0 | 케이비:Φ4.76 T0.65 L820.0
②시트간스펙충돌,MJU62788808,명진/케이비,,,,,,명진:Φ4.76 T0.65 L825.0 | 케이비:Φ4.76 T0.65 L820.0
②시트간스펙충돌,MJU62788810,명진/케이비,,,,,,명진:Φ4.76 T0.65 L825.0 | 케이비:Φ4.76 T0.65 L820.0
②시트간스펙충돌,MJU65030909,명진/케이비,,,,,,명진:Φ4.0 T0.6 L1100.0 | 케이비:Φ4.0 T0.6 L1434.0
②시트간스펙충돌,MJU65030910,명진/케이비,,,,,,명진:Φ4.0 T0.6 L1100.0 | 케이비:Φ4.0 T0.6 L1525.0
②시트간스펙충돌,MJU65030911,명진/케이비,,,,,,명진:Φ4.0 T0.6 L1615.0 | 케이비:Φ4.0 T0.6 L1614.0
②시트간스펙충돌,MJU63509916,케이비,,,,,,케이비:Φ5.0 T0.65 L102.0 | 케이비:Φ5.0 T0.65 L104.0
②시트간스펙충돌,MJU63509917,케이비,,,,,,케이비:Φ5.0 T0.65 L95.0 | 케이비:Φ5.0 T0.65 L96.0
②시트간스펙충돌,MJU63509918,케이비,,,,,,케이비:Φ5.0 T0.65 L87.0 | 케이비:Φ5.0 T0.65 L90.0
②시트간스펙충돌,MJU63509919,케이비,,,,,,케이비:Φ5.0 T0.65 L85.0 | 케이비:Φ5.0 T0.65 L88.0
②시트간스펙충돌,MJU63509920,케이비,,,,,,케이비:Φ5.0 T0.65 L87.0 | 케이비:Φ5.0 T0.65 L86.0
②시트간스펙충돌,MJU64067601,썬텍/케이비,,,,,,케이비:Φ7.0 T0.65 L125.0 | 썬텍:Φ7.0 T0.65 L124.0 | 썬텍:Φ7.0 T0.65 L124.0 | 썬텍:Φ7.0 T0.65 L124.0 | 썬텍:Φ7.0 T0.65 L124.0 | 썬텍:Φ7.0 T0.65 L124.0 | 썬텍:Φ7.0 T0.65 L124.0 | 썬텍:Φ7.0 T0.65 L124.0 | 썬텍:Φ7.0 T0.65 L124.0
②시트간스펙충돌,MJU64067605,썬텍/케이비,,,,,,케이비:Φ7.0 T0.65 L90.0 | 썬텍:Φ7.0 T0.65 L91.0 | 썬텍:Φ7.0 T0.65 L91.0 | 썬텍:Φ7.0 T0.65 L91.0 | 썬텍:Φ7.0 T0.65 L91.0 | 썬텍:Φ7.0 T0.65 L91.0 | 썬텍:Φ7.0 T0.65 L91.0 | 썬텍:Φ7.0 T0.65 L91.0 | 썬텍:Φ7.0 T0.65 L91.0
②시트간스펙충돌,5210A23376A,MTS/케이비,,,,,,케이비:Φ9.52 T1.45 L70.0 | 케이비:Φ9.52 T1.45 L70.0 | 케이비:Φ9.52 T1.45 L66.0 | MTS:Φ9.52 T1.45 L68.0
②시트간스펙충돌,MJU63713901,케이비,,,,,,케이비:Φ6.35 T0.9 L78.0 | 케이비:Φ6.35 T0.9 L75.0 | 케이비:Φ6.35 T0.9 L75.0 | 케이비:Φ6.35 T0.9 L78.0 | 케이비:Φ6.35 T0.9 L78.0
②시트간스펙충돌,MJU42911802,MTS/케이비,,,,,,케이비:Φ9.52 T1.45 L40.0 | MTS:Φ19.05 T0.95 L391.0
②시트간스펙충돌,MJU61940701,케이비,,,,,,케이비:Φ9.52 T0.65 L85.0 | 케이비:Φ9.52 T0.65 L85.0 | 케이비:Φ9.52 T0.65 L83.0
②시트간스펙충돌,MJU62390701,케이비,,,,,,케이비:Φ15.88 T0.95 L214.0 | 케이비:Φ15.88 T0.95 L215.0
②시트간스펙충돌,MJU64431914,케이비,,,,,,케이비:Φ4.76 T0.7 L293.0 | 케이비:Φ4.76 T0.65 L294.0 | 케이비:Φ4.76 T0.65 L292.0 | 케이비:Φ4.76 T0.65 L292.0
②시트간스펙충돌,MJU64431915,케이비,,,,,,케이비:Φ4.76 T0.7 L281.0 | 케이비:Φ4.76 T0.65 L281.0 | 케이비:Φ4.76 T0.65 L280.0
②시트간스펙충돌,MJU64431916,케이비,,,,,,케이비:Φ4.76 T0.7 L239.0 | 케이비:Φ4.76 T0.65 L239.0 | 케이비:Φ4.76 T0.65 L235.0 | 케이비:Φ4.76 T0.65 L238.0
②시트간스펙충돌,MJU64867636,케이비,,,,,,케이비:Φ7.94 T0.55 L973.0 | 케이비:Φ7.94 T0.55 L998.0 | 케이비:Φ7.94 T0.55 L998.0
