도번,LG부품,LG품명,매핑 자도번,상태,← 담당확정(수정시)
ADM72950704,RAC30599301,Solder Soldering,,미매핑,
ADM72950706,3H01582G,Tie,,미매핑,
ADM72950706,49112009,Expendables_,,미매핑,
ADM72950706,RAC30599301,Solder Soldering,,미매핑,
ADM72950714,3H01582G,Tie,,미매핑,
ADM72950714,49112009,Expendables_,,미매핑,
ADM72950714,RAC30599301,Solder Soldering,,미매핑,
ADM72950717,3H01582G,Tie,,미매핑,
ADM72950717,49112009,Expendables_,,미매핑,
ADM72950717,RAC30599301,Solder Soldering,,미매핑,
ADM73190801,4A00609A,Cap,,미매핑,
ADM73190801,RAC30599301,Solder Soldering,,미매핑,
ADM73210501,49112009,Expendables_,,미매핑,
ADM73210501,4930A20053A,"Holder,Sensor",,미매핑,
ADM73210501,4A00609A,Cap,,미매핑,
ADM73210506,FAB30208603,"Screw,Customized",,미매핑,
ADM73210506,RAB36912801,"Tape,PVC",,미매핑,
ADM73210511,FAB30208603,"Screw,Customized",,미매핑,
ADM73210511,RAB36912801,"Tape,PVC",,미매핑,
ADM73210512,FAB30208603,"Screw,Customized",,미매핑,
ADM73210515,AJR76462624,Tube Assembly,,미매핑,
ADM73210515,FAB30208603,"Screw,Customized",,미매핑,
ADM73210515,RAB36912801,"Tape,PVC",,미매핑,
ADM73210516,FAB30208603,"Screw,Customized",,미매핑,
ADM74930502,FAB30208603,"Screw,Customized",,미매핑,
ADM74930502,RAB36912801,"Tape,PVC",,미매핑,
ADM74930507,FAB30208603,"Screw,Customized",,미매핑,
ADM74930507,RAB36912801,"Tape,PVC",,미매핑,
ADM74930508,FAB30208603,"Screw,Customized",,미매핑,
ADM74930511,FAB30208603,"Screw,Customized",,미매핑,
ADM74930511,RAB36912801,"Tape,PVC",,미매핑,
AFY74109506,RAC30599301,Solder Soldering,,미매핑,
AFY74209501,RAC30599301,Solder Soldering,,미매핑,
AGR30801601,5410A20017R,"Damper,Butyl",,미매핑,
AGR30801602,5410A20017R,"Damper,Butyl",,미매핑,
AHQ37048810,3H00815H,Expendables_,,미매핑,
AHQ37048810,3H01582D,Tie,,미매핑,
AHQ73469301,RAC30599301,Solder Soldering,,미매핑,
AJJ30041801,RAC30599301,Solder Soldering,,미매핑,
AJJ30041802,RAC30599301,Solder Soldering,,미매핑,
AJJ30041901,RAC30599301,Solder Soldering,,미매핑,
AJJ30041902,RAC30599301,Solder Soldering,,미매핑,
AJJ74578304,3H00815J,Expendables_,,미매핑,
AJJ74578304,3H01582B,Tie,,미매핑,
AJJ74578325,3H00815J,Expendables_,,미매핑,
