도번,LG부품,LG품명,역할,← 담당: LG맞음/레거시대응코드/신규추가
AJR73786307,1SDTF040267,"Screw,Taptite",체결부자재,
AJR73802904,1SZZA20001L,"Screw,Customized",체결부자재,
AJR73802904,1TTL0402418,"Screw,Tapping",체결부자재,
AJR73804305,3H00815J,Expendables_,용접봉,
AJR73822507,MJX62451601,"Valve,Service",완성부품,
AJR73822512,EAP30616906,"Coil,Expansion",반제품,
AJR73822512,MJX42581402,"Valve,Service",완성부품,
AJR73822512,MJX42581602,"Valve,Service",완성부품,
AJR73822515,MJX42581402,"Valve,Service",완성부품,
AJR73822515,MJX62451601,"Valve,Service",완성부품,
AJR73822516,MJX42581402,"Valve,Service",완성부품,
AJR73822516,MJX62451601,"Valve,Service",완성부품,
AJR73822520,MJX62451601,"Valve,Service",완성부품,
AJR73822522,MJX42581402,"Valve,Service",완성부품,
AJR73822522,MJX42581602,"Valve,Service",완성부품,
AJR73822523,EAP30616906,"Coil,Expansion",반제품,
AJR73822530,EAP62228706,"Coil,Expansion",반제품,
AJR73822530,EBE61441605,Solenoid,반제품,
AJR73822530,MJX42581402,"Valve,Service",완성부품,
AJR73822530,MJX62451601,"Valve,Service",완성부품,
AJR73822538,MKW30000003,"Plug,Fusible",매입기타,
AJR73822540,MJU41942220,"Tube,Suction",제작동관,
AJR73822601,49112006,Expendables_,용접봉,
AJR73823002,3H00815J,Expendables_,용접봉,
AJR73882506,5210A30334L,"Tube,Pinch Off",제작동관,
AJR73915511,3H01582D,Tie,완성부품,
AJR73915603,3H01582D,Tie,완성부품,
AJR73915604,3H01582D,Tie,완성부품,
AJR73915605,EBD60663823,"Sensor,Pressure",전장부품,
AJR73915607,EBD60663823,"Sensor,Pressure",전장부품,
AJR73915611,3H01582D,Tie,완성부품,
AJR73915612,EBD60663823,"Sensor,Pressure",전장부품,
AJR73915614,EBD60663823,"Sensor,Pressure",전장부품,
AJR73945001,3H00739A,Spring,체결부자재,
AJR73945001,3H00739A,Spring,체결부자재,
AJR73945001,49112009,Expendables_,용접봉,
AJR73945001,49112009,Expendables_,용접봉,
AJR73964301,3H00815H,Expendables_,용접봉,
AJR73964904,5040A20027E,Damper,완성부품,
AJR73964904,5040A20027F,Damper,완성부품,
AJR73964904,5040A20027G,Damper,완성부품,
AJR73970512,5210A21458Q,Accumulator,완성부품,
AJR73970512,MJU61848906,"Tube,Connector",제작동관,
AJR73970512,MJU61848910,"Tube,Connector",제작동관,
AJR73970512,MJU63031904,"Tube,Suction",제작동관,
AJR73980306,4A00609A,Cap,완성부품,
AJR73980306,5210A30334L,"Tube,Pinch Off",제작동관,
AJR73980317,4A00322A,"Valve,Check",완성부품,
AJR73980317,4A00609A,Cap,완성부품,
AJR73980317,5210A30334L,"Tube,Pinch Off",제작동관,
AJR73980318,4A00322A,"Valve,Check",완성부품,
AJR73980318,4A00609A,Cap,완성부품,
AJR73980318,5210A30334L,"Tube,Pinch Off",제작동관,
AJR73980320,4A00322A,"Valve,Check",완성부품,
AJR73980320,4A00609A,Cap,완성부품,
AJR73980320,5210A30334L,"Tube,Pinch Off",제작동관,
AJR73980322,5210A30334L,"Tube,Pinch Off",제작동관,
AJR73980323,4A00322A,"Valve,Check",완성부품,
AJR73980323,4A00609A,Cap,완성부품,
AJR73980323,5210A30334L,"Tube,Pinch Off",제작동관,
AJR73981101,5410A30279A,"Insulator,Tube",단열재,
AJR73981101,5410A30279C,"Insulator,Tube",단열재,
AJR73981108,AJJ73640107,Supporter Assembly,반제품,
AJR73981109,3H00815J,Expendables_,용접봉,
AJR73984806,3H00815J,Expendables_,용접봉,
AJR73988106,1SDTF040267,"Screw,Taptite",체결부자재,
AJR73988106,1SDTF040267,"Screw,Taptite",체결부자재,
AJR73988106,EAD62115302,"Drawing,Assembly",매입기타,
AJR73988106,MJR62181902,Tie,완성부품,
AJR74005701,49112009,Expendables_,용접봉,
AJR74005701,4930A20053B,"Holder,Sensor",용접봉,
AJR74005701,5210A22409B,"Tube,Connector",용접봉,
AJR74062502,EAP30616906,"Coil,Expansion",반제품,
AJR74062502,MJX42581402,"Valve,Service",완성부품,
AJR74062502,MJX42581602,"Valve,Service",완성부품,
AJR74162602,FAB30208603,"Screw,Customized",체결부자재,
AJR74162602,MJX42581602,"Valve,Service",완성부품,
AJR74162603,FAB30208603,"Screw,Customized",체결부자재,
AJR74162603,MJX42581602,"Valve,Service",완성부품,
AJR74162604,MJX42581602,"Valve,Service",완성부품,
AJR74169701,EBD60663823,"Sensor,Pressure",전장부품,
AJR74169703,EBD60663823,"Sensor,Pressure",전장부품,
AJR74204401,AJU36719734,Valve Assembly,완성부품,
AJR74230002,5210A30334L,"Tube,Pinch Off",제작동관,
AJR74230302,3H00815H,Expendables_,용접봉,
AJR74265701,EAP62126401,"Coil,Expansion",판재강판,
AJR74265701,EBD60663823,"Sensor,Pressure",전장부품,
AJR74265702,EAP62126401,"Coil,Expansion",판재강판,
AJR74265702,EBD60663823,"Sensor,Pressure",전장부품,
AJR74282902,3H00815J,Expendables_,용접봉,
AJR74288904,5210A30334L,"Tube,Pinch Off",제작동관,
AJR74364809,3H00815J,Expendables_,용접봉,
AJR74364818,3H00815J,Expendables_,용접봉,
AJR74364902,3H00815J,Expendables_,용접봉,
AJR74364904,3H00815J,Expendables_,용접봉,
AJR74364911,3H00815J,Expendables_,용접봉,
AJR74364919,3H00815J,Expendables_,용접봉,
AJR74364921,3H00815J,Expendables_,용접봉,
AJR74365101,5210A30334L,"Tube,Pinch Off",제작동관,
AJR74366603,MJX42581402,"Valve,Service",완성부품,
AJR74366603,MJX62451601,"Valve,Service",완성부품,
AJR74366605,3H00815J,Expendables_,용접봉,
AJR74366605,MJX62451601,"Valve,Service",완성부품,
AJR74366606,3H00815J,Expendables_,용접봉,
AJR74366606,MJU65187807,"Tube,Connector",제작동관,
AJR74385603,EBD60663823,"Sensor,Pressure",전장부품,
AJR74385604,EBD60663823,"Sensor,Pressure",전장부품,
AJR74423402,EBD60663823,"Sensor,Pressure",전장부품,
AJR74423403,EBD60663823,"Sensor,Pressure",전장부품,
AJR74423407,EBD60663823,"Sensor,Pressure",전장부품,
AJR74424620,5210A22409C,"Tube,Connector",용접봉,
AJR74424620,5256A30003C,Muffler,완성부품,
AJR74424620,MJU63651002,"Tube,Connector",제작동관,
AJR74424620,MJU63651005,"Tube,Connector",제작동관,
AJR74424620,MJU63651009,"Tube,Connector",제작동관,
AJR74444401,EBD62165607,"Sensor,Pressure",전장부품,
AJR74444402,EBD62165607,"Sensor,Pressure",전장부품,
AJR74465906,4010AR3071A,"Socket,Flare",완성부품,
AJR74523201,3H01582D,Tie,완성부품,
AJR74524702,4980AR4395E,Supporter,완성부품,
AJR74524703,4980AR4395E,Supporter,완성부품,
AJR74524704,MJX62253901,"Valve,Service",완성부품,
AJR74524707,5220A20034C,"Valve,Service",완성부품,
AJR74524709,3H00815J,Expendables_,용접봉,
AJR74524709,4980AR4395E,Supporter,완성부품,
AJR74524709,5220A20034C,"Valve,Service",완성부품,
AJR74662702,3H00815J,Expendables_,용접봉,
AJR74662703,3H00815J,Expendables_,용접봉,
AJR74683101,4A00322A,"Valve,Check",완성부품,
AJR74683101,4A00609A,Cap,완성부품,
AJR74683101,5210A30334L,"Tube,Pinch Off",제작동관,
AJR74683101,5410A30055F,"Insulator,Tube",단열재,
AJR74683101,EBD62165601,"Sensor,Pressure",전장부품,
AJR74683102,4A00322A,"Valve,Check",완성부품,
AJR74683102,4A00609A,Cap,완성부품,
AJR74683102,5210A30334L,"Tube,Pinch Off",제작동관,
AJR74683102,5410A30055F,"Insulator,Tube",단열재,
AJR74683102,EBD62165601,"Sensor,Pressure",전장부품,
AJR74683102,MJC62301701,Strainer,완성부품,
AJR74803001,3H00815J,Expendables_,용접봉,
AJR74803001,49112009,Expendables_,용접봉,
AJR74803002,3H00815J,Expendables_,용접봉,
AJR74803002,49112009,Expendables_,용접봉,
AJR74803514,MJU65026401,"Tube,Manifold",반제품,
AJR74803537,MJU65026413,"Tube,Manifold",반제품,
AJR74844302,MEJ64687101,"Hose,Air",매입기타,
AJR74844308,MEJ64687101,"Hose,Air",매입기타,
AJR74844311,MEJ64687101,"Hose,Air",매입기타,
AJR74962902,MEJ64687101,"Hose,Air",매입기타,
AJR74963002,MEJ64687101,"Hose,Air",매입기타,
AJR74963003,MEJ64687101,"Hose,Air",매입기타,
AJR74964501,5210A30334L,"Tube,Pinch Off",제작동관,
AJR74983902,3H00815J,Expendables_,용접봉,
AJR74983902,EBF40271416,"Switch,Pressure",반제품,
AJR74983903,3H00815J,Expendables_,용접봉,
AJR74983903,EBF40271416,"Switch,Pressure",반제품,
AJR74983910,3H00815J,Expendables_,용접봉,
AJR74983938,3H00815J,Expendables_,용접봉,
AJR74983939,3H00815J,Expendables_,용접봉,
AJR74984303,3H00815J,Expendables_,용접봉,
AJR74984303,3H01582D,Tie,완성부품,
AJR74984303,MJU64427302,"Tube,Connector",제작동관,
AJR74984304,3H00815J,Expendables_,용접봉,
AJR74984307,3H00815J,Expendables_,용접봉,
AJR74984501,MJU64427801,"Tube,Connector",제작동관,
AJR75044203,1SDTF040267,"Screw,Taptite",체결부자재,
AJR75044203,3H00815J,Expendables_,용접봉,
AJR75104017,3H00815J,Expendables_,용접봉,
AJR75104018,3H00815J,Expendables_,용접봉,
AJR75104601,49112009,Expendables_,용접봉,
AJR75163201,MCQ69107101,"Damper,Tube",완성부품,
AJR75462802,3H00815J,Expendables_,용접봉,
AJR75462802,MJU64688301,"Tube,Connector",제작동관,
AJR75462803,3H00815J,Expendables_,용접봉,
AJR75463001,MJU64688604,"Tube,Connector",제작동관,
AJR75463001,MJU64688808,"Tube,Connector",제작동관,
AJR75463001,MJX30152802,"Valve,Reverse",완성부품,
AJR75463304,MJU64708303,"Tube,Connector",제작동관,
AJR75464602,5210A30334L,"Tube,Pinch Off",제작동관,
AJR75464603,5210A30334L,"Tube,Pinch Off",제작동관,
AJR75482702,5210A30334L,"Tube,Pinch Off",제작동관,
AJR75483603,3H00815J,Expendables_,용접봉,
AJR75483702,3H01582D,Tie,완성부품,
AJR75522803,EBD62165607,"Sensor,Pressure",전장부품,
AJR75522803,MEV39836107,Insulator,단열재,
AJR75522803,MJX62472101,"Valve,Service",완성부품,
AJR75544201,3H00815J,Expendables_,용접봉,
AJR75544201,MAZ64571702,Bracket,반제품,
AJR75544201,MAZ64571803,Bracket,반제품,
AJR75544204,3H00815J,Expendables_,용접봉,
AJR75563501,3H00815J,Expendables_,용접봉,
AJR75563502,3H00815J,Expendables_,용접봉,
AJR75563502,3H01582D,Tie,완성부품,
AJR75563502,MJU64794404,"Tube,Connector",제작동관,
AJR75563503,3H00815J,Expendables_,용접봉,
AJR75563504,3H00815J,Expendables_,용접봉,
AJR75563602,4930A20053B,"Holder,Sensor",용접봉,
AJR75563602,5014A30014W,"Damper,Tube",완성부품,
AJR75563602,5210A22409A,"Tube,Connector",용접봉,
AJR75563602,5210A22409B,"Tube,Connector",용접봉,
AJR75563602,MEV55008105,"Insulator,Tube",단열재,
AJR75563602,MJU63512509,"Tube,Distributor",매입동관,
AJR75563602,MJU64809801,"Tube,Connector",제작동관,
AJR75563602,MJU64809802,"Tube,Connector",제작동관,
AJR75563602,MJU64809804,"Tube,Connector",제작동관,
AJR75563602,MJU64809805,"Tube,Connector",제작동관,
AJR75563602,MJU64809806,"Tube,Connector",제작동관,
AJR75563602,MJU64809807,"Tube,Connector",제작동관,
AJR75563602,MJU64809808,"Tube,Connector",제작동관,
AJR75563602,MJU64809809,"Tube,Connector",제작동관,
AJR75563602,MJU64809810,"Tube,Connector",제작동관,
AJR75563602,MJU64933001,"Tube,Connector",제작동관,
AJR75563602,MJU64933002,"Tube,Connector",제작동관,
AJR75563602,MJU64979002,"Tube,Connector",제작동관,
AJR75563701,49112009,Expendables_,용접봉,
AJR75563701,5210A30334L,"Tube,Pinch Off",제작동관,
AJR75563701,MJU65551001,"Tube,Distributor",매입동관,
AJR75563702,5210A30334L,"Tube,Pinch Off",제작동관,
AJR75584502,3H00815J,Expendables_,용접봉,
AJR75604801,3H00815J,Expendables_,용접봉,
AJR75604804,3H00815J,Expendables_,용접봉,
AJR75604804,MJX62451601,"Valve,Service",완성부품,
AJR75704003,3H00815J,Expendables_,용접봉,
AJR75704003,5210A30334L,"Tube,Pinch Off",제작동관,
AJR75704003,EBD60663823,"Sensor,Pressure",전장부품,
AJR75704003,EBD62165601,"Sensor,Pressure",전장부품,
AJR75704003,MJU61971306,"Tube,Coupling",매입동관,
AJR75711401,3H00815J,Expendables_,용접봉,
AJR75711501,3H00815J,Expendables_,용접봉,
AJR75711501,5220A20013C,"Valve,Service",완성부품,
AJR75711503,1MPC0502018,"Screw,Machine",체결부자재,
AJR75711503,5220A20013C,"Valve,Service",완성부품,
AJR75711503,EAD62115302,"Drawing,Assembly",매입기타,
AJR75711504,5220A20013C,"Valve,Service",완성부품,
AJR75711901,3H00815J,Expendables_,용접봉,
AJR75712801,3H01582D,Tie,완성부품,
AJR75713001,3H01582D,Tie,완성부품,
AJR75713301,5220A20029M,"Valve,Service",완성부품,
AJR75713301,5220A20034C,"Valve,Service",완성부품,
AJR75743301,5210A30334L,"Tube,Pinch Off",제작동관,
AJR75744401,3H00815J,Expendables_,용접봉,
AJR75744401,49112009,Expendables_,용접봉,
AJR75744501,3H00815J,Expendables_,용접봉,
AJR75744510,5220A20006J,"Valve,Service",반제품,
AJR75763701,3H00815J,Expendables_,용접봉,
AJR75782901,3H00815J,Expendables_,용접봉,
AJR75784701,1SDTF040267,"Screw,Taptite",체결부자재,
AJR75784701,3H00815J,Expendables_,용접봉,
AJR75784701,5410A21281J,"Insulator,Tube",단열재,
AJR75802501,3H00815J,Expendables_,용접봉,
AJR75802609,RAB36912801,"Tape,PVC",포장재,
AJR75804101,MJU64688604,"Tube,Connector",제작동관,
AJR75804101,MJU64688808,"Tube,Connector",제작동관,
AJR75804101,MJX30152802,"Valve,Reverse",완성부품,
AJR75923201,3H00815J,Expendables_,용접봉,
AJR75962501,3H00815J,Expendables_,용접봉,
AJR75983001,3H00815J,Expendables_,용접봉,
AJR75983003,3H00815J,Expendables_,용접봉,
AJR75983003,MJU65187807,"Tube,Connector",제작동관,
AJR75983008,3H00815J,Expendables_,용접봉,
AJR75983008,MJU65187807,"Tube,Connector",제작동관,
AJR75983010,3H00815J,Expendables_,용접봉,
AJR75983010,5410A21281A,"Insulator,Tube",단열재,
AJR75983010,5410A30279C,"Insulator,Tube",단열재,
AJR75983010,MKW30000003,"Plug,Fusible",매입기타,
AJR76264102,3H00815J,Expendables_,용접봉,
AJR76264102,5210A30334L,"Tube,Pinch Off",제작동관,
AJR76402407,3H00815J,Expendables_,용접봉,
AJR76402407,4A00322A,"Valve,Check",완성부품,
AJR76402407,4A00609A,Cap,완성부품,
AJR76402407,5210A30334L,"Tube,Pinch Off",제작동관,
AJR76402407,MJU66466401,"Tube,Connector",제작동관,
AJR76402407,MJX30152801,"Valve,Reverse",완성부품,
AJR76402409,3H00815J,Expendables_,용접봉,
AJR76402409,4A00322A,"Valve,Check",완성부품,
AJR76402409,4A00609A,Cap,완성부품,
AJR76402409,5210A30334L,"Tube,Pinch Off",제작동관,
AJR76402409,MJU66466401,"Tube,Connector",제작동관,
AJR76462621,4930A20053B,"Holder,Sensor",용접봉,
AJR76462621,5210A22409A,"Tube,Connector",용접봉,
AJR76502610,AJR30083901,Tube Assembly,반제품,
AJR76502614,AJR30083901,Tube Assembly,반제품,
AJR76523001,3H00815J,Expendables_,용접봉,
AJR76523001,5410A20111E,"Damper,Butyl",완성부품,
AJR76523001,EAP63107118,"Coil,Expansion",판재강판,
AJR76523005,3H00815J,Expendables_,용접봉,
AJR76523005,AJJ73040841,Supporter Assembly,완성부품,
AJR76523007,1MPC0502018,"Screw,Machine",체결부자재,
AJR76523007,3H00815J,Expendables_,용접봉,
AJR76523007,AJJ73040841,Supporter Assembly,완성부품,
AJR76523008,AJJ73040828,Supporter Assembly,반제품,
AJR76523011,3H00815J,Expendables_,용접봉,
AJR76523011,AJJ73040839,Supporter Assembly,반제품,
AJR76523011,AJR71433341,"Tube Assembly,Expansion",반제품,
AJR76523012,AJJ73040839,Supporter Assembly,반제품,
AJR76523027,3H00815J,Expendables_,용접봉,
AJR76703602,3H00815J,Expendables_,용접봉,
AJR76703602,3H01582D,Tie,완성부품,
AJR76703612,3H00815J,Expendables_,용접봉,
AJR76742302,MEJ64687101,"Hose,Air",매입기타,
AJR76742304,MEJ64687101,"Hose,Air",매입기타,
AJR76742306,MEJ64687101,"Hose,Air",매입기타,
AJR76823101,3H00815G,Expendables_,용접봉,
AJR76823101,5410A21281A,"Insulator,Tube",단열재,
AJR76902301,3H00815J,Expendables_,용접봉,
AJR76902301,4A00609A,Cap,완성부품,
AJR76902301,EBD60663823,"Sensor,Pressure",전장부품,
AJR76902301,EBD62165601,"Sensor,Pressure",전장부품,
AJR76902302,3H00815J,Expendables_,용접봉,
AJR76902302,4A00609A,Cap,완성부품,
AJR76902302,EBD60663823,"Sensor,Pressure",전장부품,
AJR76902302,EBD62165601,"Sensor,Pressure",전장부품,
AJR76982501,3H00815J,Expendables_,용접봉,
AJR76982502,3H00815J,Expendables_,용접봉,
AJR77142502,3H00815J,Expendables_,용접봉,
AJR77142503,3H00815J,Expendables_,용접봉,
AJR77163101,3H00815J,Expendables_,용접봉,
AJR77163101,MEV39836107,Insulator,단열재,
AJR77163101,MJU66366806,"Tube,Connector",제작동관,
AJR77163102,3H00815J,Expendables_,용접봉,
AJR77163401,3H00815J,Expendables_,용접봉,
AJR77164001,3H00815J,Expendables_,용접봉,
AJR77164001,4A00322A,"Valve,Check",완성부품,
AJR77164001,4A00609A,Cap,완성부품,
AJR77167310,3H00815G,Expendables_,용접봉,
AJR77167311,1MPC0502018,"Screw,Machine",체결부자재,
AJR77167311,3H00815G,Expendables_,용접봉,
AJR77167311,MKW30000003,"Plug,Fusible",매입기타,
AJR77167312,3H00815G,Expendables_,용접봉,
AJR77182401,3H00815J,Expendables_,용접봉,
AJR77182404,3H00815J,Expendables_,용접봉,
AJR77182405,3H00815J,Expendables_,용접봉,
AJR77182406,3H00815J,Expendables_,용접봉,
AJR77189104,MEJ64687101,"Hose,Air",매입기타,
AJR77189105,MEJ64687101,"Hose,Air",매입기타,
AJR77202301,3H00815J,Expendables_,용접봉,
AJR77202901,3H00815J,Expendables_,용접봉,
AJR77202901,MJU64870703,"Tube,Capillary Bending",반제품,
AJR77202901,MJU66366311,"Tube,Connector",제작동관,
AJR77202902,3H00815J,Expendables_,용접봉,
AJR77202902,MJU64870703,"Tube,Capillary Bending",반제품,
AJR77202902,MJU66366311,"Tube,Connector",제작동관,
AJR77222902,AJR77223002,"Tube Assembly,Reverse",반제품,
AJR77222902,MJU66566919,"Tube,Connector",매입동관,
AJR77222905,AJR77223005,"Tube Assembly,Reverse",반제품,
AJR77223106,3H00815G,Expendables_,용접봉,
AJR77224001,EBD60663823,"Sensor,Pressure",전장부품,
AJR77224001,EBD62165601,"Sensor,Pressure",전장부품,
AJR77224005,EBD60663823,"Sensor,Pressure",전장부품,
AJR77224005,EBD62165601,"Sensor,Pressure",전장부품,
AJR77224501,AJR77188701,"Tube Assembly,Solenoide",반제품,
AJR77224502,AJR77188701,"Tube Assembly,Solenoide",반제품,
AJR77224503,AJR77188701,"Tube Assembly,Solenoide",반제품,
AJR77224504,AJR77188701,"Tube Assembly,Solenoide",반제품,
AJR77224505,AJR77188701,"Tube Assembly,Solenoide",반제품,
AJR77224506,MJU66478404,"Tube,Connector",제작동관,
AJR77224509,AJR77188701,"Tube Assembly,Solenoide",반제품,
AJR77224510,AJR77188701,"Tube Assembly,Solenoide",반제품,
AJR77224519,AJR77188701,"Tube Assembly,Solenoide",반제품,
AJR77224801,5410A30055S,"Insulator,Tube",단열재,
AJR77224901,3H00815J,Expendables_,용접봉,
AJR77224901,3H01582D,Tie,완성부품,
AJR77224901,MEG66660106,"Holder,Tubing",완성부품,
AJR77224901,MJX62771703,"Valve,Check",완성부품,
AJR77225301,3H00815J,Expendables_,용접봉,
AJR77225303,3H00815J,Expendables_,용접봉,
AJR77225304,3H00815J,Expendables_,용접봉,
AJR77225305,3H00815J,Expendables_,용접봉,
AJR77225305,MJU66760006,"Tube,Connector",제작동관,
AJR77225306,3H00815J,Expendables_,용접봉,
AJR77225306,MJU66760006,"Tube,Connector",제작동관,
AJR77225605,EBD60663823,"Sensor,Pressure",전장부품,
AJR77225605,EBD62165601,"Sensor,Pressure",전장부품,
AJR77225607,MJU66571711,"Tube,Connector",제작동관,
AJR77225607,MJU66571712,"Tube,Connector",제작동관,
AJR77225607,MJU66571713,"Tube,Connector",제작동관,
AJR77225607,MJX30152802,"Valve,Reverse",완성부품,
AJR77226301,3H00815J,Expendables_,용접봉,
AJR77226301,3H01582D,Tie,완성부품,
AJR77226304,5014A30014W,"Damper,Tube",완성부품,
AJR77226304,MJU66760005,"Tube,Connector",제작동관,
AJR77243801,3H01582D,Tie,완성부품,
AJR77263001,3H00815J,Expendables_,용접봉,
AJR77263001,3H01582D,Tie,완성부품,
AJR77263001,MJU66503301,"Tube,Connector",제작동관,
AJR77263002,3H00815J,Expendables_,용접봉,
AJR77263002,3H01582D,Tie,완성부품,
AJR77263002,5210A22409A,"Tube,Connector",용접봉,
AJR77263002,5210A22409B,"Tube,Connector",용접봉,
AJR77263002,MJU65517910,"Tube,Connector",제작동관,
AJR77263002,MJU66502902,"Tube,Connector",제작동관,
AJR77263003,3H00815J,Expendables_,용접봉,
AJR77263003,3H01582D,Tie,완성부품,
AJR77263003,MJU66503303,"Tube,Connector",제작동관,
AJR77263004,3H00815J,Expendables_,용접봉,
AJR77263004,MJU66503301,"Tube,Connector",제작동관,
AJR77263005,3H00815J,Expendables_,용접봉,
AJR77263005,MJU66503303,"Tube,Connector",제작동관,
AJR77263006,3H00815J,Expendables_,용접봉,
AJR77263006,MJU66503303,"Tube,Connector",제작동관,
AJR77263007,3H00815J,Expendables_,용접봉,
AJR77263008,3H00815J,Expendables_,용접봉,
AJR77263009,3H00815J,Expendables_,용접봉,
AJR77263010,3H00815J,Expendables_,용접봉,
AJR77263011,3H00815J,Expendables_,용접봉,
AJR77263011,MJU66503303,"Tube,Connector",제작동관,
MJU62078901,7072A90001B,"Tube,Raw",원소재,
