도번,LG부품수,자동매핑,도번직하위,용접봉(규칙),실제갭,완전정합여부
AJR73952005,11,0,10,1,0,정합
AJR73952006,6,0,5,1,0,정합
AJR73952007,10,0,9,1,0,정합
AJR73952502,11,8,2,1,0,정합
AJR73952503,10,5,4,1,0,정합
AJR73952509,10,4,5,1,0,정합
AJR73952510,11,4,6,1,0,정합
AJR73952511,12,4,7,1,0,정합
AJR73964301,5,0,4,1,0,정합
AJR73965502,8,0,7,1,0,정합
AJR73965505,10,7,2,1,0,정합
AJR73965506,8,7,0,1,0,정합
AJR73973707,6,0,5,1,0,정합
AJR73984806,14,0,13,1,0,정합
AJR73988201,6,0,5,1,0,정합
AJR74005801,6,0,5,1,0,정합
AJR74043402,7,0,6,1,0,정합
AJR74043406,4,0,3,1,0,정합
AJR74043408,8,0,7,1,0,정합
AJR74162504,5,0,4,1,0,정합
AJR74165705,3,0,2,1,0,정합
AJR74203404,13,3,9,1,0,정합
AJR74224101,4,0,3,1,0,정합
AJR74224202,6,0,5,1,0,정합
AJR74229901,7,0,6,1,0,정합
AJR74229902,7,0,6,1,0,정합
AJR74230302,4,0,3,1,0,정합
AJR74242401,7,0,6,1,0,정합
AJR74242408,6,0,5,1,0,정합
AJR74242501,8,0,7,1,0,정합
AJR74242504,11,0,10,1,0,정합
AJR74242509,6,0,5,1,0,정합
AJR74242510,7,0,6,1,0,정합
AJR74242512,10,0,9,1,0,정합
AJR74242514,10,0,9,1,0,정합
AJR74242520,7,0,6,1,0,정합
AJR74243301,4,0,3,1,0,정합
AJR74263316,14,8,4,2,0,정합
AJR74263401,9,0,8,1,0,정합
AJR74263402,8,0,7,1,0,정합
AJR74266005,21,16,3,2,0,정합
AJR74284505,13,2,10,1,0,정합
AJR74364901,8,4,3,1,0,정합
AJR74364902,8,5,2,1,0,정합
AJR74364903,7,5,1,1,0,정합
AJR74364904,9,4,4,1,0,정합
AJR74364911,7,5,1,1,0,정합
AJR74364912,5,3,1,1,0,정합
AJR74364917,7,0,6,1,0,정합
AJR74364918,8,4,3,1,0,정합
AJR74364919,7,5,1,1,0,정합
AJR74364920,8,4,3,1,0,정합
AJR74364921,7,5,1,1,0,정합
AJR74364922,7,5,1,1,0,정합
AJR74364923,6,4,1,1,0,정합
AJR74364924,6,4,1,1,0,정합
AJR74364925,8,2,5,1,0,정합
AJR74423601,10,0,9,1,0,정합
AJR74424616,7,0,6,1,0,정합
AJR74465905,16,0,14,2,0,정합
AJR74482601,9,0,8,1,0,정합
AJR74482801,11,0,10,1,0,정합
AJR74504701,3,0,2,1,0,정합
AJR74504801,4,0,3,1,0,정합
AJR74662702,13,0,11,2,0,정합
AJR74702801,4,0,3,1,0,정합
AJR74803001,19,3,14,2,0,정합
AJR74803002,17,0,15,2,0,정합
AJR74843701,13,0,11,2,0,정합
AJR74843702,14,0,12,2,0,정합
AJR74844101,11,2,7,2,0,정합
AJR74844102,17,2,13,2,0,정합
AJR74844301,12,2,8,2,0,정합
AJR74844309,15,2,11,2,0,정합
AJR74844312,18,2,14,2,0,정합
AJR74844313,17,2,13,2,0,정합
AJR74844314,12,2,8,2,0,정합
AJR74844315,17,2,13,2,0,정합
AJR74844317,18,0,16,2,0,정합
AJR74844319,17,2,13,2,0,정합
AJR74863102,8,0,7,1,0,정합
AJR74923004,19,2,15,2,0,정합
AJR74962901,14,2,10,2,0,정합
AJR74962906,20,2,16,2,0,정합
AJR74962907,21,2,17,2,0,정합
AJR74963101,12,3,7,2,0,정합
AJR74964804,15,0,14,1,0,정합
AJR74964807,19,0,18,1,0,정합
AJR75104018,8,2,5,1,0,정합
AJR75104030,13,0,12,1,0,정합
AJR75462803,13,5,7,1,0,정합
AJR75463002,15,0,14,1,0,정합
AJR75463003,16,0,15,1,0,정합
AJR75464301,13,2,9,2,0,정합
AJR75464302,16,2,12,2,0,정합
AJR75543801,5,0,4,1,0,정합
AJR75544608,11,0,10,1,0,정합
AJR75545702,7,0,6,1,0,정합
AJR75545703,7,0,6,1,0,정합
AJR75563401,12,5,6,1,0,정합
AJR75563501,13,5,7,1,0,정합
AJR75563503,18,16,1,1,0,정합
AJR75563504,13,5,7,1,0,정합
AJR75584502,7,4,2,1,0,정합
AJR75623701,18,0,17,1,0,정합
AJR75623703,18,0,17,1,0,정합
AJR75702302,5,0,4,1,0,정합
AJR75709903,4,0,3,1,0,정합
AJR75710506,10,2,7,1,0,정합
AJR75711401,8,0,7,1,0,정합
AJR75727201,7,0,6,1,0,정합
AJR75743201,6,0,5,1,0,정합
AJR75743209,4,0,3,1,0,정합
AJR75744102,7,0,6,1,0,정합
AJR75744115,5,0,4,1,0,정합
AJR75744137,6,0,5,1,0,정합
AJR75744140,7,0,6,1,0,정합
AJR75744401,24,2,20,2,0,정합
AJR75744501,18,0,17,1,0,정합
AJR75744512,20,0,19,1,0,정합
AJR75744535,18,4,13,1,0,정합
AJR75763701,5,3,1,1,0,정합
AJR75782901,8,0,7,1,0,정합
AJR75786301,25,14,10,1,0,정합
AJR75786302,25,14,10,1,0,정합
AJR75802501,12,5,6,1,0,정합
AJR76302601,10,0,9,1,0,정합
AJR76442506,9,7,0,2,0,정합
AJR76442507,9,7,0,2,0,정합
AJR76502606,18,7,10,1,0,정합
AJR76522501,9,0,8,1,0,정합
AJR76523003,9,0,8,1,0,정합
AJR76523027,14,0,13,1,0,정합
AJR76562811,6,5,0,1,0,정합
AJR76602401,13,2,10,1,0,정합
AJR76663202,14,2,10,2,0,정합
AJR76663205,16,2,12,2,0,정합
AJR76663207,16,2,12,2,0,정합
AJR76742307,17,2,13,2,0,정합
AJR76742308,17,2,13,2,0,정합
AJR76742309,19,2,15,2,0,정합
AJR76742311,17,0,15,2,0,정합
AJR76742313,17,2,13,2,0,정합
AJR76742315,19,0,17,2,0,정합
AJR76823001,12,2,9,1,0,정합
AJR76882501,5,0,4,1,0,정합
AJR76882502,4,0,3,1,0,정합
AJR77082401,7,0,6,1,0,정합
AJR77082501,7,0,6,1,0,정합
AJR77143101,6,0,5,1,0,정합
AJR77145701,7,0,6,1,0,정합
AJR77145702,8,0,7,1,0,정합
AJR77167310,14,7,5,2,0,정합
AJR77167312,12,7,3,2,0,정합
AJR77170901,9,0,8,1,0,정합
AJR77170902,9,0,8,1,0,정합
AJR77182401,5,0,4,1,0,정합
AJR77182404,3,0,2,1,0,정합
AJR77182405,7,0,6,1,0,정합
AJR77182406,5,0,4,1,0,정합
AJR77182601,3,0,2,1,0,정합
AJR77182602,3,0,2,1,0,정합
AJR77189106,17,2,13,2,0,정합
AJR77203703,3,0,2,1,0,정합
AJR77222906,8,0,7,1,0,정합
AJR77223106,6,0,4,2,0,정합
AJR77282405,10,0,9,1,0,정합
5211A10480A,2,0,2,0,0,정합
5211A10480C,2,0,2,0,0,정합
AAB35754001,6,0,6,0,0,정합
AEG74589804,6,5,1,0,0,정합
AGF04226601,2,0,2,0,0,정합
AGF04226602,2,0,2,0,0,정합
AGF30024008,2,0,2,0,0,정합
AGF30058402,2,0,2,0,0,정합
AGF30058403,2,0,2,0,0,정합
AGF30058404,2,0,2,0,0,정합
AGF30058407,2,0,2,0,0,정합
AGF30444802,2,0,2,0,0,정합
AGF30444804,2,0,2,0,0,정합
AJJ32486326,7,0,7,0,0,정합
AJJ73040808,7,4,3,0,0,정합
AJJ73040819,7,4,3,0,0,정합
AJJ73898621,5,0,5,0,0,정합
AJJ73898629,4,0,4,0,0,정합
AJJ75358423,7,0,7,0,0,정합
AJJ75358432,9,0,9,0,0,정합
AJJ75358444,8,0,8,0,0,정합
AJJ75358446,8,0,8,0,0,정합
AJJ75358447,8,0,8,0,0,정합
AJJ75639402,9,0,9,0,0,정합
AJJ75639406,3,0,3,0,0,정합
AJJ75639408,4,0,4,0,0,정합
AJJ75698804,7,5,2,0,0,정합
AJJ75698806,9,5,4,0,0,정합
AJJ75838622,8,0,8,0,0,정합
AJJ75838624,8,0,8,0,0,정합
AJJ75838625,8,0,8,0,0,정합
AJL74852201,6,0,6,0,0,정합
AJR30011201,4,0,4,0,0,정합
AJR30025101,6,0,6,0,0,정합
AJR30025104,4,0,4,0,0,정합
AJR30025105,4,0,4,0,0,정합
AJR30025401,11,0,11,0,0,정합
AJR30025501,11,0,11,0,0,정합
AJR30025601,4,0,4,0,0,정합
AJR30025701,4,0,4,0,0,정합
AJR30058801,5,0,5,0,0,정합
AJR30060704,7,5,2,0,0,정합
AJR30060707,10,7,3,0,0,정합
AJR30061101,3,0,3,0,0,정합
AJR30061301,1,0,1,0,0,정합
AJR30061302,2,0,2,0,0,정합
AJR30061305,4,0,4,0,0,정합
AJR30063602,7,0,7,0,0,정합
AJR30071101,28,1,27,0,0,정합
AJR30071102,30,1,29,0,0,정합
AJR30079101,22,0,22,0,0,정합
AJR30079201,10,0,10,0,0,정합
AJR30079301,5,0,5,0,0,정합
AJR30079401,3,0,3,0,0,정합
AJR30083901,4,0,4,0,0,정합
AJR30089601,8,5,3,0,0,정합
AJR30089602,8,6,2,0,0,정합
AJR30089603,8,6,2,0,0,정합
AJR30089604,8,5,3,0,0,정합
AJR30100102,16,2,14,0,0,정합
AJR30118201,10,2,8,0,0,정합
AJR30135801,12,11,1,0,0,정합
AJR30138101,12,0,12,0,0,정합
AJR30138102,12,0,12,0,0,정합
AJR30138103,12,0,12,0,0,정합
AJR30138104,12,0,12,0,0,정합
AJR30138202,10,0,10,0,0,정합
AJR30138203,9,0,9,0,0,정합
AJR30138301,13,0,13,0,0,정합
AJR30138302,13,0,13,0,0,정합
AJR30175001,4,0,4,0,0,정합
AJR30175201,3,0,3,0,0,정합
AJR35938603,6,0,6,0,0,정합
AJR36541603,12,4,8,0,0,정합
AJR52737629,6,0,6,0,0,정합
AJR72572902,6,0,6,0,0,정합
AJR73326623,6,0,6,0,0,정합
AJR73326638,4,0,4,0,0,정합
AJR73326639,9,0,9,0,0,정합
AJR73342801,2,0,2,0,0,정합
AJR74485504,3,0,3,0,0,정합
AJR74643301,2,0,2,0,0,정합
AJR74663701,2,0,2,0,0,정합
AJR74803534,9,0,9,0,0,정합
AJR74803535,9,0,9,0,0,정합
AJR74803536,9,6,3,0,0,정합
AJR75102405,7,5,2,0,0,정합
AJR75142601,14,1,13,0,0,정합
AJR75142604,14,1,13,0,0,정합
AJR75163204,14,1,13,0,0,정합
AJR75243119,3,0,3,0,0,정합
AJR75245201,5,0,5,0,0,정합
AJR75464702,5,0,5,0,0,정합
AJR75605102,2,0,2,0,0,정합
AJR75605104,1,0,1,0,0,정합
AJR75645604,4,0,4,0,0,정합
AJR75645605,4,0,4,0,0,정합
AJR75645701,7,0,7,0,0,정합
AJR75645801,8,0,8,0,0,정합
AJR75662317,4,0,4,0,0,정합
AJR75662319,4,0,4,0,0,정합
AJR75662327,8,0,8,0,0,정합
AJR75662334,4,0,4,0,0,정합
AJR75662335,5,0,5,0,0,정합
AJR75662337,5,0,5,0,0,정합
AJR75662342,5,0,5,0,0,정합
AJR75662343,4,0,4,0,0,정합
AJR75662345,4,0,4,0,0,정합
AJR75662347,4,0,4,0,0,정합
AJR75662348,4,0,4,0,0,정합
AJR75662349,4,0,4,0,0,정합
AJR75662350,4,0,4,0,0,정합
AJR75713102,5,0,5,0,0,정합
AJR75743204,6,0,6,0,0,정합
AJR75805301,5,0,5,0,0,정합
AJR76164201,3,0,3,0,0,정합
AJR76164202,3,0,3,0,0,정합
AJR76362801,4,0,4,0,0,정합
AJR76442701,2,0,2,0,0,정합
AJR76462622,5,0,5,0,0,정합
AJR76462629,4,0,4,0,0,정합
AJR76462630,4,0,4,0,0,정합
AJR76462632,4,0,4,0,0,정합
AJR76502604,9,4,5,0,0,정합
AJR76502605,18,10,8,0,0,정합
AJR76502612,14,8,6,0,0,정합
AJR76502618,27,0,27,0,0,정합
AJR76502701,19,4,15,0,0,정합
AJR76582501,22,0,22,0,0,정합
AJR76582502,23,0,23,0,0,정합
AJR76822701,6,6,0,0,0,정합
AJR77182801,5,0,5,0,0,정합
AJR77182802,5,0,5,0,0,정합
AJR77182901,5,0,5,0,0,정합
AJR77182902,5,0,5,0,0,정합
AJR77187801,21,0,21,0,0,정합
AJR77187802,20,0,20,0,0,정합
AJR77243601,4,0,4,0,0,정합
