품번,견적유형(Assy/하위),최근생산월,생산건수
AJJ76559014-SUB,사급부품,,
AJJ76559015,Assy,,
AJJ76559015-SUB,사급부품,,
AJJ76559016,Assy,,
AJJ76559016-SUB,사급부품,,
AJJ76559017,Assy,,
AJJ76559017-SUB,사급부품,,
AJJ76559102,Assy,,
AJJ76559102-SUB,사급부품,,
AJJ76559103,Assy,,
AJJ76559103-SUB,사급부품,,
AJJ76559106,Assy,,
AJJ76559106-SUB,사급부품,,
AJJ76595403,,,
AJJ76595403-SUB,,,
AJJ76617501,Assy,,
AJJ76617501-SUB,사급부품,,
AJJ76617502,Assy,,
AJJ76617502-SUB,,,
AJR30003007,,,
AJR30003007-SUB,,,
AJR30004702,,,
AJR30004702-SUB,,,
AJR30007102,,,
AJR30007103,,,
AJR30007104,,,
AJR30007105,,,
AJR30007106,,,
AJR30007601,,,
AJR30007601-SUB,,,
AJR30007602,,,
AJR30007602-SUB,,,
AJR30007603,,,
AJR30007603-SUB,,,
AJR30007603-고주파,,,
AJR30007604,,,
AJR30007604-SUB,,,
AJR30008101,,,
AJR30008101-S6-2,,,
AJR30009001,,,
AJR30009001-SUB,,,
AJR30009002,,,
AJR30009002-SUB,,,
AJR30009003,,,
AJR30009003-SUB,,,
AJR30009004,,,
AJR30009004-SUB,,,
AJR30009005,,,
AJR30009005-SUB,,,
AJR30009401,,,
AJR30009401-SUB,,,
AJR30009401-고주파,,,
AJR30009402,,,
AJR30009402-SUB,,,
AJR30009402-고주파,,,
AJR30009403,,,
AJR30009403-SUB,,,
AJR30009701,,,
AJR30010701,,,
AJR30010701-SUB,,,
AJR30010702,,,
AJR30010702-SUB,,,
AJR30012008,,,
AJR30012008-S1-1,,,
AJR30012008-S1-2,,,
AJR30012008-SOCKET,,,
AJR30012009,,,
AJR30012009-SOCKET,,,
AJR30012010,,,
AJR30012010-SOCKET,,,
AJR30012011,,,
AJR30012011-SOCKET,,,
AJR30012014,,,
AJR30012101,,,
AJR30012102,,,
AJR30019402,,,
AJR30019801,,,
AJR30019901,,,
AJR30027701,,,
AJR30027701-SUB1,,,
AJR30027701-SUB2,,,
AJR30027702,,,
AJR30027702-SUB,,,
AJR30027702-SUB1,,,
AJR30027702-SUB2,,,
AJR30027702-SUB3,,,
AJR30027703,,,
AJR30027703-SUB,,,
AJR30027703-SUB1,,,
AJR30027703-SUB2,,,
AJR30027704,,,
AJR30027704-SUB1,,,
AJR30027704-SUB2,,,
AJR30027704-SUB3,,,
AJR30027704-SUB6,,,
AJR30027705,,,
AJR30027705-SUB1,,,
AJR30027705-SUB2,,,
AJR30027706,,,
AJR30027706-SUB,,,
AJR30027706-SUB1,,,
AJR30027706-SUB2,,,
AJR30027706-SUB3,,,
AJR30027707,,,
AJR30027707-SUB,,,
AJR30027707-SUB1,,,
AJR30027707-SUB2,,,
AJR30027708,,,
AJR30027708-SUB1,,,
AJR30027708-SUB2,,,
AJR30027708-SUB3,,,
AJR30027708-SUB4,,,
AJR30027708-SUB5,,,
AJR30027710,,,
AJR30027710-SUB1,,,
AJR30027710-SUB2,,,
AJR30027711,,,
AJR30027711-SUB,,,
AJR30027711-SUB1,,,
AJR30027711-SUB2,,,
AJR30027711-SUB3,,,
AJR30027712,,,
AJR30027712-SUB,,,
AJR30027712-SUB1,,,
AJR30027712-SUB2,,,
AJR30027713,,,
AJR30027714,,,
AJR30027716,,,
AJR30028405,,,
AJR30028405-은납1,,,
AJR30028409,,,
AJR30028411,,,
AJR30028411-SUB,,,
AJR30029601,,,
AJR30029602,,,
AJR30029801,,,
AJR30029802,Assy,,
AJR30030101,,,
AJR30030103,,,
AJR30031601,,,
AJR30031701,,,
AJR30031804,,,
AJR30033101,,,
AJR30037101,,,
AJR30037101-SOCKET,,,
AJR30037301,,,
AJR30037304,,,
AJR30037401,,,
AJR30037603,,,
AJR30037604,,,
AJR30038101,,,
AJR30038101-고주파,,,
AJR30038201,,,
AJR30038301,,,
AJR30038301-고주파,,,
AJR30038401,,,
AJR30040301,,,
AJR30051301,,,
AJR30052102,,,
AJR30055501,,,
AJR30055501-SUB,,,
AJR30058801,,,
AJR30060704,,,
AJR30060707,,,
AJR30060805,,,
AJR30064001,,,
AJR30064601,,,
AJR30064701,,,
AJR30064801,,,
AJR30064901,,,
AJR30069601,,,
AJR30069701-저압,,,
AJR30069801-고압,,,
AJR30071101,,,
AJR30071102,,,
AJR30073601,,,
AJR30073601-은납,,,
AJR30073602,,,
