품번,품명,종류,소분류,입고수량,입고일수
5210A31619A,"Tube,Evaporator",단품,130,4,1
5210A31620A,"Tube,Evaporator",단품,130,4,1
5210A31621A,"Tube,Evaporator",단품,130,4,1
5210A31622A,"Tube,Evaporator",단품,130,4,1
5210A31623A,"Tube,Evaporator",단품,130,4,1
5210A31624A,"Tube,Evaporator",단품,130,4,1
5210A31625A,"Tube,Evaporator",단품,130,8,2
5210A31626A,"Tube,Evaporator",단품,130,4,1
5210A31627A,"Tube,Evaporator",단품,130,4,1
5211AP4052A,"Tube Assembly,Connector",단품,130,25,1
MJU00695801,"Tube, Connector",단품,130,115,8
MJU00697601,"Tube, Connector",단품,130,130,8
MJU00698701,Tube Connector,단품,130,62,1
MJU00698901,Tube Connector,단품,130,31,1
MJU00699101,"Tube,Connector",단품,130,31,1
MJU00702203,"Tube, Connector",단품,130,10,1
MJU00702204,Tube Connector,단품,130,10,1
MJU00702501,Tube Connector,단품,130,10,1
MJU00702502,Tube Connector,단품,130,10,1
MJU00722805,"Tube,Connector",단품,130,25,6
MJU00722808,"Tube,Connector",단품,130,14,4
MJU00722811,"Tube,Connector",단품,130,14,4
MJU00722812,"Tube,Connector",단품,130,14,4
MJU00722813,4402 Connector,단품,130,14,4
MJU00722814,4402 Connector,단품,130,14,4
MJU00732401,"Tube,Suction",단품,130,12071,18
MJU00732801,"Tube,Connector",단품,130,535,20
MJU00732901,"Tube,Connector",단품,130,535,20
MJU00734301,"Tube,Connector",단품,130,535,20
MJU00734401,"Tube,Connector",단품,130,536,21
MJU00743301,"Tube,Connector",단품,130,1070,24
MJU00743601,"Tube,Connector",단품,130,1070,24
MJU00788201,"Tube,Connector",단품,130,86,5
MJU00788301,"Tube,Connector",단품,130,56,5
MJU00788302,"Tube,Connector",단품,130,56,5
MJU00788304,"Tube,Connector",단품,130,56,5
MJU00788305,"Tube,Connector",단품,130,112,5
MJU00788401,"Tube,Connector",단품,130,30,1
MJU00788402,"Tube,Connector",단품,130,56,5
MJU00788403,"Tube,Connector",단품,130,30,1
MJU00788404,"Tube,Connector",단품,130,26,4
MJU00788405,"Tube,Connector",단품,130,26,4
MJU30588601,Tube Connector,단품,130,5,1
MJU30588701,Tube Connector,단품,130,5,1
MJU30588801,Tube Connector,단품,130,5,1
MJU30588901,Tube Connector,단품,130,5,1
MJU30589001,Tube Connector,단품,130,5,1
MJU37361117,"TUBE, CONNECTOR",단품,130,20,2
MJU37361316,"TUBE, CONNECTOR",단품,130,5,1
MJU37361317,"TUBE, CONNECTOR",단품,130,5,1
MJU37361320,Tube Connector,단품,130,15,1
MJU37361321,Tube Connector,단품,130,15,1
MJU37499501,"Tube,Connector",단품,130,360,3
MJU38274201,"Tube,Connector",단품,130,306,12
MJU38274202,"Tube,Connector",단품,130,76,12
MJU38274203,"Tube,Connector",단품,130,89,8
MJU38274204,"Tube,Connector",단품,130,68,10
MJU41489502,"Tube,Connector",단품,130,45,3
MJU41491102,"Tube,Connector",단품,130,45,3
MJU41838701,"TUBE, CONNECTOR",단품,130,86,2
MJU41838702,"TUBE, CONNECTOR",단품,130,10,1
MJU41941910,"Tube,Connector",단품,130,3,1
MJU41942202,"Tube,Connector",단품,130,2,1
MJU41942216,"TUBE, CONNECTOR",단품,130,25,1
MJU42239001,"Tube,Connector",단품,130,90,4
MJU42239004,Tube Connector,단품,130,45,5
MJU42282712,"Tube,Connector",단품,130,5,1
MJU42316801,"Tube,Connector",단품,130,8,1
MJU42823801,Tube Connector,단품,130,30,2
MJU42823901,Tube Connector,단품,130,30,2
MJU42824001,Tube Connector,단품,130,60,2
MJU42933505,"Tube,Connector",단품,130,3,1
MJU42948301,"Tube,Connector",단품,130,120,1
MJU47213201,"Tube,Connector",단품,130,3,1
MJU54133202,"Tube,Suction",단품,130,5,1
MJU57152902,"Tube,Connector",단품,130,60,1
MJU57271806,"Tube,Suction",단품,130,70,2
MJU57271811,"Tube,Connector",단품,130,210,3
MJU57271814,"Tube,Connector",단품,130,40,1
MJU60436406,"Tube,Connector",단품,130,5,1
MJU60436412,"Tube,Connector",단품,130,5,1
MJU60436413,Tube Connector,단품,130,15,1
MJU60436608,"TUBE, CONNECTOR",단품,130,5,1
MJU60436609,"TUBE, CONNECTOR",단품,130,5,1
MJU60436625,Tube Connector,단품,130,15,1
MJU60436626,Tube Connector,단품,130,15,1
MJU61356001,"Tube,Connector",단품,130,22,2
MJU61722001,"Tube,Connector",단품,130,25,2
MJU61722101,"Tube,Connector",단품,130,25,2
MJU61880501,"Tube,Connector",단품,130,25,3
MJU61880502,"Tube,Connector",단품,130,25,3
MJU61880503,"Tube,Connector",단품,130,25,3
MJU61880601,"Tube,Connector",단품,130,30,4
MJU61880701,"Tube,Connector",단품,130,30,4
MJU61881601,"Tube,Connector",단품,130,30,3
MJU61882416,"Tube,Connector",단품,130,4,1
MJU61882601,"Tube,Connector",단품,130,2,1
MJU61882701,"Tube,Connector",단품,130,2,1
MJU61883101,"Tube,Connector",단품,130,2,1
MJU61883201,"Tube,Connector",단품,130,2,1
MJU61883301,"Tube,Connector",단품,130,19,4
MJU61884601,"Tube,Connector",단품,130,700,4
MJU61884602,"Tube,Connector",단품,130,70,4
MJU61884603,"Tube,Connector",단품,130,140,4
MJU61884604,"Tube,Connector",단품,130,70,4
MJU61885401,"Tube,Connector",단품,130,30,4
MJU61885501,"Tube,Connector",단품,130,30,4
MJU61885701,"Tube,Connector",단품,130,30,4
MJU61885801,"Tube,Connector",단품,130,30,4
MJU61886101,"Tube,Connector",단품,130,5,1
MJU61903201,"Tube,Connector",단품,130,5,1
MJU61903202,"Tube,Connector",단품,130,3,1
MJU61919701,"Tube,Connector",단품,130,5,1
MJU61919702,"Tube,Connector",단품,130,3,1
MJU61919905,"Tube,Connector",단품,130,3,1
MJU61926702,"Tube,Connector",단품,130,3,1
MJU61926803,"Tube,Connector",단품,130,3,1
MJU61926804,"Tube,Connector",단품,130,3,1
MJU61940004,"Tube,Connector",단품,130,40,3
MJU61940701,"Tube,Connector",단품,130,5,1
MJU61942801,"Tube,Connector",단품,130,65,3
MJU61942901,"Tube,Connector",단품,130,25,3
MJU61949501,"Tube,Connector",단품,130,837,61
MJU61949502,"Tube,Connector",단품,130,837,61
MJU61953603,"Tube,Connector",단품,130,3,1
MJU61953702,"Tube,Connector",단품,130,3,1
MJU61987003,"Tube,Connector",단품,130,183,5
MJU62066801,"Tube,Connector",단품,130,60,3
MJU62078201,Tube Connector,단품,130,839,36
MJU62078401,Tube Connector,단품,130,839,36
MJU62079801,Tube Connector,단품,130,839,36
MJU62096501,축관만 가공,단품,130,8515,10
MJU62207801,"Tube,Connector",단품,130,25,1
MJU62207802,"Tube,Connector",단품,130,25,1
MJU62287006,"Tube,Connector",단품,130,62,8
MJU62287008,"Tube,Connector",단품,130,197,21
MJU62357301,"Tube,Connector",단품,130,5,1
MJU62360301,Tube Connector,단품,130,27,3
MJU62360401,Tube Connector,단품,130,27,3
MJU62360501,Tube Connector,단품,130,27,3
MJU62360601,Tube Connector,단품,130,27,3
MJU62389801,"Tube,Connector",단품,130,5,1
MJU62390701,Tube Connector,단품,130,5,2
MJU62393501,"Tube,Connector",단품,130,27,3
MJU62393601,"Tube,Connector",단품,130,27,3
MJU62393806,"Tube,Connector",단품,130,48,4
MJU62406601,"Tube,Connector",단품,130,1254,74
MJU62406703,"Tube,Connector",단품,130,10,1
MJU62597001,"Tube,Connector",단품,130,30,4
MJU62597101,"Tube,Connector",단품,130,30,4
MJU62672402,"Tube,Connector",단품,130,2,1
MJU62692001,"Tube,Connector",단품,130,100,5
MJU62792001,"Tube,Connector",단품,130,62,8
MJU62792003,"Tube,Connector",단품,130,197,21
MJU62792301,"Tube,Connector",단품,130,62,8
MJU62792304,"Tube,Connector",단품,130,198,22
MJU62807413,"Tube,Connector",단품,130,90,5
MJU62808301,"Tube,Connector",단품,130,60,2
MJU62808401,"Tube,Connector",단품,130,60,2
MJU62808501,"Tube,Connector",단품,130,60,2
MJU62816201,"Tube,Connector",단품,130,129,6
MJU62816401,"Tube,Connector",단품,130,60,8
MJU62817603,Tube Connector,단품,130,5,1
MJU62818901,"Tube,Connector",단품,130,213,8
MJU62819201,"Tube,Connector",단품,130,126,5
MJU62819701,"Tube,Connector",단품,130,19,4
MJU62836101,"Tube,Connector",단품,130,126,5
MJU62836201,"Tube,Connector",단품,130,126,5
MJU62839701,"Tube,Connector",단품,130,5,1
MJU62841603,"Tube,Connector",단품,130,5,1
MJU62866401,"Tube,Connector",단품,130,177,6
MJU62912101,"Tube,Connector",단품,130,135,10
MJU62913103,Tube Connector,단품,130,1,1
MJU62913104,"Tube,Connector",단품,130,12,1
MJU62915301,"Tube,Connector",단품,130,455,3
MJU62915302,"Tube,Connector",단품,130,474,3
MJU62916122,"Tube,Connector",단품,130,2930,23
MJU62916123,"Tube,Connector",단품,130,2780,23
MJU62916124,"Tube,Connector",단품,130,5961,26
MJU62916125,"Tube,Connector",단품,130,6196,26
MJU62916126,"Tube,Connector",단품,130,115262,25
MJU62916127,"Tube,Connector",단품,130,2947,25
MJU62916128,"Tube,Connector",단품,130,3128,25
MJU62921203,"Tube,Connector",단품,130,20,2
MJU62921204,"Tube,Connector",단품,130,20,2
MJU62921209,"Tube,Connector",단품,130,5,1
MJU62921210,"Tube,Connector",단품,130,5,1
MJU62922201,"Tube,Connector",단품,130,128,5
MJU62968604,"Tube,Connector",단품,130,180,3
MJU62970901,"Tube,Connector",단품,130,19,3
MJU62971001,"Tube,Connector",단품,130,15,2
MJU62987402,"Tube,Connector",단품,130,7645,24
MJU62989201,"Tube,Connector",단품,130,70,6
MJU62989301,"Tube,Connector",단품,130,126,5
MJU62989601,"Tube,Connector",단품,130,25,3
MJU62993602,"Tube,Connector",단품,130,30,2
MJU62993603,"Tube,Connector",단품,130,132,2
MJU62993604,"Tube,Connector",단품,130,12,1
MJU62993606,"Tube,Connector",단품,130,18,2
MJU62993607,Tube Connector,단품,130,30,2
MJU62993610,"Tube,Connector",단품,130,6,1
MJU62993705,"Tube,Connector",단품,130,116,1
MJU62993710,"Tube,Conncetor",단품,130,20,1
MJU62993711,"Tube,Conncetor",단품,130,14,1
MJU62998002,"Tube,Connector",단품,130,3,1
MJU62998101,"Tube,Connector",단품,130,3,1
MJU62998102,"Tube,Connector",단품,130,3,1
MJU62998402,"Tube,Connector",단품,130,5,1
MJU63000401,"Tube,Connector",단품,130,5,1
MJU63000402,"Tube,Connector",단품,130,5,1
MJU63000403,"Tube,Connector",단품,130,5,1
MJU63001010,"Tube,Connector",단품,130,5,1
MJU63006501,"Tube,Connector",단품,130,60,2
MJU63009001,"Tube,Connector",단품,130,20,3
MJU63009002,"Tube,Connector",단품,130,50,3
MJU63009004,"Tube,Connector",단품,130,29,3
