assy,원소재,유형,외경,두께,길이,원소재비,소요량,견적재료비,검산(geom×원),오차%,마커
AJR77224001.02,MJU66570403,동관,22.22,1.15,181.0,7550.0,1.0,930.1214107797499,930.0,0.0,
AJR77224001.02,MJU66570404,동관,22.22,1.15,310.0,7550.0,1.0,1593.0256206725003,1592.8,0.0,
AJR77225601.02,MJU66571704,동관,28.0,1.15,353.0,7550.0,1.0,2311.6151207212497,2311.3,0.0,
AJR77225601.02,MJU66571801,동관,22.22,1.15,443.0,7550.0,1.0,2276.4849998642494,2276.1,0.0,
AJR30027703.07,MJU66799101,동관,28.0,1.15,301.0,7550.0,1.0,1971.0939131362502,1970.8,0.0,
AJR30027703.07,MJU66799401,동관,28.0,1.15,527.0,7550.0,1.0,3451.05146917875,3450.5,0.0,
AJR30027703.07,MJU66799403,동관,28.0,1.15,409.0,7550.0,1.0,2678.33026735125,2677.9,0.0,
