품번,종류,경로,원소재,외경,두께,길이,종전원소재비,현재사급가,soyo,종전재료비pu,현재재료비pu,검산오차%
AJR30125601-20-2,SUB,SUB전개,MJU66479501,9.52,0.65,204.0,20000.0,20000,1.0,661,661,0.0
AJR30125601-20-2,SUB,SUB전개,MJU66799901,9.52,0.65,100.0,20000.0,20000,1.0,324,324,0.0
AJR30125601-20-2,SUB,SUB전개,MJU66749602,9.52,0.65,59.0,20000.0,20000,1.0,191,191,0.0
AJR30125603-20-1,SUB,SUB전개,MJU66749602,9.52,0.65,59.0,20000.0,20000,1.0,191,191,0.0
AJR30125603-20-1,SUB,SUB전개,MJU66799901,9.52,0.65,100.0,20000.0,20000,1.0,324,324,0.0
AJR73952501-20-1,SUB,SUB전개,MJU63208003,12.7,0.75,262.0,7560.0,20000,1.0,499,1319,0.0
AJR73952501-20-1,SUB,SUB전개,MJU63208106,7.0,0.65,109.0,7711.0,20000,2.0,97,253,0.0
AJR73952501-20-1,SUB,SUB전개,MJU63208104,7.0,0.65,91.0,7711.0,20000,1.0,81,211,0.0
AJR73952501-20-1,SUB,SUB전개,MJU63208105,7.0,0.65,138.0,7711.0,20000,1.0,123,320,0.0
AJR73952502-20-1,SUB,SUB전개,MJU63208002,12.7,0.75,262.0,7560.0,20000,1.0,499,1319,0.0
AJR73952502-20-1,SUB,SUB전개,MJU63208104,7.0,0.65,91.0,7711.0,20000,2.0,81,211,0.0
AJR73952502-20-1,SUB,SUB전개,MJU63208105,7.0,0.65,138.0,7711.0,20000,1.0,123,320,0.0
AJR74823101-20-1,SUB,SUB전개,MJU64067601,7.0,0.65,124.0,7711.0,20000,2.0,111,287,0.0
AJR74823101-20-1,SUB,SUB전개,MJU64067602,7.0,0.65,117.0,7711.0,20000,1.0,105,271,0.0
AJR74823101-20-1,SUB,SUB전개,MJU64067603,7.0,0.65,107.0,7711.0,20000,1.0,96,248,0.0
AJR74823101-20-1,SUB,SUB전개,MJU64067604,7.0,0.65,105.0,7711.0,20000,1.0,94,243,0.0
AJR74823101-20-1,SUB,SUB전개,MJU64067605,7.0,0.65,91.0,7711.0,20000,1.0,81,211,0.0
AJR74823101-20-1,SUB,SUB전개,MJU64067701,15.88,0.95,455.0,7549.0,20000,1.0,1368,3625,0.0
AJR74823102-20-1,SUB,SUB전개,MJU64067601,7.0,0.65,124.0,7711.0,20000,2.0,111,287,0.0
AJR74823102-20-1,SUB,SUB전개,MJU64067602,7.0,0.65,117.0,7711.0,20000,1.0,105,271,0.0
AJR74823102-20-1,SUB,SUB전개,MJU64067603,7.0,0.65,107.0,7711.0,20000,1.0,96,248,0.0
AJR74823102-20-1,SUB,SUB전개,MJU64067604,7.0,0.65,105.0,7711.0,20000,1.0,94,243,0.0
AJR74823102-20-1,SUB,SUB전개,MJU64067605,7.0,0.65,91.0,7711.0,20000,1.0,81,211,0.0
AJR74823102-20-1,SUB,SUB전개,MJU64067702,15.88,0.95,455.0,7549.0,20000,1.0,1368,3625,0.0
AJR74823103-20-1,SUB,SUB전개,MJU64067601,7.0,0.65,124.0,7711.0,20000,1.0,111,287,0.0
AJR74823103-20-1,SUB,SUB전개,MJU64067602,7.0,0.65,117.0,7711.0,20000,1.0,105,271,0.0
AJR74823103-20-1,SUB,SUB전개,MJU64067604,7.0,0.65,105.0,7711.0,20000,1.0,94,243,0.0
AJR74823103-20-1,SUB,SUB전개,MJU64067605,7.0,0.65,91.0,7711.0,20000,1.0,81,211,0.0
AJR74823103-20-1,SUB,SUB전개,MJU64067703,15.88,0.95,455.0,7549.0,20000,1.0,1368,3625,0.0
AJR74823104-20-1,SUB,SUB전개,MJU64067601,7.0,0.65,124.0,7711.0,20000,1.0,111,287,0.0
AJR74823104-20-1,SUB,SUB전개,MJU64067602,7.0,0.65,117.0,7711.0,20000,1.0,105,271,0.0
AJR74823104-20-1,SUB,SUB전개,MJU64067604,7.0,0.65,105.0,7711.0,20000,1.0,94,243,0.0
AJR74823104-20-1,SUB,SUB전개,MJU64067605,7.0,0.65,91.0,7711.0,20000,1.0,81,211,0.0
AJR74823104-20-1,SUB,SUB전개,MJU64067704,15.88,0.95,455.0,7549.0,20000,1.0,1368,3625,0.0
AJR75462802-20-1,SUB,SUB전개,MJU64687501,15.88,0.95,125.0,20000.0,20000,1.0,996,996,0.0
AJR75462802-20-1,SUB,SUB전개,MJU64407201,19.05,0.95,64.0,20000.0,20000,1.0,618,618,0.0
AJR76523027-20-1,SUB,SUB전개,MJU63651005,9.52,0.65,222.0,7575.0,20000,1.0,272,719,0.0
AJR76523027-20-1,SUB,SUB전개,MJU63651022,9.52,0.65,424.0,7575.0,20000,1.0,520,1373,0.0
AJR76523027-20-1,SUB,SUB전개,MJU63641023,9.52,0.65,112.0,7575.0,20000,1.0,137,363,0.0
AJR76523027-20-1,SUB,SUB전개,MJU66932046,6.35,0.9,66.0,7671.0,20000,1.0,70,182,0.0
AJR76523027-20-1,SUB,SUB전개,MJU67039503,9.52,0.65,109.0,7575.0,20000,1.0,134,353,0.0
AJR76562804-20-1,SUB,SUB전개,MJU65789107,19.05,0.95,912.0,20000.0,20000,1.0,8809,8809,0.0
AJR76562804-20-1,SUB,SUB전개,5210A24677N,7.0,0.65,61.0,20000.0,20000,7.0,141,141,0.0
