code,kind,phi,thick,length,copper_unit_kg,nparts
5210A23658F,부품,12.7,0.75,91.0,0.02291,
5210A23658G,부품,12.7,0.75,102.0,0.025679,
5210A23937A,부품,6.35,0.65,160.0,0.016652,
5210A23957F,부품,6.35,0.65,114.0,0.011864,
5210A24146C,부품,15.88,0.95,531.0,0.211558,
5210A24146D,부품,15.88,0.95,981.0,0.390845,
5210A24304A,부품,12.7,0.75,130.0,0.032728,
5210A24673A,부품,19.05,0.95,413.0,0.199482,
5210A24673B,부품,19.05,0.95,383.0,0.184992,
5210A24677A,부품,6.35,0.65,120.0,0.012489,
5210A24677C,부품,6.35,0.65,69.0,0.007181,
5210A24677D,부품,6.35,0.65,113.0,0.01176,
5210A24677G,부품,7.0,0.65,58.0,0.006725,
5210A24677J,부품,7.0,0.65,77.0,0.008927,
5210A24677N,부품,7.0,0.65,61.0,0.007072,
5210A24704D,부품,9.52,0.65,606.0,0.098143,
5210A24704E,부품,9.52,0.65,666.0,0.107861,
5210A24772A,부품,15.88,0.95,669.0,0.266539,
5210A24772B,부품,15.88,0.95,669.0,0.266539,
5210A24845B,부품,6.35,0.65,48.0,0.004996,
5210A24847A,부품,19.05,0.95,1149.0,0.554976,
5210A24847D,부품,19.05,0.95,1194.0,0.576711,
5210A25401A,부품,19.05,0.95,645.0,0.31154,
5210A25401B,부품,19.05,0.95,620.0,0.299465,
5210A25401D,부품,19.05,0.95,630.0,0.304295,
5210A25501A,부품,9.52,0.65,645.0,0.10446,
5210A25638A,부품,19.05,0.95,652.0,0.314921,
5210A25639A,부품,19.05,0.95,608.0,0.293669,
5210A25640B,부품,7.94,0.65,603.0,0.080262,
5210A25640K,부품,7.94,0.65,595.0,0.079197,
5210A25790B,부품,15.88,0.95,1238.0,0.493237,
5210A25790C,부품,15.88,0.95,1238.0,0.493237,
5210A25790D,부품,15.88,0.95,1152.0,0.458974,
5210A25793A,부품,6.35,0.9,472.0,0.065033,
5210A25793B,부품,6.35,0.9,442.0,0.060899,
5210A25800A,부품,6.35,0.9,51.0,0.007027,
5210A25929D,부품,15.88,0.95,1502.5,0.598618,
5210A25929H,부품,15.88,0.95,381.70000000000005,0.152075,
5210A26663A,부품,6.35,0.65,86.0,0.00895,
5210A26663B,부품,6.35,0.65,114.0,0.011864,
5210A26663C,부품,6.35,0.65,46.0,0.004787,
5210A26667G,부품,6.35,0.65,180.0,0.018733,
5210A26735B-1,부품,9.52,0.65,67.0,0.010851,
5210A26761A,부품,6.35,0.65,72.0,0.007493,
5210A26762A,부품,6.35,0.65,205.0,0.021335,
5210A26764A,부품,6.35,0.65,68.0,0.007077,
5210A26764B,부품,6.35,0.65,408.0,0.042462,
5210A26768A,부품,6.35,0.65,188.0,0.019566,
5210A26790A,부품,5.0,0.65,93.0,0.007386,
5210A26790B,부품,5.0,0.65,112.0,0.008896,
5210A26790C,부품,5.0,0.65,76.0,0.006036,
5210A26790D,부품,5.0,0.65,76.0,0.006036,
5210A26790E,부품,5.0,0.65,69.0,0.00548,
5210A26795A,부품,6.35,0.65,110.0,0.011448,
5210A26795B,부품,6.35,0.65,97.0,0.010095,
5210A26795C,부품,6.35,0.65,78.0,0.008118,
5210A26795D,부품,6.35,0.65,90.0,0.009367,
5210A26795E,부품,6.35,0.65,98.0,0.010199,
5210A26795F,부품,6.35,0.65,106.0,0.011032,
5210A26807B,부품,15.88,0.95,386.0,0.153788,
5210A26838A,부품,12.7,0.75,618.0,0.155586,
5210A26839A,부품,15.88,0.95,1039.0,0.413953,
5210A26860A,부품,6.35,0.65,125.0,0.013009,
5210A26861A,부품,6.35,0.65,102.0,0.010615,
5210A26862A,부품,6.35,0.65,108.0,0.01124,
5210A26863A,부품,6.35,0.65,132.0,0.013738,
5210A26864A,부품,6.35,0.65,94.0,0.009783,
5210A26885D,부품,6.35,0.65,113.0,0.01176,
5210A26885H,부품,6.35,0.65,124.0,0.012905,
5210A276900C,부품,19.05,0.95,1138.0,0.549663,
5210A27924F,부품,12.7,0.75,732.0,0.184286,
5210A27925B,부품,7.94,0.65,290.0,0.0386,
5210A27925C,부품,9.52,0.65,285.0,0.046157,
5210A29025C,부품,12.7,0.75,181.0,0.045568,
5210A29103A,부품,6.35,0.65,161.0,0.016756,
5210A29104A,부품,6.35,0.65,144.0,0.014987,
5210A29110A,부품,6.35,0.65,211.0,0.021959,
5210A29901B,부품,4.76,0.65,414.0,0.031068,
5210A29901C,부품,4.76,0.65,243.0,0.018235,
5210A29902B,부품,6.35,0.65,341.0,0.035489,
5210A29902C,부품,6.35,0.65,262.0,0.027267,
5210A30050E,부품,9.52,0.65,72.0,0.011661,
5210A30050Y,부품,7.94,0.65,54.0,0.007188,
5210A30334L,부품,6.35,0.65,112.0,0.011656,
5210A30339A,부품,7.94,0.65,321.0,0.042727,
5210A30340A,부품,9.52,0.65,124.0,0.020082,
5210A30536A,부품,6.35,0.65,223.0,0.023208,
5210A30536D,부품,6.35,0.65,141.0,0.014674,
5210A30536E,부품,6.35,0.65,135.0,0.01405,
5210A30536F,부품,6.35,0.65,271.0,0.028204,
5210A30536G,부품,6.35,0.65,277.0,0.028828,
5210A30536H,부품,6.35,0.65,451.0,0.046937,
5210A30538J,부품,15.88,0.95,93.0,0.037053,
5210A30540A,부품,6.35,0.65,192.0,0.019982,
5210A30541A,부품,6.35,0.65,139.0,0.014466,
5210A30554F,부품,7.0,0.65,46.0,0.005333,
5210A30572C,부품,6.35,0.65,102.0,0.010615,
5210A30572D,부품,6.35,0.65,133.0,0.013842,
5210A30573A,부품,6.35,0.65,119.0,0.012385,
5210A30581A,부품,6.35,0.65,122.0,0.012697,
5210A30582A,부품,7.94,0.65,93.0,0.012379,
5210A30657R,부품,9.52,0.65,145.0,0.023483,
5210A30846A,부품,7.0,0.65,85.0,0.009855,
5210A30866G,부품,9.52,0.65,144.0,0.023321,
