ASSY,재료비,입고가,배율,월,최대부품
MJU62032701,1257,520,2.4,2604,"MJU62032701(수불,소요1.00000,1,257원,Tube,Connect)"
MJU63470901,1454,694,2.1,2607,"MJU63470901(수불,소요1.00000,1,454원,Tube,Connect)"
