부모ASSY,부모유형,부모품명,자식ASSY(완제품),자식품명,소요량
AJR71429303,완제품,"Tube Assembly,Suction(Outdoor)",4848A20005L,Accumulator,1.0
AJR71429307,완제품,"Tube Assembly,Suction(Outdoor)",4848A20005L,Accumulator,1.0
AJR71429312,완제품,"Tube Assembly,Suction(Outdoor)",4848A20005L,Accumulator,1.0
AJR71429318,서브ASSY,"Tube Assembly,Suction",4848A20005L,Accumulator,1.0
AJR71429327,완제품,"Tube Assembly,Suction",4848A20005L,Accumulator,1.0
AJR71429331,완제품,"Tube Assembly,Suction",4848A20005L,Accumulator,1.0
AJR71429343,완제품,"Tube Assembly,Suction",4848A20005L,Accumulator,1.0
AJR72910805,완제품,Tube Assembly,AJR65507701,"Tube Assembly,Suction(Outdoor)",1.0
AJR72946403,완제품,Tube Assembly,AHQ37048805,"Separator Assembly,Oil",1.0
AJR72946403,완제품,Tube Assembly,AJR37048408,"Tube Assembly,Suction(Outdoor)",1.0
AJR72946403,완제품,Tube Assembly,AJR72937702,"Tube Assembly,Expansion",1.0
AJR72946403,완제품,Tube Assembly,AJR72962401,"Tube Assembly,Solenoide",1.0
AJR72946422,완제품,Tube Assembly,AJR37048417,"Tube Assembly,Suction(Outdoor)",1.0
AJR72946422,완제품,Tube Assembly,AJR72937704,"Tube Assembly,Expansion",1.0
AJR72946422,완제품,Tube Assembly,AJR72946811,AJR72946811,1.0
AJR72946424,완제품,Tube Assembly,AJR37048417,"Tube Assembly,Suction(Outdoor)",1.0
AJR72946424,완제품,Tube Assembly,AJR72937707,"Tube Assembly,Expansion",1.0
AJR72946424,완제품,Tube Assembly,AJR72946812,"Tube Assembly,Reverse",1.0
AJR72950704,서브ASSY,AJR72950704,4848A20005L,Accumulator,1.0
AJR72950704-7,서브ASSY,AJR72950704-7,4848A20005L,Accumulator,1.0
AJR72950705,서브ASSY,Tube Assembly Suction,4848A20005L,Accumulator,1.0
AJR72961702,완제품,"Tube Assembly,Expansion",5224A20002T,Strainer,2.0
AJR73026401,완제품,Tube Assembly,AJR73002901,"Tube Assembly,Manifold(Outdoor)",1.0
AJR73767306,완제품,"Tube Assembly,Suction(Outdoor)",AJR74488601,"Tube Assembly,Capillary",1.0
AJR73767314,완제품,"Tube Assembly,Suction(Outdoor)",AJR74488601,"Tube Assembly,Capillary",1.0
AJR73767318,완제품,"Tube Assembly,Suction(Outdoor)",AJR74488601,"Tube Assembly,Capillary",1.0
AJR73768803,완제품,"Tube Assembly,Condenser(Out)",5224A20002T,Strainer,1.0
AJR73768803-S6-4,서브ASSY,사내 SUB,5224A20002T,Strainer,1.0
AJR73822503,완제품,Tube Assembly,AAB73250401,Accumulator Assembly,1.0
AJR73822503,완제품,Tube Assembly,AJR36388508,"Tube Assembly,Suction(Outdoor)",1.0
AJR73822504,완제품,Tube Assembly,AAB73250401,Accumulator Assembly,1.0
AJR73822504,완제품,Tube Assembly,AJR36388509,"Tube Assembly,Suction(Outdoor)",1.0
AJR73822504,완제품,Tube Assembly,AJR36388606,"Tube Assembly, Expansion",1.0
AJR73822504,완제품,Tube Assembly,AJR73944505,"Tube Assembly,Reverse",1.0
AJR73822506,완제품,Tube Assembly,AAB73250401,Accumulator Assembly,1.0
AJR73822506,완제품,Tube Assembly,AJR36388509,"Tube Assembly,Suction(Outdoor)",1.0
AJR73822506,완제품,Tube Assembly,AJR36388606,"Tube Assembly, Expansion",1.0
AJR73822506,완제품,Tube Assembly,AJR73944506,"Tube Assembly,Reverse",1.0
AJR73822507,완제품,Tube Assembly,AAB73250401,Accumulator Assembly,1.0
AJR73822507,완제품,Tube Assembly,AJR36388510,"Tube Assembly,Suction(Outdoor)",1.0
AJR73822507,완제품,Tube Assembly,AJR36388606,"Tube Assembly, Expansion",1.0
AJR73822509,완제품,Tube Assembly,AAB73250401,Accumulator Assembly,1.0
AJR73822509,완제품,Tube Assembly,AJR36388509,"Tube Assembly,Suction(Outdoor)",1.0
AJR73822509,완제품,Tube Assembly,AJR36388606,"Tube Assembly, Expansion",1.0
AJR73822512,완제품,Tube Assembly,AJR36388606,"Tube Assembly, Expansion",1.0
AJR73822512,완제품,Tube Assembly,AJR73944511,"Tube Assembly,Reverse",1.0
AJR73822515,완제품,Tube Assembly,AAB73250401,Accumulator Assembly,1.0
AJR73822515,완제품,Tube Assembly,AJR36388510,"Tube Assembly,Suction(Outdoor)",1.0
AJR73822515,완제품,Tube Assembly,AJR36388606,"Tube Assembly, Expansion",1.0
AJR73822515,완제품,Tube Assembly,AJR73944512,"Tube Assembly,Reverse",1.0
AJR73822516,완제품,Tube Assembly,AAB73250401,Accumulator Assembly,1.0
AJR73822516,완제품,Tube Assembly,AJR36388510,"Tube Assembly,Suction(Outdoor)",1.0
AJR73822516,완제품,Tube Assembly,AJR36388606,"Tube Assembly, Expansion",1.0
AJR73822516,완제품,Tube Assembly,AJR73944513,"Tube Assembly,Reverse",1.0
AJR73822520,완제품,Tube Assembly,AJR36388606,"Tube Assembly, Expansion",1.0
AJR73822522,완제품,Tube Assembly,AJR36388606,"Tube Assembly, Expansion",1.0
AJR73822522,완제품,Tube Assembly,AJR73944511,"Tube Assembly,Reverse",1.0
AJR73822523,완제품,Tube Assembly,AJR36388606,"Tube Assembly, Expansion",1.0
AJR73822523,완제품,Tube Assembly,AJR73944511,"Tube Assembly,Reverse",1.0
AJR73822528,완제품,Tube Assembly,AAB73250401,Accumulator Assembly,1.0
AJR73822528,완제품,Tube Assembly,AJR36388509,"Tube Assembly,Suction(Outdoor)",1.0
AJR73822528,완제품,Tube Assembly,AJR36388606,"Tube Assembly, Expansion",1.0
AJR73822528,완제품,Tube Assembly,AJR73944505,"Tube Assembly,Reverse",1.0
AJR73822529,완제품,Tube Assembly,AAB73250401,Accumulator Assembly,1.0
AJR73822529,완제품,Tube Assembly,AJR36388509,"Tube Assembly,Suction(Outdoor)",1.0
AJR73822529,완제품,Tube Assembly,AJR36388606,"Tube Assembly, Expansion",1.0
AJR73822529,완제품,Tube Assembly,AJR73944506,"Tube Assembly,Reverse",1.0
AJR73822530,완제품,Tube Assembly,AAB73250401,Accumulator Assembly,1.0
AJR73822530,완제품,Tube Assembly,AJR36388510,"Tube Assembly,Suction(Outdoor)",1.0
AJR73822530,완제품,Tube Assembly,AJR36388606,"Tube Assembly, Expansion",1.0
AJR73822530,완제품,Tube Assembly,AJR73944512,"Tube Assembly,Reverse",1.0
AJR73822536,완제품,Tube Assembly,AAB73250401,Accumulator Assembly,1.0
AJR73822536,완제품,Tube Assembly,AJR36388509,"Tube Assembly,Suction(Outdoor)",1.0
AJR73822536,완제품,Tube Assembly,AJR36388606,"Tube Assembly, Expansion",1.0
AJR73822536,완제품,Tube Assembly,AJR73944505,"Tube Assembly,Reverse",1.0
AJR73822538,완제품,Tube Assembly,AJR36388615,사내 SUB,1.0
AJR73822538,완제품,Tube Assembly,AJR73944520,"Tube Assembly,Reverse",1.0
AJR73822540,완제품,Tube Assembly,AJR36388615,사내 SUB,1.0
AJR73822540,완제품,Tube Assembly,AJR73944519,"Tube Assembly,Reverse",1.0
AJR73909702,서브ASSY,"Tube, Assembly, Condenser(Out)",AJR74004701,"Tube Assembly,Connector",1.0
AJR73981101,완제품,Tube Assembly,AAB73230901,Accumulator Assembly,1.0
AJR73981101,완제품,Tube Assembly,AJR73663001,"Tube Assembly,Reverse",1.0
AJR73981102,완제품,Tube Assembly,AJJ73640105,Supporter Assembly,1.0
AJR73981104,완제품,Tube Assembly,AJJ73640105,Supporter Assembly,1.0
AJR73981104,완제품,Tube Assembly,AJR73663004,"Tube Assembly,Reverse",1.0
AJR73981107,완제품,Tube Assembly,AJR73663006,"Tube Assembly,Reverse",1.0
AJR73981108,완제품,Tube Assembly,AAB73230901,Accumulator Assembly,1.0
AJR73981108,완제품,Tube Assembly,AJR73663001,"Tube Assembly,Reverse",1.0
