부모ASSY,부모유형,부모품명,자식ASSY(완제품),자식품명,소요량
5162A20011C,완제품,"Socket,Flare",5162A20010B,"Socket,Flare",1.0
5162A20011G,완제품,"Socket,Flare",5162A20010E,"Socket,Flare",1.0
5162A20011N,완제품,"Socket,Flare",5162A20010G,"Socket, Flare",1.0
5211A11602B,완제품,"Tube Assembly,Reverse",4848A20011A,Accumulator Assembly,1.0
가버너(베타모델),서브ASSY,GHP 제로가버너,AJU74073201,Valve Assembly,1.0
가버너(알파모델),서브ASSY,GHP 제로가버너,AJU74073201,Valve Assembly,1.0
AAA31179501,완제품,이지링크 1/4(Ø6.35),ACJ75119301,Connector Assembly,2.0
AAA31179502,완제품,이지링크 3/8(Ø9.52),ACJ75119302,Connector Assembly,2.0
AAA31179504,완제품,이지링크 5/8(Ø15.88),ACJ75119305,Connector Assembly,2.0
ADM72950701,완제품,판형 Assembly,AJR73664801,ADM75404602 내재화 SUB ASSY,1.0
ADM72950701,완제품,판형 Assembly,AJR73664901,ADM75404602 내재화 SUB ASSY,1.0
ADM72950701,완제품,판형 Assembly,AJR73665001,ADM75404602 내재화 SUB,1.0
ADM72950701,완제품,판형 Assembly,AJR73665101,ADM75404602 내재화 SUB ASSY,1.0
ADM72950701,완제품,판형 Assembly,AJR73665201,ADM75404602 내재화 SUB ASSY,1.0
ADM72950714,완제품,Exchanger Assembly,AJR73724004,ADM75404604 내재화 SUB ASSY,1.0
ADM72950714,완제품,Exchanger Assembly,AJR73724103,ADM75404604 내재화 SUB ASSY,1.0
ADM72950714,완제품,Exchanger Assembly,AJR76563201,ADM75404604 내재화 SUB ASSY,1.0
ADM72950714,완제품,Exchanger Assembly,AJR76563301,ADM75404604 내재화 SUB ASSY,1.0
ADM73210506,완제품,판형 Assembly(알파라발),AJR76462607,ADM73210506 SUB(대원직납),1.0
ADM73210506,완제품,판형 Assembly(알파라발),AJR76462608,ADM73210506 SUB(대원직납),1.0
ADM73210511,완제품,판형 Assembly(알파라발),AJR76462903,판형 수배관 SUB,1.0
ADM73210512,완제품,Exchanger Assembly,ADM73210510,Exchanger Assembly,1.0
ADM73210512,완제품,Exchanger Assembly,AJR76462903,판형 수배관 SUB,1.0
ADM73210515,완제품,판형 Assembly(동일),AJR76462631,판형 SUB,1.0
ADM73210515,완제품,판형 Assembly(동일),AJR76462736,판형 SUB,1.0
ADM73210515,완제품,판형 Assembly(동일),AJR76462903,판형 수배관 SUB,1.0
ADM73210516,완제품,Exchanger Assembly,ADM73210510,Exchanger Assembly,1.0
ADM73210516,완제품,Exchanger Assembly,AJR76462903,판형 수배관 SUB,1.0
ADM74930502,완제품,판형 Assembly(알파라발),AJR76462605,ADM74930502 SUB,1.0
ADM74930502,완제품,판형 Assembly(알파라발),AJR76462611,ADM74930502 SUB(대원직납),1.0
ADM74930507,완제품,Exchanger Assembly,AJR76462903,판형 수배관 SUB,1.0
ADM74930508,완제품,Exchanger Assembly,ADM74930506,판형 열교환기(스웹),1.0
ADM74930508,완제품,Exchanger Assembly,AJR76462903,판형 수배관 SUB,1.0
ADM74930511,완제품,판형 Assembly(동일),AJR76462736,판형 SUB,1.0
ADM74930511,완제품,판형 Assembly(동일),AJR76462903,판형 수배관 SUB,1.0
AEG74589804,서브ASSY,히터탱크,AJR55829111,Tube Assembly,1.0
AEG74589804(신창),서브ASSY,히터탱크,AJR55829111,Tube Assembly,1.0
AEG74589806,서브ASSY,히터탱크,AJR55829111,Tube Assembly,1.0
AET30216901,완제품,"Install Part Assembly, Set",AAA31179501,이지링크 1/4(Ø6.35),30.0
AET30216902,완제품,"Install Part Assembly, Set",AAA31179502,이지링크 3/8(Ø9.52),30.0
AET30216903,완제품,"Install Part Assembly, Set",AAA31179503,이지링크 1/2(Ø12.7),30.0
AET30216904,완제품,"Install Part Assembly, Set",AAA31179504,이지링크 5/8(Ø15.88),30.0
AET73271508,서브ASSY,AET73271508,6851A20032X,"Cable, Assembly",1.0
AET73271509,서브ASSY,AET73271509,6851A20032X,"Cable, Assembly",1.0
AET73271510,서브ASSY,"Install Part Assembly,Set",6851A20032X,"Cable, Assembly",1.0
AET73271510,서브ASSY,"Install Part Assembly,Set",6851A20037M,"Cable, Assembly",1.0
AET73271512,서브ASSY,"Install Part Assembly, Set",6851A20032X,"Cable, Assembly",1.0
AET73271512,서브ASSY,"Install Part Assembly, Set",6851A20037M,"Cable, Assembly",1.0
AET73671503,서브ASSY,Inverter_Gift_Ist(Dometsic),AAA72940319,Accessory Assembly,1.0
AET73671505,서브ASSY,AET73671505,AAA72940318,Accessory Assembly,1.0
AET73671505,서브ASSY,AET73671505,AJR73803003,Tube Assembly Connector,1.0
AET73671506,서브ASSY,AET73671506,AAA72940318,Accessory Assembly,1.0
AET73671506,서브ASSY,AET73671506,AJR73803003,Tube Assembly Connector,1.0
AET73671508,서브ASSY,"Install part Assembly, Set",AAA72940318,Accessory Assembly,1.0
AET73671508,서브ASSY,"Install part Assembly, Set",AJR73803003,Tube Assembly Connector,1.0
AET73671511,서브ASSY,Inverter_Gift_Ist(Dometsic),AAA72940319,Accessory Assembly,1.0
AET73671512,서브ASSY,AET73671512,AAA72940318,Accessory Assembly,1.0
AET73671512,서브ASSY,AET73671512,AJR73803003,Tube Assembly Connector,1.0
AET73671513,서브ASSY,Install Part Assembly,AAA72940319,Accessory Assembly,1.0
AET73671514,서브ASSY,"Install Part Assembly, Set",AAA72940318,Accessory Assembly,1.0
AET73671514,서브ASSY,"Install Part Assembly, Set",AJR73803003,Tube Assembly Connector,1.0
AET73671515,서브ASSY,AET73671515,AAA72940318,Accessory Assembly,1.0
AET73671515,서브ASSY,AET73671515,AJR73803003,Tube Assembly Connector,1.0
AET73671516,서브ASSY,"Install Part Assembly, Set",AAA72940319,Accessory Assembly,1.0
AET73671517,서브ASSY,"Install Part Assembly, Set",AAA72940318,Accessory Assembly,1.0
AET73671517,서브ASSY,"Install Part Assembly, Set",AJR73803003,Tube Assembly Connector,1.0
AET73671518,서브ASSY,Install Part Assembly,AAA72940318,Accessory Assembly,1.0
AET73671518,서브ASSY,Install Part Assembly,AJR73803003,Tube Assembly Connector,1.0
AET73671519,서브ASSY,"Install Part Assembly, Set",AAA72940319,Accessory Assembly,1.0
AET73671520,서브ASSY,Install Part Assembly,AAA72940318,Accessory Assembly,1.0
AET73671520,서브ASSY,Install Part Assembly,AJR73803003,Tube Assembly Connector,1.0
AET73671521,서브ASSY,"Install Part Assembly,Set",AAA72940318,Accessory Assembly,1.0
AET73671521,서브ASSY,"Install Part Assembly,Set",AJR73803003,Tube Assembly Connector,1.0
AET73671522,서브ASSY,Install Part Assembly,AAA72940319,Accessory Assembly,1.0
AET73671524,서브ASSY,Install Part Assembly,AAA72940319,Accessory Assembly,1.0
AET73671525,서브ASSY,"Install Part Assembly, Set",AAA72940319,Accessory Assembly,1.0
AET73671526,서브ASSY,"Install Part Assembly,Set",AAA72940319,Accessory Assembly,1.0
AET73831401,서브ASSY,PQ061208C02.AKOR,AAA72940317,Accessory Assembly,1.0
AET73831402,서브ASSY,PQ061508C01.AKOR,AAA72940317,Accessory Assembly,1.0
AET73831403,서브ASSY,AET73831403,AAA72940317,Accessory Assembly,1.0
AET73831404,서브ASSY,PQ091203C02.AKOR,AAA72940318,Accessory Assembly,1.0
AET73831405,서브ASSY,PQ091503C01.AKOR,AAA72940318,Accessory Assembly,1.0
AET73831406,서브ASSY,AET73831406,AAA72940319,Accessory Assembly,1.0
AET73831407,서브ASSY,AET73831407,AAA72940321,Accessory Assembly,1.0
AET73831410,서브ASSY,AET73831410,AAA72940320,Accessory Assembly,1.0
AET73831411,서브ASSY,AET73831411,AAA72940321,Accessory Assembly,1.0
AET73831419,서브ASSY,AET73831419,AAA72940317,Accessory Assembly,1.0
AET73831429,서브ASSY,"Install Part Assembly, Set",AAA72940317,Accessory Assembly,1.0
AET73831438,서브ASSY,Install Part Assembly Set,AAA72940317,Accessory Assembly,1.0
AET73831439,서브ASSY,"Install Part Assembly, Set",AAA72940317,Accessory Assembly,1.0
AET73831440,서브ASSY,AET73831440,AAA72940317,Accessory Assembly,1.0
AET73831441,서브ASSY,"Install Part Assembly, Set",AAA72940317,Accessory Assembly,1.0
AET73831442,서브ASSY,"Install Part Assembly, Set",AAA72940319,Accessory Assembly,1.0
AET73831443,서브ASSY,"Install Part Assembly, Set",AAA72940319,Accessory Assembly,1.0
AET73831444,서브ASSY,AET73831444,AAA72940319,Accessory Assembly,1.0
AET73831449,서브ASSY,"Install Part Assembly,Set",AAA72940321,Accessory Assembly,1.0
AET73831456,서브ASSY,"Install Part Assembly,Set",AAA72940320,Accessory Assembly,1.0
AET73831464,서브ASSY,"Install Part Assembly,Set",AAA31179501,이지링크 1/4(Ø6.35),1.0
AET73831464,서브ASSY,"Install Part Assembly,Set",AAA31179503,이지링크 1/2(Ø12.7),1.0
AET73831464,서브ASSY,"Install Part Assembly,Set",AAA72940317,Accessory Assembly,1.0
AET73831465,서브ASSY,Install Part Assembly Set,AAA31179501,이지링크 1/4(Ø6.35),1.0
AET73831465,서브ASSY,Install Part Assembly Set,AAA31179504,이지링크 5/8(Ø15.88),1.0
AET73831465,서브ASSY,Install Part Assembly Set,AAA72940317,Accessory Assembly,1.0
AET73831466,서브ASSY,"Install Part Assembly,Set",AAA31179501,이지링크 1/4(Ø6.35),1.0
AET73831466,서브ASSY,"Install Part Assembly,Set",AAA31179502,이지링크 3/8(Ø9.52),1.0
AET73831466,서브ASSY,"Install Part Assembly,Set",AAA72940319,Accessory Assembly,1.0
AET73831467,서브ASSY,"Install Part Assembly, Set",AAA72940319,Accessory Assembly,1.0
AET73831468,서브ASSY,"Install Part Assembly, Set",AAA72940319,Accessory Assembly,1.0
AET73831475,서브ASSY,"Install Part Assembly,Set",AAA72940319,Accessory Assembly,1.0
AET73831477,서브ASSY,"Install Part Assembly, Set",AAA31179501,이지링크 1/4(Ø6.35),1.0
AET73831477,서브ASSY,"Install Part Assembly, Set",AAA31179502,이지링크 3/8(Ø9.52),1.0
AET73831477,서브ASSY,"Install Part Assembly, Set",AAA72940319,Accessory Assembly,1.0
AET73831478,서브ASSY,"Install Part Assembly, Set",AAA31179501,이지링크 1/4(Ø6.35),1.0
AET73831478,서브ASSY,"Install Part Assembly, Set",AAA31179503,이지링크 1/2(Ø12.7),1.0
AET73831478,서브ASSY,"Install Part Assembly, Set",AAA72940317,Accessory Assembly,1.0
AET73831479,서브ASSY,"Install Part Assembly, Set",AAA31179501,이지링크 1/4(Ø6.35),1.0
AET73831479,서브ASSY,"Install Part Assembly, Set",AAA31179504,이지링크 5/8(Ø15.88),1.0
AET73831479,서브ASSY,"Install Part Assembly, Set",AAA72940317,Accessory Assembly,1.0
AET73831480,서브ASSY,"Install Part Assembly, Set",AAA72940317,Accessory Assembly,1.0
AET73831481,서브ASSY,"Install Part Assembly, Set",AAA72940319,Accessory Assembly,1.0
AGF04226601,완제품,"Package Assembly,C/SKD",AJR30120801,"Tube Assembly, Manifold(Indoor)",1.0
AGF04226602,완제품,"Package Assembly,C/SKD",AJR30120401,"Tube Assembly, Manifold(Outdoor)",1.0
AGF04226603,완제품,"Package Assembly, C/SKD",AJR76562819,STS Manifold,1.0
AGF30058404,완제품,"Package Assembly,C/SKD ",MAA63804601,Accumulator,1.0
AGF30430301,완제품,"Package Assembly, C/SKD",AJR72931317,9.52*5m (양쪽막음캡),1.0
AGF30430302,완제품,"Package Assembly, C/SKD",AJR72931318,15.88*5m (양쪽막음캡),1.0
AGF30430303,완제품,"Package Assembly, C/SKD",AJR72931319,19.05*5m (양쪽막음캡),1.0
AGF30444802,완제품,"Package Assembly, C/SKD",5210A21458T,Accumulator,1.0
AGF30444804,완제품,"Package Assembly, C/SKD",4848A20005L,Accumulator,1.0
AJJ32486326,완제품,Supporter Assembly,AJR73968603,"Tube Assembly,Condenser(Out)",1.0
AJJ73898602,완제품,Supporter Assembly,AJR52737614,"Tube Assembly,Suction(Outdoor)",1.0
AJJ73898612,완제품,Supporter Assembly,AJR52737618,"Tube Assembly,Suction(Outdoor)",1.0
AJJ75358401,완제품,Supporter Assembly,AJR74803512,사내 고압부 SUB,1.0
AJJ75358404,완제품,Supporter Assembly,AJR74803512,사내 고압부 SUB,1.0
AJJ75358426,완제품,Supporter Assembly,AJR74803522,사내 SUB,1.0
