ASSY품번(서브분류됨),품명,상위LG제품,상위LG매출수량(25/01~),상위최근출고
MJU63509811,"Tube,Connector",AJR74263316,22565.0,260814
MJU63612901,"Tube,Capillary Bending",AJR74823001,910.0,260814
MJU63612902,"Tube,Capillary Bending",AJR74823001,910.0,260814
MJU63612903,"Tube,Capillary Bending",AJR74823001,910.0,260814
MJU63612904,"Tube,Capillary Bending",AJR74823001,910.0,260814
MJU63612905,"Tube,Capillary Bending",AJR74823001,910.0,260814
MJU63612906,"Tube,Capillary Bending",AJR74823001,910.0,260814
MJU63618001,"Tube,Connector",AJR76703612,2611.0,260812
MJU63618002,"Tube,Connector",AJR74365205,20.0,260617
MJU63650904,Tube Connector,AJR71433341,58.0,260626
MJU63650905,"Tube,Connector",AJR75104018,84.0,250617
MJU63651009,Tube Connector,AJR76523011,548.0,260210
MJU63706901,"Tube,Connector",AJR74482401,48597.0,260810
MJU63732901,"Tube,Connector",AJR74524701,2646.0,260811
MJU63751201,"Tube,Connector",AJR74365101,35.0,250918
MJU63751301,"Tube,Connector",AJR74365101,35.0,250918
MJU63751401,"Tube,Connector",AJR74365101,35.0,250918
MJU63751501,"Tube,Connector",AJR74365101,35.0,250918
MJU63751601,"Tube,Connector",AJR74365101,35.0,250918
MJU63751701,"Tube,Connector",AJR74365101,35.0,250918
MJU63751801,"Tube,Connector",AJR74365101,35.0,250918
MJU63751901,"Tube,Connector",AJR74365101,35.0,250918
MJU63752001,"Tube,Connector",AJR74365101,35.0,250918
MJU63752101,"Tube,Connector",AJR74365101,35.0,250918
MJU63752201,"Tube,Connector",AJR74365101,35.0,250918
MJU63752301,"Tube,Connector",AJR74365101,35.0,250918
MJU63752401,"Tube,Connector",AJR74365101,35.0,250918
MJU63772601,"Tube,Capillary Bending",AJR73767304,90.0,260512
MJU63772602,"Tube Capillary,Bending",AJR74488604,90.0,260408
MJU63787901,"Tube,Connector",AJR74524701,2646.0,260811
MJU63788601,"Tube,Connector",AJR74524701,2646.0,260811
MJU64032301,Tube Connector,AJJ73898612,15.0,250910
MJU64189801,"TUBE, CONNECTOR",AJR30087401,558.0,260727
MJU64227001,"Tube,Capillary",AJR74823001,910.0,260814
MJU64227002,"Tube,Capillary",AJR74823001,910.0,260814
MJU64307307,Tube Capillary,AJR75062906,19419.0,260813
MJU64307308,Tube Capillary,AJR75062906,19419.0,260813
MJU64307309,Tube Capillary,AJR75062906,19419.0,260813
MJU64307310,Tube Capillary,AJR75062906,19419.0,260813
MJU64307311,Tube Capillary,AJR75062906,19419.0,260813
MJU64307312,Tube Capillary,AJR75062906,19419.0,260813
MJU64307313,Tube Capillary,AJR75062906,19419.0,260813
MJU64307314,Tube Capillary,AJR75062906,19419.0,260813
MJU64307315,Tube Capillary,AJR75062906,19419.0,260813
MJU64307316,Tube Capillary,AJR75062906,19419.0,260813
MJU64307317,Tube Capillary,AJR75062907,6543.0,260814
MJU64307318,Tube Capillary,AJR75062907,6543.0,260814
MJU64307319,Tube Capillary,AJR75062907,6543.0,260814
MJU64307320,Tube Capillary,AJR75062907,6543.0,260814
MJU64307321,Tube Capillary,AJR75062907,6543.0,260814
MJU64307322,Tube Capillary,AJR75062907,6543.0,260814
MJU64329001,"Tube,Capillary Bending",AJR75104701,303.0,260616
MJU64329002,"Tube,Capillary Bending",AJR75104701,303.0,260616
MJU64329003,"Tube,Capillary Bending",AJR75104701,303.0,260616
MJU64329004,"Tube,Capillary Bending",AJR75104701,303.0,260616
MJU64329005,"Tube,Capillary Bending",AJR75104701,303.0,260616
MJU64329006,"Tube,Capillary Bending",AJR75104701,303.0,260616
MJU64329007,"Tube,Capillary Bending",AJR75104701,303.0,260616
MJU64329008,"Tube,Capillary Bending",AJR75104701,303.0,260616
MJU64671101+용접링,Connector+용접링,AJR30007103,5233.0,260812
MJU64671102+용접링,Connector+용접링,AJR30007103,5233.0,260812
MJU64671103+용접링,Connector+용접링,AJR30007103,5233.0,260812
MJU64671104+용접링,Connector+용접링,AJR30007103,5233.0,260812
MJU64671105+용접링,Connector+용접링,AJR30007103,5233.0,260812
MJU64671109+용접링,Connector+용접링,AJR30007103,5233.0,260812
MJU64671113+용접링,Connector+용접링,AJR77225303,10128.0,260724
MJU64671114+용접링,Connector+용접링,AJR77225303,10128.0,260724
MJU64671115+용접링,Connector+용접링,AJR77225303,10128.0,260724
MJU64671116+용접링,Connector+용접링,AJR77225303,10128.0,260724
MJU64671117+용접링,Connector+용접링,AJR77225303,10128.0,260724
MJU64671118+용접링,Connector+용접링,AJR77225303,10128.0,260724
MJU64671119+용접링,중앙 SUB,AJR77225304,2644.0,260813
MJU64794001,"TUBE, CONNECTOR",AJR75563501,7.0,260629
MJU64794401,"TUBE, CONNECTOR",AJR75563501,7.0,260629
MJU64794402,"Tube,Connector",AJR75563502,130.0,260629
MJU64809907,"Tube,Connector",AJR75563701,1938.0,260813
MJU64809908,"Tube,Connector",AJR75563701,1938.0,260813
MJU64809909,"Tube,Connector",AJR75563701,1938.0,260813
MJU64809910,"Tube,Connector",AJR75563701,1938.0,260813
MJU64809911,"Tube,Connector",AJR75563701,1938.0,260813
MJU64856701,"Tube,Connector",AJR75645201,2849.0,260813
MJU64857301,"Tube,Connector",AJR75645201,2849.0,260813
MJU64857401,"Tube,Connector",AJR75645201,2849.0,260813
MJU64857501,"Tube,Connector",AJR75645201,2849.0,260813
MJU64857601,"Tube,Connector",AJR75645201,2849.0,260813
MJU64857701,"Tube,Connector",AJR75645201,2849.0,260813
MJU64870703,Tube Capillary Bending,AJR30033101,87.0,260723
MJU64874301,"Tube,Connector",5211A10305T,15.0,260203
MJU64874302,"Tube,Connector",5211A10305T,15.0,260203
MJU64874303,"Tube,Connector",5211A10305T,15.0,260203
MJU64874304,"Tube,Connector",5211A10305T,15.0,260203
MJU64874305,"Tube,Connector",5211A10305T,15.0,260203
MJU64906401,"Tube,Connector",AJR75645201,2849.0,260813
MJU64906501,"Tube,Connector",AJR75645201,2849.0,260813
MJU64906601,"Tube,Connector",AJR75645201,2849.0,260813
MJU64906701,"Tube,Connector",AJR75645201,2849.0,260813
MJU64906901,"Tube,Connector",AJR75645201,2849.0,260813
MJU64914701,"Tube,Connector",AJR75705901,31.0,260710
MJU64921201,"Tube,Capillary Bending",AJR75563502,130.0,260629
MJU65009101,"Tube,Connector",AJR75786301,11659.0,260813
MJU65009102,"Tube,Connector",AJR75786301,11659.0,260813
MJU65009103,"Tube,Connector",AJR75786301,11659.0,260813
MJU65009104,"Tube,Connector",AJR75786301,11659.0,260813
MJU65026412,Body(9.52)+MJU65026411,AJR36618620,2758.0,260709
MJU65026413,동도금+동Distributor,AJR30060805,20168.0,260729
MJU65030903,"Tube,Connector",AJR75563702,51.0,260729
MJU65030904,"Tube,Connector",AJR75563702,51.0,260729
MJU65030905,"Tube,Connector",AJR75563702,51.0,260729
MJU65030906,"Tube,Connector",AJR75563702,51.0,260729
MJU65030907,"Tube,Connector",AJR75563702,51.0,260729
MJU65030908,"Tube,Connector",AJR75563702,51.0,260729
MJU65030909,"Tube,Connector",AJR75563702,51.0,260729
MJU65030910,"Tube,Connector",AJR75563702,51.0,260729
MJU65030911,"Tube,Connector",AJR75563702,51.0,260729
MJU65030912,"Tube,Connector",AJR75563702,51.0,260729
MJU65030913,"Tube,Connector",AJR75563702,51.0,260729
MJU65512602,"Tube,Manifold",AJR77182802,1683.0,260723
MJU65517901+용접링,Connector+용접링,AJR77263005,3625.0,260223
MJU65517902+용접링,Connector+용접링,AJR77263005,3625.0,260223
MJU65517903+용접링,Connector+용접링,AJR77263005,3625.0,260223
MJU65517904+용접링,Connector+용접링,AJR77263005,3625.0,260223
MJU65517905+용접링,Connector+용접링,AJR77263005,3625.0,260223
MJU65517906+용접링,Connector+용접링,AJR77263005,3625.0,260223
MJU65517908+용접링,Connector+용접링,AJR77263005,3625.0,260223
MJU65517909+용접링,Connector+용접링,AJR77263005,3625.0,260223
MJU65517911+용접링,Connector+용접링,AJR77263005,3625.0,260223
MJU65517912+용접링,Connector+용접링,AJR77263005,3625.0,260223
MJU65517913+용접링,Connector+용접링,AJR77263003,249.0,260814
MJU65517914+용접링,sub,AJR77263007,21896.0,260812
MJU65517915+용접링,sub,AJR77263007,21896.0,260812
MJU65517916+용접링,Tube Connector,AJR77263007,21896.0,260812
MJU65517917+용접링,Tube Connector,AJR77263007,21896.0,260812
MJU65517918+용접링,Tube Connector,AJR77263007,21896.0,260812
MJU65517919+용접링,Tube Connector,AJR77263007,21896.0,260812
MJU65517921+용접링,Tube Connector,AJR77263007,21896.0,260812
MJU65517922+용접링,Tube Connector,AJR77263007,21896.0,260812
MJU65517924+용접링,Tube Connector,AJR77263007,21896.0,260812
MJU65517925+용접링,Tube Connector,AJR77263007,21896.0,260812
MJU65666830,Tube Connector,AJR76462903,60.0,260422
MJU66366803,Tube Connector,AJR77163102,2858.0,260813
MJU66467102,"Tube,Manifold",AJR77182902,1686.0,260723
MJU66471701+용접링,Connector+용접링,AJR77263001,15.0,250326
MJU66471702+용접링,Connector+용접링,AJR77263001,15.0,250326
MJU66471705+용접링,Connector+용접링,AJR77263001,15.0,250326
MJU66471707+용접링,Connector+용접링,AJR77263001,15.0,250326
MJU66500702,"Tube,Manifold",AJR77170902,566.0,260723
MJU66502904+용접링,Connector+용접링,AJR77263009,7401.0,260416
MJU66502905+용접링,Connector+용접링,AJR77263009,7401.0,260416
MJU66502907+용접링,Connector+용접링,AJR77263009,7401.0,260416
MJU66502908+용접링,Connector+용접링,AJR77263009,7401.0,260416
MJU66503001+용접링,Connector+용접링,AJR77263001,15.0,250326
MJU66547301,"Tube,Connector",AJR76823101,486.0,251125
MJU66548701,"Tube,Connector",AJR77243801,10.0,260722
MJU66571302+용접링,Connector+용접링,AJR30007103,5233.0,260812
MJU66571303+용접링,Connector+용접링,AJR77224901,395.0,250310
MJU66571305+용접링,Connector+용접링,AJR30007103,5233.0,260812
MJU66571306+용접링,Connector+용접링,AJR30007103,5233.0,260812
MJU66571308+용접링,Connector+용접링,AJR77225303,10128.0,260724
MJU66571310+용접링,Connector+용접링,AJR77225303,10128.0,260724
MJU66571311+용접링,Connector+용접링,AJR77225303,10128.0,260724
MJU66803006,"Tube,Connector",AJR30028405,264.0,260202
MJU66803009,"Tube,Connector",AJR30028411,2270.0,260317
MJU66803015,"Tube,Connector",AJR30028409,264.0,260202
MJU66803017,Hole 작업,AJR75802613,2269.0,260317
MJU66803018,"Tube,Connector",AJR30028411,2270.0,260317
MJU66824401,Tube Connector,AJR30038101,1360.0,260810
MJU66824402,Tube Connector,AJR30038101,1360.0,260810
MJU66824403,Tube Connector,AJR30038101,1360.0,260810
MJU66824404,Tube Connector,AJR30038101,1360.0,260810
MJU66824405,Tube Connector,AJR30038101,1360.0,260810
MJU66824406,Tube Connector,AJR30038101,1360.0,260810
MJU66824407,Tube Connector,AJR30038101,1360.0,260810
MJU66824408,Tube Connector,AJR30038101,1360.0,260810
MJU66824409,Tube Connector,AJR30038101,1360.0,260810
MJU66824410,Tube Connector,AJR30038101,1360.0,260810
MJU66824411,Tube Connector,AJR30038101,1360.0,260810
MJU66824412,Tube Connector,AJR30038101,1360.0,260810
MJU66825001,Tube Connector,AJR30038301,1362.0,260810
MJU66825002,Tube Connector,AJR30038301,1362.0,260810
MJU66825003,Tube Connector,AJR30038301,1362.0,260810
MJU66825004,Tube Connector,AJR30038301,1362.0,260810
MJU66825005,Tube Connector,AJR30038301,1362.0,260810
MJU66825006,Tube Connector,AJR30038301,1362.0,260810
MJU66845511,Tube Connector,AJR77142502,3994.0,260814
MJU66845512,Tube Connector,AJR77142502,3994.0,260814
MJU66845513,Tube Connector,AJR77142502,3994.0,260814
MJU66954402,"Tube, Connector ",ACQ30605001,137.0,260727
MJU66954403,"Tube, Connector ",ACQ30605001,137.0,260727
MJU66998701,"Tube, Capillary",AJR30103101,205.0,250922
MJU66998702,"Tube, Capillary",AJR30103101,205.0,250922
MJU66998703,"Tube, Connector",AJR30103102,79.0,250312
MJU66998704,"Tube, Connector",AJR30103102,79.0,250312
