협력사,품번,Assy,외경,담당자협의두께,우리견적두께,BOM_ITEM_THICK,차액(담당-우리),차액>0.05
대원산업,5210A23089A,AJJ76418703,6.35,0.7,0.65,0.7,0.05,
대원산업,5210A23089D,AJJ76418722,6.35,0.7,0.65,0.7,0.05,
미래정밀,MJU64868533,AJR74803512-4-1,6.35,0.7,0.65,0.7,0.05,
미래정밀,5210A23089A,AJR76522501,6.35,0.7,0.65,0.7,0.05,
미래정밀,5210A31939A,AJR34739807,6.35,0.7,0.65,0.7,0.05,
이젠터,5210A23089A,AJR73326623,6.35,0.7,0.65,0.7,0.05,
이젠터,5210A31939A,AJR75022402,6.35,0.7,0.65,0.7,0.05,
이젠터,MJU66999401,"AJR30103401,02",6.35,0.7,0.65,0.7,0.05,
이젠터,4H00049C,AJR30078701,6.35,0.7,0.65,0.7,0.05,
케이비,MJU64431914,샘플 AJR75242815,4.76,0.7,0.65,0.7,0.05,
케이비,MJU64431915,샘플 AJR75242815,4.76,0.7,0.65,0.7,0.05,
케이비,MJU64431916,샘플 AJR75242815,4.76,0.7,0.65,0.7,0.05,
