품번,품명,소분류,종류,협력사,입고수량,입고일수
AJR30140102-AL-1,Sub,120,SUB,ECOLINK(중신),5,1
EAP00689102,"Coil Module,Gear Expansi",310,매입,LT정밀,60,1
MJX30151802,"Valve,Gear Expansion",310,매입,LT정밀,60,1
4848A20005A,Accumulator,230,SUB-ASS,MTS,260,26
4848A20005L,Accumulator,230,SUB-ASS,MTS,5054,29
4848A20005X,ACCUM,230,SUB-ASS,MTS,75,12
4848A20007H,ACCUM,230,SUB-ASS,MTS,2,1
4848A20007K,Accumulator,230,SUB-ASS,MTS,6,1
4848A20007P,Accumulator,230,SUB-ASS,MTS,461,17
4849A10003J,"Pan,Oil",110,ASSY,MTS,10,4
4849A10047A,Accumulator Assembly,110,ASSY,MTS,90,3
4849A10047B,Accumulator Assembly,110,ASSY,MTS,30,1
4A00232N,Muffler,230,SUB-ASS,MTS,60,3
5210A21458T,Accumulator,230,SUB-ASS,MTS,5532,21
5256A30003G,Muffler,230,SUB-ASS,MTS,1600,7
5998A20002A,"Oil, Separator",130,단품(가공품),MTS,26,3
5998A20002L,"Separator,Oil",230,SUB-ASS,MTS,5898,14
5998A20002Q,"Separator, Oil",230,SUB-ASS,MTS,2585,51
AAB35754002,Accumulator,230,SUB-ASS,MTS,1341,30
AAB73250401,Accumulator Assembly,120,SUB,MTS,574,25
AAB73390401,Accumulator Assembly,230,SUB-ASS,MTS,6,1
AFY73689501,AFY73689501,120,SUB,MTS,3,1
AFY73689504,Muffler Assy,230,SUB-ASS,MTS,139,2
AFY73689511,MTS SUB,120,SUB,MTS,6,1
AFY73769504,Muffler Assembly,230,SUB-ASS,MTS,15,3
AFY74109506,Muffler Assembly,110,ASSY,MTS,1970,11
AJR71429331,"Tube Assembly,Suction",120,SUB,MTS,5,1
AJR71429341-7-1,MTS SUB,120,SUB,MTS,3567,36
AJR71429343,"Tube Assembly,Suction",120,SUB,MTS,3413,29
AJR73944505-7-1,AJR73944509-7-1 동일,120,SUB,MTS,450,12
AJR73944506-7-1,MTS SUB,120,SUB,MTS,121,15
AJR73973707,"Tube Assembly,Discharge(",110,ASSY,MTS,1275,24
AJR74424615-7-1,SUB ASSY,120,SUB,MTS,1072,17
AJR75102405-7-1,MTS SUB ASSY,120,SUB,MTS,10,1
AJR75244301,"Tube Assembly,Suction(Ou",120,SUB,MTS,6,2
AJR75625401-7-1,AJR75625401-7-1,120,SUB,MTS,29,1
AJR75711901-7-1,AJR75711901-7-1,120,SUB,MTS,38,12
AJR77167310-7-1,MTS SUB,120,SUB,MTS,12,1
AJR77223101,"Tube Assembly,Discharge",120,SUB,MTS,3,1
AJR77223102,"Tube Assembly,Discharge",120,SUB,MTS,417,7
MAA63804601,Accumulator,230,SUB-ASS,MTS,2924,66
MAA63804701,Accumulator,230,SUB-ASS,MTS,5,1
MAZ61974302,BRACKET,230,SUB-ASS,MTS,330,2
MAZ62144002,BRACKET,230,SUB-ASS,MTS,265,2
MHH41401201,OIL SEPARATOR,230,SUB-ASS,MTS,1152,61
MHH61981504,"Separator,Oil",110,ASSY,MTS,454,12
MHH61981504-7-1,MHH61981504-7-1,230,SUB-ASS,MTS,4578,81
MHH62041502,"Separator,Oil",230,SUB-ASS,MTS,5592,79
MHH62041507,"Oil, Separator",230,SUB-ASS,MTS,3558,84
5210A23089A,Tube Pinchoff,130,단품(가공품),대원산업,591,12
5210A23089D,"Tube,Pinch off",130,단품(가공품),대원산업,1844,24
5211A20459K-12-1,대원 SUB,120,SUB,대원산업,3688,16
ADM74930508-12-2,대원 SUB,120,SUB,대원산업,119,18
AJJ30041801,Supporter Assembly,110,ASSY,대원산업,563,44
AJJ30041802,Supporter Assembly,110,ASSY,대원산업,1402,52
AJJ30041901,Supporter Assembly,110,ASSY,대원산업,2152,39
AJJ30041902,Supporter Assembly,110,ASSY,대원산업,3257,53
AJJ75698803,Supporter Assembly,110,ASSY,대원산업,24,4
AJJ75698804,Supporter Assembly,110,ASSY,대원산업,585,23
AJJ75698806,Supporter Assembly,110,ASSY,대원산업,32,2
AJJ76418701,Supporter Assembly,110,ASSY,대원산업,1193,54
AJJ76418702,Supporter Assembly,110,ASSY,대원산업,1081,52
AJJ76418703,Supporter Assembly,110,ASSY,대원산업,1460,71
AJJ76418704,Supporter Assembly,110,ASSY,대원산업,683,36
AJJ76418705,Supporter Assembly,110,ASSY,대원산업,2773,88
AJJ76418706,Supporter Assembly,110,ASSY,대원산업,591,56
AJJ76418707,Supporter Assembly,110,ASSY,대원산업,99,14
AJJ76418720,Supporter Assembly,110,ASSY,대원산업,40,11
AJJ76418721,Supporter Assembly,110,ASSY,대원산업,147,29
AJJ76418722,Supporter Assembly,110,ASSY,대원산업,2197,64
AJJ76418723,Supporter Assembly,110,ASSY,대원산업,4005,81
AJJ76418724,Supporter Assembly,110,ASSY,대원산업,3883,61
AJJ76418725,Supporter Assembly,110,ASSY,대원산업,3883,69
AJJ76418727,Supporter Assembly,110,ASSY,대원산업,954,46
AJJ76418728,Supporter Assembly,110,ASSY,대원산업,1903,48
AJJ76418729,Supporter Assembly,110,ASSY,대원산업,3264,48
AJJ76559001,Supporter Assembly,110,ASSY,대원산업,218,32
AJJ76559002,Supporter Assembly,110,ASSY,대원산업,160,23
AJJ76559003,Supporter Assembly,110,ASSY,대원산업,652,44
AJJ76559004,Supporter Assembly,110,ASSY,대원산업,2857,94
AJJ76559005,Supporter Assembly,110,ASSY,대원산업,579,50
AJJ76559006,Supporter Assembly,110,ASSY,대원산업,2133,56
AJJ76559007,Supporter Assembly,110,ASSY,대원산업,67,10
AJJ76559008,Supporter Assembly,110,ASSY,대원산업,612,52
AJJ76559009,Supporter Assembly,110,ASSY,대원산업,626,46
AJJ76559010,Supporter Assembly,110,ASSY,대원산업,697,47
AJJ76559011,Supporter Assembly,110,ASSY,대원산업,150,9
AJJ76559012,Supporter Assembly,110,ASSY,대원산업,176,20
AJJ76559013,Supporter Assembly,110,ASSY,대원산업,299,22
AJJ76559014,Supporter Assembly,110,ASSY,대원산업,440,24
AJJ76559015,Supporter Assembly,110,ASSY,대원산업,267,23
AJJ76559016,Supporter Assembly,110,ASSY,대원산업,576,32
AJJ76559017,Supporter Assembly,110,ASSY,대원산업,912,39
AJJ76559102,Supporter Assembly,110,ASSY,대원산업,7,3
AJJ76559103,Supporter Assembly,110,ASSY,대원산업,122,18
AJJ76559106,Supporter Assembly,110,ASSY,대원산업,210,23
AJJ76617501,Supporter Assembly,110,ASSY,대원산업,809,33
AJJ76617502,Supporter Assembly,110,ASSY,대원산업,698,26
AJR30003301,"Tube Assembly, Conedense",110,ASSY,대원산업,1,1
AJR30012008-9-1,대원 SUB,120,SUB,대원산업,2280,74
AJR30027701-12-1,대원 SUB,120,SUB,대원산업,2066,68
AJR30027701-12-2,대원 SUB(01/05작업 공용),120,SUB,대원산업,2298,80
AJR30027701-12-3,대원 SUB(01/05작업 공용),120,SUB,대원산업,2298,80
AJR30027702-12-1,대원 SUB,120,SUB,대원산업,3615,95
AJR30027703-12-3,대원 SUB(03/07작업 공용),120,SUB,대원산업,3782,88
AJR30027704-12-1,대원 SUB,120,SUB,대원산업,877,59
AJR30027705-12-1,대원 SUB,120,SUB,대원산업,232,19
AJR30038201-12-1,대원 SUB,120,SUB,대원산업,1460,31
AJR30038201-12-2,대원 SUB,120,SUB,대원산업,730,31
AJR30038201-12-3,대원 SUB,120,SUB,대원산업,730,31
AJR30038201-12-4,대원 SUB,120,SUB,대원산업,730,31
AJR30038201-12-5,대원 SUB,120,SUB,대원산업,365,31
AJR30069801-12-1,대원 SUB,120,SUB,대원산업,73,11
AJR30073601-12-1,대원SUB,120,SUB,대원산업,1279,3
AJR30077403-12-1,대원 SUB,120,SUB,대원산업,11000,13
AJR30077901-12-1,대원 SUB,110,ASSY,대원산업,4004,3
AJR30078601-12-1,대원 SUB,120,SUB,대원산업,6797,67
AJR30078601-12-2,대원 SUB,120,SUB,대원산업,6797,67
AJR30078601-12-3,대원 SUB,120,SUB,대원산업,6797,67
AJR30117401-12-1,대원 SUB,120,SUB,대원산업,4542,65
AJR30117401-12-2,대원 SUB,120,SUB,대원산업,31794,65
AJR30133603-12-1,대원 sub,120,SUB,대원산업,417,12
AJR30133604-12-1,대원 SUB,120,SUB,대원산업,394,6
AJR68019502-12-1,대원 SUB,120,SUB,대원산업,97,5
AJR72982301,"Tube Assembly,Manifold(I",110,ASSY,대원산업,10336,113
AJR72982303-12-1,대원산업 Sub,110,ASSY,대원산업,183,7
AJR73768803,"Tube Assembly,Condenser(",110,ASSY,대원산업,5,1
AJR74522901-12-1,대원 SUB,120,SUB,대원산업,4579,74
AJR74523001-12-1,대원 SUB,120,SUB,대원산업,4579,74
AJR74523003-12-1,대원 SUB,120,SUB,대원산업,1004,21
AJR74523006-12-1,대원 SUB,120,SUB,대원산업,2775,59
AJR74942623-12-1,대원 SUB,120,SUB,대원산업,35,3
AJR74942632-12-1,대원 SUB,120,SUB,대원산업,70,4
AJR74983904-12-1,대원 SUB,120,SUB,대원산업,18,2
AJR74983904-12-2,대원 SUB,120,SUB,대원산업,23,3
AJR74983904-12-3,대원 SUB,120,SUB,대원산업,23,3
AJR74983905-12-1,대원 SUB,120,SUB,대원산업,42,4
AJR74983905-12-2,대원 SUB,120,SUB,대원산업,42,4
AJR74983905-12-3,대원 SUB,120,SUB,대원산업,32,3
AJR74983905-12-4,대원 SUB,120,SUB,대원산업,42,4
AJR74983906-12-1,대원 SUB,120,SUB,대원산업,10,1
AJR74983910-12-1,대원 SUB,120,SUB,대원산업,5,1
AJR75242815-12-1,대원 Sub,120,SUB,대원산업,250,4
AJR75544505-12-1,대원 SUB,120,SUB,대원산업,41,8
AJR75563501-12-1,대원 SUB,120,SUB,대원산업,12,2
AJR75563502-12-1,대원 SUB/태국 Sub,120,SUB,대원산업,40,1
AJR75563502-12-2,대원 SUB/태국 Sub,120,SUB,대원산업,40,1
AJR75605101,"Tube Assembly,Connector",110,ASSY,대원산업,130,3
AJR75605102,"Tube Assembly,Connector",110,ASSY,대원산업,77,4
AJR75605104,"Tube Assembly,Connector",110,ASSY,대원산업,839,9
AJR75662310-12-1,AJR75662310-12-1,120,SUB,대원산업,10,1
AJR75662343,"Tube Assembly,Discharge(",110,ASSY,대원산업,6471,29
AJR75744140-12-1,대원 SUB,120,SUB,대원산업,3619,12
AJR76322601-12-1,SUB ASSY,120,SUB,대원산업,10,2
AJR76362801,"Tube Assembly,Connector",110,ASSY,대원산업,849,22
AJR76462607,ADM73210506 SUB(대원직납),120,SUB,대원산업,103,19
AJR76462608,ADM73210506 SUB(대원직납),120,SUB,대원산업,103,19
AJR76462611,ADM74930502 SUB(대원직납),120,SUB,대원산업,16,7
AJR76462634-12-1,대원 SUB,120,SUB,대원산업,16,3
AJR76982501-12-1,대원 SUB,120,SUB,대원산업,41,8
AJR77224002-12-1,대원 SUB,120,SUB,대원산업,736,8
AJR77224501-12-1,대원 SUB,120,SUB,대원산업,15570,125
AJR77224501-12-2,대원 SUB,120,SUB,대원산업,9546,119
AJR77224519-12-1,대원 sub,120,SUB,대원산업,6024,101
MJU00743201,"Tube,Connector",130,단품(가공품),대원산업,1070,25
MJU00777204,"Tube,Connector",130,단품(가공품),대원산업,1468,54
MJU00777206,"Tube,Connector",130,단품(가공품),대원산업,1468,54
MJU00777211,"Tube,Connector",130,단품(가공품),대원산업,898,38
MJU30589201,Tube Connector,130,단품(가공품),대원산업,5,1
MJU42282703,"TUBE, CONNECTOR",130,단품(가공품),대원산업,5,1
MJU61942802,"Tube,Connector",130,단품(가공품),대원산업,1014,69
MJU61986601,"Tube,Connector",130,단품(가공품),대원산업,45,1
MJU61986701,"Tube,Connector",130,단품(가공품),대원산업,225,1
MJU61986801,"Tube,Connector",130,단품(가공품),대원산업,30,1
MJU63297801,"Tube,Connector",130,단품(가공품),대원산업,3,1
MJU63297802,"Tube,Connector",130,단품(가공품),대원산업,6,1
MJU63297803,"Tube,Connector",130,단품(가공품),대원산업,3,1
MJU63297804,"Tube, Connector",130,단품(가공품),대원산업,3,1
MJU63436501,"Tube,Conncetor",130,단품(가공품),대원산업,760,60
MJU63648301,"Tube,Connector",130,단품(가공품),대원산업,8760,33
MJU63648302,"Tube,Connector",130,단품(가공품),대원산업,795,33
MJU63648303,"Tube,Connector",130,단품(가공품),대원산업,2364,32
MJU63648304,"Tube,Connector",130,단품(가공품),대원산업,3969,33
MJU64963001,"Tube,Connector",130,단품(가공품),대원산업,40,1
MJU64987004,"Tube,Connector",130,단품(가공품),대원산업,3,1
MJU65048401,"Tube,Connector",130,단품(가공품),대원산업,476,6
MJU65149402,"Tube,Connector",130,단품(가공품),대원산업,6,2
MJU65587701,"Tube,Connector",130,단품(가공품),대원산업,270,7
MJU65587801,Tube Connector,130,단품(가공품),대원산업,270,7
MJU65587802,Tube Connector,130,단품(가공품),대원산업,270,7
MJU65626403,Tube Connector,130,단품(가공품),대원산업,10,2
MJU65626509,TUbe Connector,130,단품(가공품),대원산업,10,2
MJU65707415,Tube Connector,130,단품(가공품),대원산업,10,2
MJU65707425,Tube Connector,130,단품(가공품),대원산업,16,2
MJU66266606,Tube Connector,130,단품(가공품),대원산업,41,8
MJU66478501,Tube Connector,130,단품(가공품),대원산업,5692,67
MJU66507023,"Tube,Connector",130,단품(가공품),대원산업,840,23
MJU66773701,Tube Connector,130,단품(가공품),대원산업,1457,41
MJU66798704,Tube Connector,130,단품(가공품),대원산업,1494,42
MJU66801001,Tube Connector,130,단품(가공품),대원산업,3615,95
MJU66818901,"Tube,Connector",130,단품(가공품),대원산업,1264,66
MJU66824501,Tube Connector,130,단품(가공품),대원산업,365,31
MJU66829601,"Tube,Connector",130,단품(가공품),대원산업,1265,67
MJU66829701,"Tube,Connector",130,단품(가공품),대원산업,1264,66
MJU66930301,"Tube,Connector",130,단품(가공품),대원산업,5424,27
MJU66958401,"Tube,Connector",130,단품(가공품),대원산업,1070,25
4H00049A-1,Tube Pinchoff,130,단품(가공품),두진산업,2284,3
4H00049C,Tube Pinchoff,130,단품(가공품),두진산업,5075,2
4H00901F,"Tube,Pinch off",130,단품(가공품),두진산업,1000,1
5210A20539A,"TUBE, CONNECTOR",130,단품(가공품),두진산업,5,1
5210A20540A,"TUBE, CONNECTOR",130,단품(가공품),두진산업,25,1
5210A22950A,"Tube,Connector",130,단품(가공품),두진산업,362,9
5210A24677N,Tube Connector,130,단품(가공품),두진산업,3510,9
5210A30334M,"Tube,Pinch Off",130,단품(가공품),두진산업,583,14
5210A31001B,"Tube,Connector",130,단품(가공품),두진산업,40,2
MJU40306901,"TUBE, CONNECTOR",130,단품(가공품),두진산업,12,1
MJU40306902,"TUBE, CONNECTOR",130,단품(가공품),두진산업,12,1
MJU40306903,"TUBE, CONNECTOR",130,단품(가공품),두진산업,12,1
MJU40306907,"TUBE, CONNECTOR",130,단품(가공품),두진산업,12,1
MJU57152901,"Tube,Connector",130,단품(가공품),두진산업,1362,2
MJU61364501,"Tube,Connector",130,단품(가공품),두진산업,22,2
MJU61721601,"Tube,Connector",130,단품(가공품),두진산업,22,2
MJU61721701,"Tube,Connector",130,단품(가공품),두진산업,22,2
MJU61972902,"Tube,Connector",130,단품(가공품),두진산업,1424,9
MJU62989602,"Tube,Connector",130,단품(가공품),두진산업,101,3
MJU63032122,Tube Connector,130,단품(가공품),두진산업,669,1
MJU63126401,"Tube,Connector",130,단품(가공품),두진산업,20,3
MJU64093711,Tube Connector,130,단품(가공품),두진산업,344,2
MJU64226602,"Tube,Connector",130,단품(가공품),두진산업,1,1
MJU66526302,"Tube,Connector",130,단품(가공품),두진산업,11,2
MJU66526304,"Tube,Connector",130,단품(가공품),두진산업,11,2
MJU66567102,"Tube,Connector",130,단품(가공품),두진산업,330,3
MJU66567103,"Tube,Connector",130,단품(가공품),두진산업,330,3
MJU66567104,"Tube,Connector",130,단품(가공품),두진산업,330,3
MJU66567105,"Tube,Connector",130,단품(가공품),두진산업,330,3
MJU66570001,"Tube,Connector",130,단품(가공품),두진산업,2154,26
MJU66763501,Tube Connector,130,단품(가공품),두진산업,453,6
MJU66913901,Tube Connector,130,단품(가공품),두진산업,85,4
MJU66942401,Tube Connector,130,단품(가공품),두진산업,402,17
MJU67012502,"Tube, Connector",130,단품(가공품),두진산업,4220,7
MJU67012503,"Tube, Connector",130,단품(가공품),두진산업,1055,7
MJU67012504,"Tube, Connector",130,단품(가공품),두진산업,1055,7
MJU67012505,"Tube, Connector",130,단품(가공품),두진산업,1055,7
MJU67028008,"Tube, Connecotor",130,단품(가공품),두진산업,5530,8
MJU67028009,"Tube,Connector",130,단품(가공품),두진산업,395,8
MJU67028010,"Tube, Connector",130,단품(가공품),두진산업,395,8
MJU67028011,"Tube, Connector",130,단품(가공품),두진산업,395,8
MJU67028012,"Tube, Connector",130,단품(가공품),두진산업,395,8
5210A22526C,"Tube,Capillary Bending",130,단품(가공품),명진산업,15,3
5210A30994B,"Tube,Connector",130,단품(가공품),명진산업,70,4
5210A30994C,"Tube,Connector",130,단품(가공품),명진산업,70,4
5210A30994D,"Tube,Connector",130,단품(가공품),명진산업,70,4
5210A30994H,"TUBE, CONNECTOR",130,단품(가공품),명진산업,200,6
5210A30994J,"TUBE, CONNECTOR",130,단품(가공품),명진산업,200,6
5210A30994K,"TUBE, CONNECTOR",130,단품(가공품),명진산업,200,6
5210A30998B,"Tube,Connector",130,단품(가공품),명진산업,70,4
5210A30998C,"Tube,Connector",130,단품(가공품),명진산업,70,4
5210A30998F,"TUBE, CONNECTOR",130,단품(가공품),명진산업,200,6
5210A30998G,"TUBE, CONNECTOR",130,단품(가공품),명진산업,200,6
AGR30801601,"Pipe,Assembly",110 ASSY,110 ASSY,명진산업,4199,13
AGR30801602,Pipe Assembly,110,ASSY,명진산업,2791,10
AGR30801604,Pipe Assembly,110,ASSY,명진산업,123,1
AJR30060805-19-1,명진 SUB,120,SUB,명진산업,12075,32
AJR33796512-19-1,명진SUB,110,ASSY,명진산업,2087,43
AJR73782506,"Tube Assembly, Capillary",130,단품(가공품),명진산업,34,5
AJR73965601-19-1,명진Sub,120,SUB,명진산업,356,6
AJR73965601-19-10,명진Sub,110,ASSY,명진산업,356,6
AJR73965601-19-2,명진Sub,110,ASSY,명진산업,356,6
AJR73965601-19-3,명진Sub,110,ASSY,명진산업,356,6
AJR73965601-19-4,명진Sub,110,ASSY,명진산업,356,6
AJR73965601-19-5,명진Sub,110,ASSY,명진산업,356,6
AJR73965601-19-6,명진Sub,110,ASSY,명진산업,358,6
AJR73965601-19-7,명진Sub,110,ASSY,명진산업,356,6
AJR73965601-19-8,명진Sub,110,ASSY,명진산업,356,6
AJR73965601-19-9,명진Sub,110,ASSY,명진산업,356,6
AJR73965602-19-1,명진Sub,120,SUB,명진산업,375,5
AJR73965602-19-10,명진Sub,120,SUB,명진산업,375,5
AJR73965602-19-2,명진Sub,120,SUB,명진산업,375,5
AJR73965602-19-3,명진Sub,120,SUB,명진산업,375,5
AJR73965602-19-4,명진Sub,120,SUB,명진산업,375,5
AJR73965602-19-5,명진Sub,120,SUB,명진산업,375,5
AJR73965602-19-6,명진Sub,120,SUB,명진산업,375,5
AJR73965602-19-7,명진Sub,120,SUB,명진산업,375,5
AJR73965602-19-8,명진Sub,120,SUB,명진산업,375,5
AJR73965602-19-9,명진Sub,120,SUB,명진산업,375,5
AJR73965606-19-1,명진Sub,110,ASSY,명진산업,356,6
AJR73965606-19-2,명진Sub,110,ASSY,명진산업,356,6
AJR73965607-19-1,명진Sub,120,SUB,명진산업,375,5
AJR73965607-19-2,명진Sub,120,SUB,명진산업,375,5
AJR75645201-19-1,명진SUB,120,SUB,명진산업,992,25
AJR75645201-19-10,명진SIB,120,SUB,명진산업,992,25
AJR75645201-19-11,명진SUB,120,SUB,명진산업,992,25
AJR75645201-19-12,명진SUB,120,SUB,명진산업,992,25
AJR75645201-19-13,명진SUB,120,SUB,명진산업,992,25
AJR75645201-19-14,명진SUB,120,SUB,명진산업,992,25
AJR75645201-19-2,명진SUB,120,SUB,명진산업,992,25
AJR75645201-19-3,명진 SUB,120,SUB,명진산업,992,25
AJR75645201-19-4,명진SUB,120,SUB,명진산업,992,25
AJR75645201-19-5,명진SUB,120,SUB,명진산업,992,25
AJR75645201-19-6,명진SUB,120,SUB,명진산업,992,25
AJR75645201-19-7,명진SUB,120,SUB,명진산업,992,25
AJR75645201-19-8,명진SUB,120,SUB,명진산업,992,25
AJR75645201-19-9,명진 SUB,120,SUB,명진산업,992,25
AJR76264102-19-1,명진 SUB,120,SUB,명진산업,3,1
AJR76264102-19-2,명진 SUB,120,SUB,명진산업,3,1
AJR76264102-19-3,명진 SUB,120,SUB,명진산업,3,1
AJR77142502-19-1,명진 SUB,120,SUB,명진산업,1379,24
AJR77142502-19-2,명진 SUB,120,SUB,명진산업,1379,24
AJR77142503-19-1,명진 SUB,120,SUB,명진산업,3015,41
AJR77142503-19-2,명진 SUB,120,SUB,명진산업,3015,41
AJR77202902-19-1,명진 SUB,120,SUB,명진산업,1256,26
MJU00698801,Tube Connector,130,단품(가공품),명진산업,15,4
MJU00702401,"Tube, Connector",130,단품(가공품),명진산업,10,1
MJU00702402,"Tube, Connector",130,단품(가공품),명진산업,10,1
MJU00702403,"Tube, Connector",130,단품(가공품),명진산업,10,1
MJU00702404,"Tube, Connector",130,단품(가공품),명진산업,10,1
MJU00702405,"Tube, Connector",130,단품(가공품),명진산업,10,1
MJU00702406,"Tube, Connector",130,단품(가공품),명진산업,10,1
MJU00702407,"Tube, Connector",130,단품(가공품),명진산업,10,1
MJU00702408,"Tube, Connector",130,단품(가공품),명진산업,10,1
MJU00702409,"Tube, Connector",130,단품(가공품),명진산업,20,1
MJU00788501,"Tube,Connector",130,단품(가공품),명진산업,30,1
MJU00788502,"Tube,Connector",130,단품(가공품),명진산업,30,1
MJU00788503,"Tube,Connector",130,단품(가공품),명진산업,19,3
MJU00788504,"Tube,Connector",130,단품(가공품),명진산업,7,3
MJU38273201,"Tube,Bending",130,단품(가공품),명진산업,60,2
MJU38273203,"Tube,Bending",130,단품(가공품),명진산업,60,2
MJU38273205,"Tube,Bending",130,단품(가공품),명진산업,60,2
MJU38273403,"Tube,Bending",130,단품(가공품),명진산업,60,2
MJU38273406,"Tube,Bending",130,단품(가공품),명진산업,60,2
MJU40157910,"Tube,Connector",130,단품(가공품),명진산업,2,1
MJU40157911,Tube Connector,130,단품(가공품),명진산업,397,7
MJU40307301,"TUBE, CAPI BENDING",130,단품(가공품),명진산업,5,1
MJU40307901,"TUBE, CAPI BENDING",130,단품(가공품),명진산업,5,1
MJU40308101,"TUBE, CAPI BENDING",130,단품(가공품),명진산업,5,1
MJU40308701,"TUBE, CAPI BENDING",130,단품(가공품),명진산업,5,1
MJU41491701,"Tube,Capillary",130,단품(가공품),명진산업,35,2
MJU42356104,"Tube,Connector",130,단품(가공품),명진산업,40,2
MJU42643701,"Tube,Capillary",130,단품(가공품),명진산업,30,2
MJU42805401,"TUBE, CAPILLARY BENDING",130,단품(가공품),명진산업,5,1
MJU42805402,"TUBE, CAPILLARY BENDING",130,단품(가공품),명진산업,5,1
MJU42805403,"TUBE, CAPILLARY BENDING",130,단품(가공품),명진산업,5,1
MJU42886501,Tube Capillary,130,단품(가공품),명진산업,30,2
MJU42886601,"Tube,Capillary",130,단품(가공품),명진산업,30,2
MJU42886701,"Tube,Capillary",130,단품(가공품),명진산업,30,2
MJU42938502,"Tube,Connector",130,단품(가공품),명진산업,245,10
MJU47979201-19-1,Tube Capaillry,130,단품(가공품),명진산업,1362,3
MJU61346401,"Tube,Connector",130,단품(가공품),명진산업,22,2
MJU61346601,"Tube,Connector",130,단품(가공품),명진산업,22,2
MJU61351101,"Tube,Connector",130,단품(가공품),명진산업,22,2
MJU61351201,"Tube,Connector",130,단품(가공품),명진산업,22,2
MJU61351501,"Tube,Connector",130,단품(가공품),명진산업,22,2
MJU61351601,"Tube,Connector",130,단품(가공품),명진산업,24,2
MJU61351801,"Tube,Connector",130,단품(가공품),명진산업,20,1
MJU61380001,"Tube,Connector",130,단품(가공품),명진산업,25,2
MJU61380201,"Tube,Connector",130,단품(가공품),명진산업,25,2
MJU61380401,"Tube,Connector",130,단품(가공품),명진산업,25,2
MJU61380501,"Tube,Connector",130,단품(가공품),명진산업,25,2
MJU61382801,"Tube,Connector",130,단품(가공품),명진산업,25,2
MJU61382901,"Tube,Connector",130,단품(가공품),명진산업,25,2
MJU61387701,"Tube,Connector",130,단품(가공품),명진산업,25,2
MJU61940501,"Tube,Connector",130,단품(가공품),명진산업,8,1
MJU61943601,"Tube, capillary",130,단품(가공품),명진산업,7502,94
MJU61943608,"Tube,Connector",130,단품(가공품),명진산업,599,23
MJU62066901,"Tube,Capillary Bending",130,단품(가공품),명진산업,60,2
MJU62078701,"Tube,Connector",130,단품(가공품),명진산업,857,40
MJU62078802,"Tube,Connector",130,단품(가공품),명진산업,857,40
MJU62078902,"Tube,Connector",130,단품(가공품),명진산업,858,41
MJU62194501,"Tube,Connector",130,단품(가공품),명진산업,25,1
MJU62490101,"Tube,Connector",130,단품(가공품),명진산업,35,2
MJU62490201,"Tube,Connector",130,단품(가공품),명진산업,35,2
MJU62490301,"Tube,Connector",130,단품(가공품),명진산업,35,2
MJU62490401,"Tube,Connector",130,단품(가공품),명진산업,35,2
MJU62791001,"Tube,Connector",130,단품(가공품),명진산업,3,1
MJU62911901,"Tube,Capillary Bending",130,단품(가공품),명진산업,74,9
MJU62911903,"Tube,Capillary Bending",130,단품(가공품),명진산업,131,11
MJU62968508,"Tube,Bending",130,단품(가공품),명진산업,70,3
MJU62968521,"Tube,Bending",130,단품(가공품),명진산업,70,3
MJU62968522,"Tube,Bending",130,단품(가공품),명진산업,70,3
MJU62968523,"Tube,Bending",130,단품(가공품),명진산업,70,3
MJU62968524,"Tube,Bending",130,단품(가공품),명진산업,70,3
MJU62968525,"Tube,Bending",130,단품(가공품),명진산업,70,3
MJU62968526,"Tube,Bending",130,단품(가공품),명진산업,70,3
MJU62968527,"Tube,Bending",130,단품(가공품),명진산업,70,3
MJU62968528,"Tube,Bending",130,단품(가공품),명진산업,70,3
MJU62968529,"Tube,Bending",130,단품(가공품),명진산업,70,3
MJU62968530,"Tube,Bending",130,단품(가공품),명진산업,70,3
MJU62968801,"Tube,Connector",130,단품(가공품),명진산업,20,1
MJU62989202,"Tube,Connector",130,단품(가공품),명진산업,14,2
MJU63009003,"Tube,Connector",130,단품(가공품),명진산업,10,1
MJU63043601,"Tube,Capillary Bending",130,단품(가공품),명진산업,5,1
MJU63043604,"Tube,Capillary Bending",130,단품(가공품),명진산업,7,2
MJU63043605,"Tube,Capillary Bending",130,단품(가공품),명진산업,5,1
MJU63043607,"Tube,Capillary Bending",130,단품(가공품),명진산업,5,1
MJU63043608,"Tube,Capillary Bending",130,단품(가공품),명진산업,5,1
MJU63043609,"Tube,Capillary Bending",130,단품(가공품),명진산업,5,1
MJU63043617,"Tube,Capillary Bending",130,단품(가공품),명진산업,2,1
MJU63043621,"Tube,Capillary Bending",130,단품(가공품),명진산업,2,1
MJU63086901,"Tube,Capillary Bending",130,단품(가공품),명진산업,3,1
MJU63086902,"Tube,Capillary Bending",130,단품(가공품),명진산업,3,1
MJU63287901,"Tube,Capillary",130,단품(가공품),명진산업,84,7
MJU63612901,"Tube,Capillary Bending",130,단품(가공품),명진산업,746,29
MJU63612902,"Tube,Capillary Bending",130,단품(가공품),명진산업,746,29
MJU63612903,"Tube,Capillary Bending",130,단품(가공품),명진산업,746,29
MJU63612904,"Tube,Capillary Bending",130,단품(가공품),명진산업,746,29
MJU63612905,"Tube,Capillary Bending",130,단품(가공품),명진산업,746,29
