품번,품명,make_type,구성품수,사용상위제품수(공용도),대표상위LG제품,상위최근출고,판정(독립ASSY/SUB)
4848A20007P,Accumulator,3,1,34,AJR65507705,1083.0,
5210A13011G,"Tube,Connector",2,1,4,5211A19008C,15.0,
5210A13011H,"Tube,Connector",2,1,4,5211A19008C,15.0,
5210A13011J,"Tube,Connector",2,1,4,5211A19008C,15.0,
5210A13011K,"Tube,Connector",2,1,4,5211A19008C,15.0,
5210A22271A,"Tube,Capillary Bending",2,1,1,5211A20466D,55.0,
5210A22271B,"Tube,Capillary Bending",2,1,1,5211A20466D,55.0,
5210A22271C,"Tube,Capillary Bending",2,1,1,5211A20466D,55.0,
5210A22271D,"Tube,Capillary Bending",2,1,1,5211A20466D,55.0,
5210A22271E,"Tube,Capillary Bending",2,1,1,5211A20466D,55.0,
5210A22526A,"Tube,Capillary Bending",2,1,2,5211A11023C,8.0,
5210A23936A,"Tube, Capillary Bending",2,1,1,5211A10549A,5.0,
5210A23936B,"Tube, Capillary Bending",2,1,1,5211A10549A,5.0,
5210A23936C,"Tube, Capillary Bending",2,1,1,5211A10549A,5.0,
5210A23936D,"Tube, Capillary Bending",2,1,1,5211A10549A,5.0,
5210A23936E,"Tube, Capillary Bending",2,1,1,5211A10549A,5.0,
5210A23936F,"Tube, Capillary Bending",2,1,1,5211A10549A,5.0,
5210A23936G,"Tube, Capillary Bending",2,1,1,5211A10549A,5.0,
5210A23936H,"Tube, Capillary Bending",2,1,1,5211A10549A,5.0,
5210A23936J,"Tube, Capillary Bending",2,1,1,5211A10549A,5.0,
5210A30994B,"Tube,Connector",2,1,2,5211A10305E,110.0,
5210A30994C,"Tube,Connector",2,1,2,5211A10305E,110.0,
5210A30994D,"Tube,Connector",2,1,2,5211A10305E,110.0,
5210A30994H,"TUBE, CONNECTOR",2,1,2,5211A10305J,300.0,
5210A30994J,"TUBE, CONNECTOR",2,1,2,5211A10305J,300.0,
5210A30994K,"TUBE, CONNECTOR",2,1,2,5211A10305J,300.0,
5210A30998B,"Tube,Connector",2,1,2,5211A10305E,110.0,
5210A30998C,"Tube,Connector",2,1,2,5211A10305E,110.0,
5210A30998F,"TUBE, CONNECTOR",2,1,2,5211A10305J,300.0,
5210A30998G,"TUBE, CONNECTOR",2,1,2,5211A10305J,300.0,
5210AP3851A,"TUBE, MANIFOLD",1,1,1,5211AP3868A,5.0,
5211A22074A,"Tube, Assembly, Connector",1,3,33,AJR73767318,16.0,
5211A23363A,SUB ASSY,1,6,1,5211A23366A,15.0,
5998A20002Q,"Separator, Oil",3,1,1,AHQ73469301,6396.0,
5998A20004A,"Separator,Oil",3,1,1,AJR73026401,3.0,
AAA36923606,Accessory Assembly,2,4,15,PQ061503K03.AKOR,50.0,
AAA36923607,Accessory Assembly,2,3,9,PQ060903E52.AKOR,835.0,
AAA36923608,Accessory Assembly,3,5,15,PQ061508C11.AKOR,23507.0,
AAA36923611,Accessory Assembly,3,5,12,PQ060905K02.AKOR,2975.0,
AAA68954002,Accessory Assembly,3,5,12,PQ060907A11.AKOR,1480.0,
AAA71799405,"Accessory Assembly,Outdoor",1,3,1,PVT-R780.AKM,219.0,
AAB35754002,Accumulator,3,7,20,AGF30058403,10.0,
AET73671514,"Install Part Assembly, Set",1,20,1,PQ061503K03.AKOR,50.0,
AET73671516,"Install Part Assembly, Set",1,19,1,PQ060903E52.AKOR,835.0,
AET73671517,"Install Part Assembly, Set",1,20,1,PQ061503K11.AKOR,15130.0,
AET73671519,"Install Part Assembly, Set",1,21,1,PQ060903E11.AKOR,1350.0,
AET73671520,Install Part Assembly,1,20,1,PQ061203K11.AKOR,77759.0,
AET73671521,"Install Part Assembly,Set",1,22,1,PW061203K11.AKOR,140.0,
AET73671526,"Install Part Assembly,Set",1,19,1,PQ060903E30.AKOR,63219.0,
AET73831438,Install Part Assembly Set,1,18,1,PQ061508C11.AKOR,23507.0,
AET73831439,"Install Part Assembly, Set",1,17,1,PQ061208C11.AKOR,63824.0,
AET73831442,"Install Part Assembly, Set",1,11,1,PQ060907A11.AKOR,1480.0,
AET73831456,"Install Part Assembly,Set",1,11,1,PQ060905K02.AKOR,2975.0,
AET73831467,"Install Part Assembly, Set",1,12,1,PQ060907A15.AKOR,25.0,
AET73831469,"Install Part Assembly,Set",1,10,1,PQ060905R01.AKOR,157084.0,
AET73831473,"Install Part Assembly,Set",1,10,1,PW060905R01.AKOR,6565.0,
AET73831475,"Install Part Assembly,Set",1,11,1,PQ060907A30.AKOR,22254.0,
AET73831478,"Install Part Assembly, Set",1,21,2,PQ061208C41.AKOR,103010.0,
AET73831479,"Install Part Assembly, Set",1,21,2,PQ061508C41.AKOR,6315.0,
AET73831480,"Install Part Assembly, Set",1,18,1,PQ061208C14.AKOR,12328.0,
AET73831481,"Install Part Assembly, Set",1,11,1,PQ060907A31.AKOR,2644.0,
AET73831482,"Install Part Assemblym, Set",1,9,1,SH091505DA0.AKCXLHD,1045.0,
AFY73689501,AFY73689501,3,8,2,AJR73786307,3.0,
AFY73689504,Muffler Assy,3,4,2,AJJ75639409,2860.0,
AFY73689506,Muffler Assembly,3,3,1,AJR75711901,232.0,
AFY73689511,MTS SUB,2,5,3,AJR75744535,478.0,
AFY73689514,Muffler Assembly,5,5,2,AJR75103117,5.0,
AGF30058504,"Package Assemble, C/CKD",1,6,1,AGF30058404,1050.0,
AGF30058505,"Package Assembly,C/SKD",1,4,1,AGF30058407,21680.0,
AGF30444701,"Package Assembly, C/SKD",1,8,1,AGF30444802,19082.0,
AGF30444703,"Package Assembly, C/SKD",1,9,1,AGF30444804,4217.0,
AGG00376901,"Packing Assembly, C/SKD",,8,1,AGF04106701,24289.0,
AGG00376902,"Packing Assembly, C/SKD",1,8,1,AGF04106702,15885.0,
AGG00376903,"Packing Assembly, C/SKD",1,8,1,AGF04106703,12056.0,
AGG00399402,"Packing Assembly,C/SKD",1,6,1,AGF30024008,1327.0,
AGG00416301,"Packing Assembly,C/SKD",1,8,1,AGF04226601,60.0,
AGG00416302,"Packing Assembly,C/SKD",2,8,1,AGF04226602,60.0,
AGG00416303,"Packing Assembly, C/SKD",1,6,1,AGF04226603,290.0,
AHQ72909201,"Separator Assembly,Oil",1,19,1,AJR73026401,3.0,
AJC75119303,EASY LINK(Ø12.7),3,12,1,AET30216903,5.0,
AJJ73040828,Supporter Assembly,1,4,6,AJR76523005,7.0,
AJJ73898601,체결 SUB,1,5,6,AJJ73898602,20.0,
AJJ73898619,AJJ73898619,1,6,1,AJJ73898618,2.0,
AJJ73898628,Supporter Assembly,1,4,1,AJJ73898629,5.0,
AJJ73898651,Supporter Assembly,1,4,1,AJJ75838627,303.0,
AJJ74158907,AJJ74158907,1,4,1,AJJ74758302,2.0,
AJJ75358411,체결 SUB,1,6,1,AJR36618618,2.0,
AJJ75358416,Supporter Assembly,1,7,1,AJR36618618,2.0,
AJJ75358439,Supporter Assembly,1,5,1,AJR36618620,2758.0,
AJJ75358440,Supporter Assembly,1,6,1,AJR36618620,2758.0,
AJJ75358442,Supporter Assembly,1,5,1,AJR36618623,1991.0,
AJJ75358443,Supporter Assembly,1,4,1,AJR36618623,1991.0,
AJR30000501,"Tube Assembly, Expansion",1,3,3,AJR77224805,10167.0,
AJR30020101,"Tube Assembly,Expansion",1,11,1,AJR30019901,80.0,
AJR30051201,"Tube Assembly,Solenoide",1,2,3,AJR77224518,7583.0,
AJR30051202,"Tube Assembly,Solenoide",1,2,4,AJR77224516,2.0,
AJR30057201,STS Connector,3,2,1,AEG74792502,5073.0,
AJR30057401,STS Connector,3,3,1,AEG74792502,5073.0,
AJR30069701,Eva Out,1,2,1,AJR30069601,327.0,
AJR30069801,Eva In,1,2,2,AJR30069601,327.0,
AJR30080601,"Tube Assembly,Solenoide",1,10,2,AJR30105801,200.0,
AJR30080701,Tube Assembly,1,6,2,AJR30105801,200.0,
AJR30122701,"Tube Assembly, Connector",1,3,1,AJR30123401,9394.0,
AJR30123101,"Tube Assembly,Suction(Outdoor)",1,3,1,AJR30123401,9394.0,
AJR30123201,"Tube Assembly,Reverse",1,6,1,AJR30123401,9394.0,
AJR30125501,"Tube Assembly,Solenoide",1,1,2,AJR30125601,7179.0,
AJR30125502,"Tube Assembly,Solenoide",1,2,1,AJR30125601,7179.0,
AJR30125503,"Tube Assembly,Solenoide",1,6,2,AJR30125602,176.0,
AJR30125504,"Tube Assembly,Solenoide",1,1,1,AJR30125603,220.0,
AJR30125505,"Tube Assembly,Solenoide",1,1,2,AJR30125603,220.0,
AJR30133503,"Tube Assembly,Expansion",1,1,1,AJR30125601,7179.0,
AJR30133504,"Tube Assembly,Expansion",1,2,1,AJR30125603,220.0,
AJR30138401,"Tube Assembly,Expansion",1,10,2,AJR30138101,8.0,
AJR30138402,"Tube Assembly,Expansion",1,9,1,AJR30138103,19.0,
AJR30138403,"Tube Assembly,Expansion",1,9,1,AJR30138104,7.0,
AJR30138501,"Tube Assembly,Expansion",1,8,2,AJR30138101,8.0,
AJR30138502,"Tube Assembly,Expansion",1,8,1,AJR30138103,19.0,
AJR30138503,"Tube Assembly,Expansion",1,8,1,AJR30138104,7.0,
AJR33295125,6.35*5m 접합관,3,5,12,PQ061508C11.AKOR,23507.0,
AJR33295126,9.52*5m 접합관,3,5,7,PQ060905K02.AKOR,2975.0,
AJR33295127,15.88*5m 접합관,3,5,7,PQ061508C11.AKOR,23507.0,
AJR33295144,12.7*5m 접합관,3,5,4,PQ061208C11.AKOR,63824.0,
AJR33295150,6.35*7.5m 접합관,3,5,4,PQ060907A11.AKOR,1480.0,
AJR33295151,9.52*7.5m 접합관,3,5,4,PQ060907A11.AKOR,1480.0,
AJR33295152,6.35*8m 코팅관,3,3,4,PQ061208C41.AKOR,103010.0,
AJR33295153,12.7*8m 코팅관,3,3,2,PQ061208C41.AKOR,103010.0,
AJR33295154,15.88*8m 코팅관,3,3,2,PQ061508C41.AKOR,6315.0,
AJR36904201,AJR36904201,1,3,2,AJR72937704,8.0,
AJR52737623,AJR52737623,2,5,2,AJJ73898618,2.0,
AJR52737635,AJR52737635,2,2,1,AJJ73898629,5.0,
AJR55829113,Tube Assembly,1,6,1,AEG74589807,170.0,
AJR71429341,"Tube Assembly,Suction",1,2,1,AJR76523012,120.0,
AJR72916202,Tube Assembly,1,9,1,PVT-R780.AKM,219.0,
AJR72929201,프레스 밴딩 SUB,1,2,14,AJR72928401,55.0,
AJR72929210,사내 SUB,1,2,2,AJR73965702,10.0,
AJR72935101,AJR72935101,1,7,1,AJJ72912201,2.0,
AJR72940102,15.88*3M 직관 (SUB),2,2,11,PQ061503K03.AKOR,50.0,
AJR72940106,6.35*2M 직관 (SUB),2,2,10,PQ061503K03.AKOR,50.0,
AJR72942901,"Tube Assembly,Connector",1,3,2,AJR72937704,8.0,
AJR72950705,Tube Assembly Suction,1,3,1,AJJ75639409,2860.0,
AJR73343201,사내 고압 SUB,1,2,3,AJR55796808,112.0,
AJR73343303,사내 저압 SUB,1,2,1,AJR55796808,112.0,
AJR73566520,Tube Assembly,1,4,1,AJR74485504,10.0,
AJR73566525,Tube Assembly,1,2,1,AJR74485504,10.0,
AJR73663104,AJR73663104,1,4,3,AJJ74618301,75.0,
AJR73665401,판형 SUB,2,5,1,ADM72950701,11.0,
AJR73724007,"Tube Assembly, Condense(In)",1,11,2,ADM72950717,193.0,
AJR73724104,판형 SUB,1,4,3,ADM72950717,193.0,
AJR73743901,판형 SUB,1,8,2,ADM72950714,473.0,
AJR73743904,판형 SUB,1,8,3,ADM72950717,193.0,
AJR73744406,"Tube Assembly,Condenser(In)",1,12,1,ADM72950714,473.0,
AJR73744411,"Tube Assembly, Condenser(In)",1,12,3,ADM72950717,193.0,
AJR73763001,AJR73763001,1,11,2,AJR73982401,30.0,
AJR73782506,"Tube Assembly, Capillary",2,2,1,AJR30105801,200.0,
AJR73803006,"Tube Assembly, Connector",1,4,1,AET73631404,80.0,
AJR73909902,AJR73909902,1,11,2,AJR73822515,2.0,
AJR73909903,AJR73909903,1,14,1,AJR73944513,5.0,
AJR73942801,판형 SUB,1,5,2,ADM72950714,473.0,
AJR73942804,판형 SUB,1,5,2,ADM72950717,193.0,
AJR73943301,AJR73943301,1,13,1,AJR73982401,30.0,
AJR73964702,AJR73964702,1,7,1,AJR74125301,3.0,
AJR73968602,AJR73968602,1,1,3,AJJ73898618,2.0,
AJR73968605,AJR73968605,1,3,1,AJJ73898629,5.0,
AJR73973704,AJR73973704,1,9,2,AJR73944513,5.0,
AJR73973706,"Tube Assembly, Discharge",1,7,1,AJR75584501,5.0,
AJR73986701,Condenser Sub assy,1,12,1,AJJ73898602,20.0,
AJR74229401,"Tube Assembly,Evaporator(Out)",1,6,1,AJR74290701,1.0,
AJR74288601,Tube Assembly,1,5,1,AJR74485504,10.0,
AJR74288602,Tube Assembly,1,1,1,AJR74485504,10.0,
AJR74290001,"Tube Assembly,Evaporator(In)",1,3,1,AJR74290701,1.0,
AJR74424621,"Tube Assembly,Reverse",1,5,1,AJR76523012,120.0,
AJR74424632,"Tube Assembly, Reserve",1,9,1,AJR76523027,10133.0,
AJR74444806,9.52*3.6m (양쪽확관),2,5,2,AET73471408,3508.0,
AJR74444808,15.88*3.6m (양쪽확관),2,5,2,AET73471408,3508.0,
AJR74522901,"Tube Assembly,Reverse",1,10,2,AJR74524701,2646.0,
AJR74522902,AJR74522902,1,11,3,AJR74524702,2.0,
AJR74523001,AJR74523001,1,11,1,AJR74524702,2.0,
AJR74523003,AJR74523003,1,5,2,AJR74524703,1930.0,
AJR74523006,AJR74523006,1,6,3,AJR74524701,2646.0,
AJR74803501,Condenser Sub Assy,1,12,1,AJJ73898612,15.0,
AJR74803505,AJR74803505,1,5,1,AJJ74758302,2.0,
AJR74803516,사내 SUB,1,9,1,AJR36618618,2.0,
AJR74803521,사내 SUB,1,5,7,AJJ75358427,80.0,
AJR74803541,"Tube Assembly, Condenser",1,8,1,AJR36618620,2758.0,
AJR74803543,"Tube Assembly, Condenser(Out)",1,3,1,AJR36618623,1991.0,
AJR74803552,"Tube Assembly, Condenser",1,5,1,AJJ75838626,14461.0,
AJR74803553,"Tube Assembly, Condenser",1,4,1,AJJ75838627,303.0,
AJR74942617,"Tube Assy, Evaporator(In)",,2,1,AJR74942531,80.0,
AJR74942623,"Tube Assy, Evaporator(In)",1,2,4,AJR75942501,30.0,
AJR74942626,"Tube Assy, Evaporator(In)",1,2,3,AJR74942547,4184.0,
AJR74942627,"Tube Assy, Evaporator(In)",1,2,1,AJR74942548,105.0,
AJR74942632,"Tube Assy, Evaporator(In)",1,2,1,AJR75942502,120.0,
AJR74942709,"Tube Assy, Evaporator(Out)",1,2,3,AJR75942501,30.0,
AJR74942724,"Tube Assy, Evaporator(Out)",1,3,2,AJR74942531,80.0,
AJR74942729,"Tube Assembly, Evaporator",1,2,1,AJR74942547,4184.0,
AJR74942730,"Tube Assy, Evaporator(Out)",1,2,1,AJR74942548,105.0,
AJR74942735,저압부 SUB ASSY,1,3,2,AJR75942504,97.0,
AJR74942754,"Tube Assembly,Evaporator(Out)",1,2,1,AJR74942581,208.0,
AJR74944201,"Tube Assembly, Connector",1,2,1,AJR73803002,115.0,
AJR75103205,"Tube Assembly,Reverse",,9,1,AJR75103117,5.0,
AJR75142605,"Tube Assembly,Manifold(Indoor)",1,3,1,AJR75142606,611.0,
AJR75163205,"Tube Assembly,Manifold(Indoor)",1,3,1,AJR75163206,1314.0,
AJR75222406,AJR75222406,1,3,1,AJJ74758302,2.0,
AJR75242801,사내 고압 SUB,1,2,2,AJR75243101,510.0,
AJR75242802,사내 고압 SUB,1,2,2,AJR75243105,5329.0,
AJR75242815,고압 SUB,1,2,1,AJR75243124,1002.0,
AJR75242816,고압 SUB,1,2,1,AJR75243125,2589.0,
AJR75243001,AJR75243001,1,3,1,AJR75243101,510.0,
AJR75243006,사내 저압 SUB,1,2,1,AJR75243105,5329.0,
AJR75243014,사내 저압 SUB,1,3,2,AJR75243118,2535.0,
AJR75243021,저압 SUB,1,3,1,AJR75243125,2589.0,
AJR75262808,"Tube Assembly, Expansion",1,5,2,AJJ73040829,6300.0,
AJR75484601,SUB ASSY,1,4,2,AJR75463110,12.0,
AJR75484602,AJR75484602,1,4,1,AJR75483401,705.0,
AJR75503602,"Tube Assembly, Expansion",1,4,2,AJR75463110,12.0,
AJR75503610,"Tube Assembly, Expansion",1,3,1,AJR75463110,12.0,
AJR75503701,"Tube Assembly,Solenoide",1,3,2,AJR75463101,1335.0,
AJR75503702,AJR75503702,1,3,1,AJR75483401,705.0,
AJR75503704,"Tube Assembly,Solenoide",1,3,1,AJR75463110,12.0,
AJR75544501,SUB ASSY,1,4,3,AJR75544201,2019.0,
AJR75544503,AJR75544503,1,3,1,AJR75544204,50.0,
AJR75544505,"Tube Assembly,Solenoide",1,3,2,AJR76982501,357.0,
AJR75544601,AJR75544601,1,5,2,AJR75544201,2019.0,
AJR75544604,AJR75544604,1,4,1,AJR75544204,50.0,
AJR75544609,"Tube Assembly,Solenoide",1,4,2,AJR77224506,3.0,
AJR75662801,AJR75662801,1,7,1,AJJ75178301,10.0,
AJR75687907,Tube Assembly,1,4,1,AJR75802606,167.0,
AJR75722805,"Tube Assembly,Reverse",1,16,1,AJR75710506,20.0,
AJR75744106,"Tube Assembly, Suciton",2,6,5,AJJ75358404,5.0,
