node,name,cs_soyo,bom_soyo,ratio,direction,weld_item,last_prod,active,top_parent,cs_detail,cs_upd,bom_upd,newer
5211A11604A,"Tube Assembly, Connector",0.0072,0.0105,0.686,CS<BOM,RAC30599301-1,2026-05-28,1,,6.35φ×5·9.52φ×1,2022-03-16,2023-08-17,BOM최신
5211A20459J-SUB,은납-SUB,0.0015,0.0,,CS>BOM,RAC30599327,2026-07-02,1,5211A20459J,12.7φ×1,2026-07-01,2026-07-01,CS최신
5211A21806A,"Tube Assembly, Evaporator (Out)",0.0058,0.007,0.829,CS<BOM,RAC30599301-1,2026-01-12,1,,5.0φ×1·6.35φ×3·9.52φ×1,2022-12-01,2024-07-08,BOM최신
5211A21813B,"Tube Assembly, Manifold",0.0075,0.009,0.833,CS<BOM,RAC30599301-1,2026-04-09,1,,5.0φ×6·9.52φ×1,2022-03-15,2023-08-17,BOM최신
5211A23366A,"Tube Assembly, Manifold",0.0051,0.0,,CS>BOM,RAC30599327,2025-05-21,1,,9.52φ×1·9.52φ×2·12.7φ×1,2026-07-28,2025-05-28,CS최신
ADM73210516,Exchanger Assembly,0.0241,0.0172,1.401,CS>BOM,RAC30599330,2026-07-31,1,,9.52φ×1·15.88φ×1·28.0φ×1·28.0φ×1·28.0φ×1,2025-10-02,2025-10-02,BOM최신
AJJ72912201,Supporter Assembly,0.0012,0.0059,0.203,CS<BOM,RAC30599301-1,2025-03-14,1,,7.94φ×1,2026-07-01,2020-12-28,CS최신
AJJ75358444,Supporter Assembly,0.0051,0.0,,CS>BOM,RAC30599301-1,2026-06-11,1,,6.35φ×2·9.52φ×1·12.7φ×1,2024-03-22,2025-06-18,BOM최신
AJJ75698803,Supporter Assembly,0.0103,0.0018,5.722,CS>BOM,RAC30599301-1,2025-11-04,1,,15.88φ×1·31.75φ×1,2026-07-02,2024-07-17,CS최신
AJJ75838626,Supporter Assembly,0.0063,0.0051,1.235,CS>BOM,RAC30599328,2026-08-02,1,,6.35φ×2·9.52φ×1·9.52φ×1·12.7φ×1,2026-05-15,2026-06-30,BOM최신
AJJ76559010,Supporter Assembly,0.0099,0.0087,1.138,CS>BOM,RAC30599301-1,2025-11-06,1,,6.35φ×1·9.52φ×1·19.05φ×1·22.0φ×1,2024-01-04,2025-02-01,BOM최신
AJJ76559011,Supporter Assembly,0.0102,0.0117,0.872,CS<BOM,RAC30599301-1,2025-11-06,1,,6.35φ×1·12.7φ×1·19.05φ×1·22.0φ×1,2024-01-04,2025-02-01,BOM최신
AJR30004702,"Tube Assembly, Manifold(Indoor)",0.003,0.0012,2.5,CS>BOM,RAC30599327,2026-07-31,1,,9.52φ×1·15.88φ×1,2025-10-24,2025-09-04,CS최신
AJR30004702-SUB,은납-SUB,0.0036,0.0018,2.0,CS>BOM,RAC30599327-1,2026-07-30,1,AJR30004702,15.88φ×1·15.88φ×1,2025-09-11,2025-09-11,BOM최신
AJR30007603-SUB,은납-SUB,0.0024,0.0012,2.0,CS>BOM,RAC30599327-1,2026-07-22,1,AJR30007603,9.52φ×1·9.52φ×1,2025-09-11,2025-09-11,CS최신
AJR30008101-S6-2,사내 SUB,0.0105,0.0,,CS>BOM,RAC30599301-1,2025-11-28,1,AJR30008101,4.76φ×10,2025-08-05,2025-09-26,BOM최신
AJR30009001-SUB,은납-SUB,0.0024,0.0012,2.0,CS>BOM,RAC30599327-1,2025-08-19,1,AJR30009001,9.52φ×1·9.52φ×1,2025-09-11,2025-09-11,BOM최신
AJR30009401-SUB,은납-SUB,0.0012,0.0024,0.5,CS<BOM,RAC30599327,2025-09-18,1,AJR30009401,9.52φ×1,2025-05-20,2025-10-01,BOM최신
AJR30009402-고주파,AJR30009402-고주파 SUB,0.0084,0.0,,CS>BOM,RAC30599301-1,2025-10-14,1,AJR30009402,4.76φ×8,2025-05-20,2025-09-26,BOM최신
AJR30012009,"Tube Assembly,Reverse",0.0426,0.0492,0.866,CS<BOM,RAC30599301-1,2026-07-29,1,,6.35φ×4·9.52φ×1·22.0φ×2·28.0φ×4,2026-07-23,2025-05-15,CS최신
AJR30012009-SOCKET,Socket 은납 Sub,0.0024,0.0012,2.0,CS>BOM,RAC30599327-1,2026-07-29,1,AJR30012009,9.52φ×1·9.52φ×1,2025-09-10,2025-09-10,BOM최신
AJR30012010-SOCKET,Socket 은납 Sub,0.0024,0.0012,2.0,CS>BOM,RAC30599327-1,2026-07-29,1,AJR30012010,9.52φ×1·9.52φ×1,2025-09-10,2025-09-10,BOM최신
AJR30012011,"Tube Assembly,Reverse",0.0426,0.0576,0.74,CS<BOM,RAC30599301-1,2026-07-29,1,,6.35φ×4·9.52φ×1·22.0φ×2·28.0φ×4,2026-07-23,2025-07-28,CS최신
AJR30012011-SOCKET,Socket 은납 Sub,0.0024,0.0012,2.0,CS>BOM,RAC30599327-1,2026-07-29,1,AJR30012011,9.52φ×1·9.52φ×1,2025-09-10,2025-09-10,BOM최신
AJR30027702-SUB,고주파-SUB,0.0071,0.0,,CS>BOM,RAC30599301-1,2026-07-31,1,AJR30027702-SUB1,28.0φ×1,2026-08-04,2026-07-08,CS최신
AJR30028411,Tube Assembly,0.0126,0.0146,0.863,CS<BOM,RAC30599327,2026-03-24,1,,22.0φ×1·22.0φ×2,2025-07-28,2025-07-28,BOM최신
AJR30029802,"Tube Assembly,Manifold(Outdoor)",0.0168,0.0198,0.848,CS<BOM,RAC30599301-1,2025-06-24,1,,6.35φ×1·7.94φ×13,2024-02-05,2020-12-28,CS최신
AJR30030101,"Tube Assembly,Manifold(Indoor)",0.0156,0.0186,0.839,CS<BOM,RAC30599301-1,2026-07-20,1,,6.35φ×2·9.52φ×11,2024-02-05,2020-12-28,CS최신
AJR30031804,"Tube Assembly, Connector",0.0042,0.0066,0.636,CS<BOM,RAC30599301-1,2025-10-02,1,,6.35φ×2·15.88φ×1,2021-11-29,2023-08-17,BOM최신
AJR30069701-저압,AJR30069701-SUB,0.0024,0.0012,2.0,CS>BOM,RAC30599327,2026-07-13,1,AJR30069701,9.52φ×1·9.52φ×1,2025-04-28,2025-04-28,CS최신
AJR30073601,Tube Assembly Evaporator,0.006,0.0048,1.25,CS>BOM,RAC30599327,2026-07-29,1,,9.52φ×1·9.52φ×4,2025-09-25,2025-09-25,BOM최신
AJR30073601-은납,AJR30073601-은납,0.0024,0.0012,2.0,CS>BOM,RAC30599327-1,2025-11-13,1,AJR30073601,9.52φ×1·9.52φ×1,2025-09-08,2025-09-08,CS최신
AJR30073602-은납,은납 SUB,0.0024,0.0012,2.0,CS>BOM,RAC30599327-1,2026-02-06,1,AJR30073602,9.52φ×1·9.52φ×1,2025-09-08,2025-09-08,BOM최신
AJR30073604-은납,AJR30073604-은납,0.0024,0.0012,2.0,CS>BOM,RAC30599327-1,2025-09-16,1,AJR30073604,9.52φ×1·9.52φ×1,2025-09-11,2026-06-14,BOM최신
AJR30077901-은납,AJR30077901-SUB,0.0015,0.0,,CS>BOM,RAC30599327,2026-07-21,1,AJR30077901,12.7φ×1,2025-04-13,2025-11-26,BOM최신
AJR30086101,"Tube Assembly, Expansion",0.0207,0.0171,1.211,CS>BOM,RAC30599301-1,2025-12-17,1,,12.7φ×8·15.88φ×3·19.05φ×1,2023-10-11,2024-07-08,BOM최신
AJR30086102,"Tube Assembly, Expansion",0.0207,0.0171,1.211,CS>BOM,RAC30599301-1,2026-03-12,1,,12.7φ×8·15.88φ×3·19.05φ×1,2023-10-11,2026-02-24,BOM최신
AJR30095101-SUB,은납-SUB,0.0036,0.0018,2.0,CS>BOM,RAC30599327-1,2026-07-28,1,AJR30095101,15.88φ×1·15.88φ×1,2025-09-11,2025-09-11,BOM최신
AJR30100101,"Tube Assembly, Capillary",0.0024,0.0012,2.0,CS>BOM,RAC30599327,2026-07-28,1,,6.35φ×1·9.52φ×1,2025-05-28,2025-05-31,BOM최신
AJR30100101-은납,은납-SUB,0.0024,0.0012,2.0,CS>BOM,RAC30599327-1,2026-07-27,1,AJR30100101,9.52φ×1·9.52φ×1,2025-09-10,2025-09-10,BOM최신
AJR30101601,"Tube Assembly,Manifold(Indoor)",0.0138,0.0,,CS>BOM,RAC30599327,2026-07-31,1,,6.35φ×9·9.52φ×1·15.88φ×1,2025-08-21,2026-07-02,BOM최신
AJR30102601,"Tube Assembly, Expansion",0.0378,0.0,,CS>BOM,RAC30599301-1,2026-07-13,1,,7.94φ×8·9.52φ×11·12.7φ×10,2024-01-24,2025-12-05,BOM최신
AJR30103203,"Tube Assembly, Manifold(Indoor)",0.0171,0.0,,CS>BOM,RAC30599301-1,2025-03-10,1,,6.35φ×1·7.94φ×9·15.88φ×1·19.05φ×1,2024-06-03,2025-04-30,BOM최신
AJR30105801,Tube Assembly,0.0234,0.0312,0.75,CS<BOM,RAC30599301-1,2026-07-20,1,,6.35φ×5·7.94φ×1·15.88φ×9,2024-03-21,2025-04-30,BOM최신
AJR30106101,"Tube Assembly, Expansion",0.0153,0.0165,0.927,CS<BOM,RAC30599301-1,2026-07-21,1,,4.76φ×6·7.94φ×1·9.52φ×4·12.7φ×2,2024-03-18,2024-11-22,BOM최신
AJR30107701,"Tube Assembly, Manifold(Indoor)",0.0018,0.0,,CS>BOM,RAC30599327,2026-07-28,1,,15.88φ×1,2025-05-12,2026-04-04,BOM최신
AJR30107702-은납,AJR30107702-SUB,0.0036,0.0018,2.0,CS>BOM,RAC30599327-1,2026-07-27,1,AJR30107702,15.88φ×1·15.88φ×1,2025-09-10,2025-09-10,BOM최신
AJR30123001,"Tube Assembly,Reverse",0.0751,0.0728,1.032,CS>BOM,RAC30599327,2026-07-03,1,,4.76φ×2·6.35φ×7·7.94φ×1·9.52φ×2·9.52φ×5·22.0φ×1·28.0φ×6·31.75φ×1,2025-04-12,2025-06-25,BOM최신
AJR30133302,"Tube Assembly,Connector",0.0048,0.0024,2.0,CS>BOM,RAC30599301-1,2026-07-30,1,,9.52φ×4,2025-12-18,2026-07-24,BOM최신
AJR30133603-SUB-2,Sub Assy,0.0158,0.0084,1.881,CS>BOM,RAC30599301-1,2026-07-31,1,AJR30133603,9.52φ×1·19.05φ×1·22.0φ×1·28.0φ×1,2025-12-18,2026-07-03,BOM최신
AJR30133607,"Tube Assembly,Reverse",0.0228,0.0364,0.626,CS<BOM,RAC30599301-1,2026-07-28,1,,6.35φ×3·19.05φ×2·22.0φ×3,2026-07-30,2026-07-04,CS최신
AJR30133707,"Tube Assembly,Manifold(Outdoor)",0.0141,0.0,,CS>BOM,RAC30599301-1,2026-07-30,1,,28.0φ×2,2026-07-27,2026-07-04,CS최신
AJR30359801,"Tube Assembly, Evaporator",0.0072,0.018,0.4,CS<BOM,RAC30599301-1,2026-02-10,1,,6.35φ×5·9.52φ×1,2022-02-21,2024-05-17,BOM최신
AJR30360101,"Tube Assembly,Tubing",0.0024,0.0072,0.333,CS<BOM,RAC30599301-1,2025-07-29,1,,6.35φ×2,2022-02-21,2024-07-24,BOM최신
AJR32883903,"Tube Assembly,Manifold(Indoor)",0.0114,0.0129,0.884,CS<BOM,RAC30599301-1,2026-07-21,1,,6.35φ×8·15.88φ×1,2022-03-18,2025-06-16,BOM최신
AJR32883905,"Tube Assembly,Manifold(Indoor)",0.0138,0.0156,0.885,CS<BOM,RAC30599301-1,2026-07-29,1,,6.35φ×10·15.88φ×1,2022-05-05,2025-05-08,BOM최신
AJR32883911-은납,은납 SUB,0.0036,0.0018,2.0,CS>BOM,RAC30599327-1,2026-04-30,1,AJR32883911,15.88φ×1·15.88φ×1,2025-09-10,2025-09-10,BOM최신
AJR33796512,"Tube Assembly,Capillary",0.0012,0.003,0.4,CS<BOM,RAC30599301-1,2026-07-23,1,,9.52φ×1,2021-11-02,2024-04-02,BOM최신
AJR33796513,"Tube Assembly,Capillary",0.0012,0.003,0.4,CS<BOM,RAC30599301-1,2026-07-28,1,,9.52φ×1,2021-11-02,2024-09-05,BOM최신
AJR34407805,"Tube Assembly,Manifold(Indoor)",0.0177,0.0205,0.863,CS<BOM,RAC30599301-1,2024-11-19,1,,6.35φ×9·15.88φ×1,2019-11-26,2023-08-17,BOM최신
AJR34511808,"Tube Assembly, Manifold",0.018,0.0198,0.909,CS<BOM,RAC30599301-1,2026-07-22,1,,6.35φ×9·15.88φ×4,2022-10-06,2024-06-11,BOM최신
AJR36541603,"Tube Assembly,Manifold(Indoor)",0.009,0.0108,0.833,CS<BOM,RAC30599301-1,2026-02-14,1,,6.35φ×6·15.88φ×1,2022-05-05,2024-11-19,BOM최신
AJR36852203,"Tube Assembly, Manifold",0.0061,0.0073,0.836,CS<BOM,RAC30599301-1,2026-07-15,1,,4.76φ×3·6.35φ×1·9.52φ×1,2020-11-19,2025-05-14,BOM최신
AJR36852211-은납,AJR36852211-SUB,0.003,0.0015,2.0,CS>BOM,RAC30599327-1,2025-07-22,1,AJR36852211,12.7φ×1·12.7φ×1,2025-09-10,2025-09-10,BOM최신
AJR36852701,"Tube Assembly,Capillary",0.0089,0.0063,1.413,CS>BOM,RAC30599327,2026-07-06,1,,4.76φ×5·6.35φ×1·6.35φ×1·7.94φ×1,2026-07-10,2024-07-01,CS최신
AJR37039701-은납,AJR37039701-은납/체결,0.003,0.0015,2.0,CS>BOM,RAC30599327-1,2026-07-22,1,AJR37039701,12.7φ×1·12.7φ×1,2025-09-10,2025-09-10,BOM최신
AJR37039706-은납,AJR37039706-은납/체결,0.003,0.0015,2.0,CS>BOM,RAC30599327-1,2026-07-31,1,AJR37039706,12.7φ×1·12.7φ×1,2025-09-10,2025-09-10,BOM최신
AJR37048414,"Tube Assembly,Suction(Outdoor)",0.0045,0.0,,CS>BOM,RAC30599301-1,2025-02-12,1,,6.35φ×1·19.05φ×1,2026-07-08,2023-08-30,CS최신
AJR52676202-은납,AJR52676202-SUB,0.0015,0.0,,CS>BOM,RAC30599327,2026-07-30,1,AJR52676202,12.7φ×1,2025-05-26,2025-09-11,BOM최신
AJR52676207-은납,AJR52676207-SUB,0.0033,0.0018,1.833,CS>BOM,RAC30599327-1,2026-07-30,1,AJR52676207,12.7φ×1·15.88φ×1,2025-09-11,2026-04-10,BOM최신
AJR53980903-은납,은납 SUB,0.003,0.0015,2.0,CS>BOM,RAC30599327-1,2026-07-28,1,AJR53980903,12.7φ×1·12.7φ×1,2025-09-11,2025-09-11,BOM최신
AJR72914202-은납,AJR72914202-SUB,0.003,0.0015,2.0,CS>BOM,RAC30599327-1,2026-07-20,1,AJR72914202,12.7φ×1·12.7φ×1,2025-09-10,2025-09-10,BOM최신
AJR73063201,"Tube Assembly,Discharge",0.0024,0.0,,CS>BOM,RAC30599301-1,2026-02-02,1,,6.35φ×2,2019-01-30,2020-12-28,BOM최신
AJR73063202-은납,은납 SUB,0.0036,0.0024,1.5,CS>BOM,RAC30599327-1,2026-07-27,1,AJR73063202,6.35φ×1·6.35φ×2,2025-09-11,2025-09-11,BOM최신
AJR73065501-은납,은납 SUB,0.0024,0.0012,2.0,CS>BOM,RAC30599327-1,2026-07-30,1,AJR73065501,6.35φ×1·6.35φ×1,2025-09-11,2025-09-11,BOM최신
AJR73065601-은납,은납 SUB,0.003,0.0015,2.0,CS>BOM,RAC30599327-1,2026-07-31,1,AJR73065601,12.7φ×1·12.7φ×1,2025-09-11,2025-09-11,BOM최신
AJR73069602-은납,은납 SUB,0.0024,0.0012,2.0,CS>BOM,RAC30599327-1,2026-07-20,1,AJR73069602,6.35φ×1·6.35φ×1,2025-09-11,2025-09-11,CS최신
AJR73069701-은납,은납 SUB,0.003,0.0015,2.0,CS>BOM,RAC30599327-1,2026-07-16,1,AJR73069701,12.7φ×1·12.7φ×1,2025-09-11,2025-09-11,BOM최신
AJR73324406,"Tube Assembly,Manifold(Indoor)",0.0086,0.0098,0.878,CS<BOM,RAC30599301-1,2026-06-09,1,,15.88φ×3,2019-11-23,2024-04-03,BOM최신
AJR73767818,"Tube Assembly,Reverse",0.0754,0.0742,1.016,CS>BOM,RAC30599301-1,2026-05-29,1,,6.35φ×5·7.94φ×1·9.52φ×2·15.88φ×1·22.0φ×1·28.0φ×5,2026-07-28,2024-04-25,CS최신
AJR73803007,"Tube Assembly,Connector",0.0072,0.006,1.2,CS>BOM,RAC30599327,2026-07-01,1,,9.52φ×1·9.52φ×5,2026-07-01,2026-07-01,BOM최신
AJR73952501-은납,은납 SUB,0.0036,0.0018,2.0,CS>BOM,RAC30599327-1,2026-07-31,1,AJR73952501,15.88φ×1·15.88φ×1,2025-09-10,2025-09-10,BOM최신
AJR73952503-은납,은납 SUB,0.003,0.0015,2.0,CS>BOM,RAC30599327-1,2025-10-16,1,AJR73952503,12.7φ×1·12.7φ×1,2025-09-10,2026-06-14,BOM최신
AJR73980306,"Tube Assembly,Reverse",0.0423,0.0,,CS>BOM,RAC30599301-1,2025-03-17,1,,6.35φ×6·9.52φ×9·19.05φ×1·22.0φ×5,2023-10-06,2025-02-17,BOM최신
AJR73980317,"Tube Assembly,Reverse",0.0234,0.0252,0.929,CS<BOM,RAC30599301-1,2026-06-29,1,,6.35φ×1·15.88φ×1·22.0φ×3,2019-11-24,2024-09-27,BOM최신
AJR73980318,"Tube Assembly,Reverse",0.0234,0.0252,0.929,CS<BOM,RAC30599301-1,2026-07-07,1,,6.35φ×1·15.88φ×1·22.0φ×3,2019-11-24,2025-04-21,BOM최신
AJR73980323,"Tube Assembly,Reverse",0.0387,0.0273,1.418,CS>BOM,RAC30599301-1,2026-02-23,1,,6.35φ×5·9.52φ×7·19.05φ×1·22.0φ×5,2023-10-10,2025-01-17,BOM최신
AJR73988601,"Tube Assembly, Condenser",0.0129,0.0117,1.103,CS>BOM,RAC30599301-1,2026-07-10,1,,4.76φ×2·6.35φ×8·9.52φ×1,2023-10-12,2022-10-15,CS최신
AJR74125301,"Tube Assembly,Condenser(Out)",0.0024,0.0055,0.436,CS<BOM,RAC30599301-1,2026-02-25,1,,9.52φ×2,2023-10-13,2020-12-28,CS최신
AJR74162503,"Tube Assembly,Condenser(Out)",0.0114,0.0,,CS>BOM,RAC30599301-1,2026-06-11,1,,6.35φ×6·7.94φ×1·12.7φ×2,2026-07-14,2026-07-14,CS최신
AJR74230302,"Tube Assembly,Capillary",0.0126,0.0,,CS>BOM,RAC30599301-1,2025-06-09,1,,4.76φ×12,2023-10-14,2025-05-30,BOM최신
AJR74243206,"Tube Assembly,Condenser(In)",0.0186,0.0171,1.088,CS>BOM,RAC30599301-1,2025-11-24,1,,5.0φ×10·6.35φ×2·9.52φ×1·12.7φ×3,2023-10-14,2022-03-15,CS최신
AJR74263401,"Tube Assembly, Connector",0.006,0.0,,CS>BOM,RAC30599301-1,2026-06-11,1,,9.52φ×5,2023-10-14,2025-08-30,BOM최신
AJR74263402,"Tube Assembly, Connector",0.006,0.0048,1.25,CS>BOM,RAC30599301-1,2025-07-03,1,,9.52φ×5,2023-10-14,2022-03-18,CS최신
AJR74282902,"Tube Assembly,Discharge(Outdoor)",0.0087,0.0101,0.861,CS<BOM,RAC30599301-1,2025-02-07,1,,4.76φ×2·6.35φ×3·12.7φ×2,2023-10-14,2020-12-28,CS최신
AJR74284501-은납,AJR74284501-SUB,0.0036,0.0018,2.0,CS>BOM,RAC30599327-1,2026-07-31,1,AJR74284501,15.88φ×1·15.88φ×1,2025-09-10,2025-09-10,BOM최신
AJR74284505-은납,AJR74284505-은납 SUB,0.003,0.0015,2.0,CS>BOM,RAC30599327-1,2026-06-08,1,AJR74284505,12.7φ×1·12.7φ×1,2025-09-10,2025-09-10,BOM최신
AJR74286002,"Tube Assembly,Suction(Indoor)",0.0034,0.0016,2.125,CS>BOM,RAC30599301-1,2026-07-23,1,,6.35φ×1·15.88φ×1,2023-10-14,2025-12-11,BOM최신
AJR74302403-은납,AJR74302403-은납,0.0024,0.0012,2.0,CS>BOM,RAC30599327-1,2026-07-21,1,AJR74302403,9.52φ×1·9.52φ×1,2025-09-10,2025-09-10,BOM최신
AJR74302405-은납,AJR74302405-은납,0.0024,0.0012,2.0,CS>BOM,RAC30599327-1,2026-07-31,1,AJR74302405,9.52φ×1·9.52φ×1,2025-09-10,2025-09-10,BOM최신
AJR74364809,"Tube Assembly,Expansion",0.0108,0.0126,0.857,CS<BOM,RAC30599301-1,2026-03-04,1,,9.52φ×4·12.7φ×4,2023-10-14,2022-03-15,CS최신
AJR74364901,"Tube Assembly,Manifold(Outdoor)",0.0192,0.0348,0.552,CS<BOM,RAC30599301-1,2025-03-12,1,,6.35φ×16,2026-07-14,2024-04-03,CS최신
AJR74365101,"Tube Assembly, Distributor",0.018,0.0342,0.526,CS<BOM,RAC30599301-1,2025-09-17,1,,6.35φ×15,2025-07-21,2025-07-21,BOM최신
AJR74365101-SUB,고주파 SUB,0.0147,0.0,,CS>BOM,RAC30599327,2025-09-03,1,AJR74365101,4.76φ×14,2025-07-21,2025-09-26,BOM최신
AJR74424506,"Tube Assembly,Manifold(Outdoor)",0.018,0.0138,1.304,CS>BOM,RAC30599301-1,2025-07-31,1,,6.35φ×10·12.7φ×4,2023-10-14,2024-01-28,BOM최신
AJR74524701-SOCKET,Socket 은납 Sub,0.0024,0.0012,2.0,CS>BOM,RAC30599327-1,2026-07-31,1,AJR74524701,9.52φ×1·9.52φ×1,2025-09-10,2025-09-10,BOM최신
AJR74683101,"Tube Assembly,Reverse",0.0492,0.0323,1.523,CS>BOM,RAC30599301-1,2025-02-07,1,,6.35φ×5·9.52φ×11·19.05φ×1·22.0φ×5·25.4φ×1,2023-10-16,2024-04-25,BOM최신
AJR74823001-은납,은납 SUB,0.0024,0.0012,2.0,CS>BOM,RAC30599327-1,2026-07-30,1,AJR74823001,9.52φ×1·9.52φ×1,2025-09-10,2026-06-30,BOM최신
AJR74823101-은납,은납 SUB,0.003,0.0015,2.0,CS>BOM,RAC30599327-1,2026-07-30,1,AJR74823101,12.7φ×1·12.7φ×1,2025-09-10,2025-09-10,BOM최신
AJR74823102-은납,은납-SUB,0.0036,0.0018,2.0,CS>BOM,RAC30599327-1,2026-07-30,1,AJR74823102,15.88φ×1·15.88φ×1,2025-09-10,2025-09-10,BOM최신
AJR74823103-은납,은납-SUB,0.0033,0.0018,1.833,CS>BOM,RAC30599327-1,2026-07-30,1,AJR74823103,12.7φ×1·15.88φ×1,2025-09-11,2025-09-11,BOM최신
AJR74823104-은납,은납-SUB,0.0036,0.0018,2.0,CS>BOM,RAC30599327-1,2026-07-31,1,AJR74823104,15.88φ×1·15.88φ×1,2025-09-11,2025-09-11,BOM최신
AJR74843701,"Tube Assembly,Manifold(Indoor)",0.012,0.0,,CS>BOM,RAC30599301-1,2026-06-15,1,,6.35φ×7·15.88φ×2,2026-07-02,2024-07-03,CS최신
AJR74843702,"Tube Assembly,Manifold(Indoor)",0.0186,0.0216,0.861,CS<BOM,RAC30599301-1,2026-06-15,1,,7.94φ×7·15.88φ×1·22.0φ×2,2023-08-04,2023-08-17,BOM최신
AJR74844301-은납,은납-SUB,0.0036,0.0018,2.0,CS>BOM,RAC30599327-1,2026-07-31,1,AJR74844301,15.88φ×1·15.88φ×1,2025-09-11,2025-09-11,BOM최신
AJR74844302,"Tube Assembly,Manifold(Indoor)",0.0153,0.0183,0.836,CS<BOM,RAC30599301-1,2026-07-15,1,,6.35φ×6·12.7φ×1·19.05φ×2,2022-05-01,2024-04-19,BOM최신
AJR74844311-은납,AJR74844311-SUB,0.0036,0.0018,2.0,CS>BOM,RAC30599327-1,2026-07-30,1,AJR74844311,15.88φ×1·15.88φ×1,2025-09-11,2025-09-11,BOM최신
AJR74844312,"Tube Assembly,Manifold(Indoor)",0.0228,0.0216,1.056,CS>BOM,RAC30599301-1,2026-07-31,1,,6.35φ×2·9.52φ×7·15.88φ×2·22.0φ×2,2023-10-16,2024-04-16,BOM최신
AJR74844314,"Tube Assembly,Manifold(Indoor)",0.018,0.0165,1.091,CS>BOM,RAC30599327,2026-02-13,1,,6.35φ×6·7.94φ×1·12.7φ×1·12.7φ×1·19.05φ×2,2025-09-09,2025-08-30,CS최신
AJR74844315,"Tube Assembly,Manifold(Indoor)",0.0177,0.015,1.18,CS>BOM,RAC30599327,2026-02-13,1,,6.35φ×1·6.35φ×6·9.52φ×1·12.7φ×1·19.05φ×2,2026-01-20,2026-01-20,BOM최신
AJR74844318,"Tube Assembly,Manifold(Indoor)",0.024,0.0222,1.081,CS>BOM,RAC30599327,2026-02-27,1,,7.94φ×1·9.52φ×9·15.88φ×1·15.88φ×1·22.0φ×2,2025-10-01,2025-08-30,CS최신
AJR74923002-은납,은납-SUB,0.0036,0.0018,2.0,CS>BOM,RAC30599327-1,2026-07-29,1,AJR74923002,15.88φ×1·15.88φ×1,2025-09-11,2025-09-11,BOM최신
AJR74942626-고압,AJR74942626-SUB,0.0024,0.0012,2.0,CS>BOM,RAC30599327-1,2026-07-15,1,AJR74942626,9.52φ×1·9.52φ×1,2025-09-11,2025-12-02,BOM최신
AJR74943201,"Tube Assembly,Manifold(Indoor)",0.0018,0.0026,0.692,CS<BOM,RAC30599327,2026-07-27,1,,15.88φ×1,2025-08-04,2025-08-04,BOM최신
AJR74962904,"Tube Assembly,Manifold(Indoor)",0.0012,0.0174,0.069,CS<BOM,RAC30599327,2026-07-29,1,,6.35φ×1,2025-08-05,2025-08-05,BOM최신
AJR74962904-은납,AJR74962904-은납,0.0036,0.0018,2.0,CS>BOM,RAC30599327-1,2026-07-28,1,AJR74962904,15.88φ×1·15.88φ×1,2025-09-08,2025-09-08,CS최신
AJR74962906,"Tube Assembly,Manifold(Indoor)",0.0132,0.015,0.88,CS<BOM,RAC30599301-1,2024-10-28,1,,6.35φ×11,2022-12-02,2024-06-21,BOM최신
AJR74963001-은납,AJR74963001-SUB,0.0036,0.0018,2.0,CS>BOM,RAC30599327-1,2026-07-28,1,AJR74963001,15.88φ×1·15.88φ×1,2025-09-08,2025-09-08,CS최신
AJR74963003-은납,AJR74963003-SUB,0.0033,0.0018,1.833,CS>BOM,RAC30599327-1,2026-07-28,1,AJR74963003,12.7φ×1·15.88φ×1,2025-09-11,2025-09-11,BOM최신
AJR75062911-SUB,AJR75062911-고주파,0.021,0.0,,CS>BOM,RAC30599301-1,2025-10-14,1,AJR75062911,4.76φ×20,2025-07-18,2025-09-26,BOM최신
AJR75163206,"Tube Assembly,Manifold(Indoor)",0.0027,0.0015,1.8,CS>BOM,RAC30599327,2026-07-27,1,,6.35φ×1·12.7φ×1,2026-04-04,2024-04-04,CS최신
AJR75242806,"Tube Assembly, Evaporator(In)",0.0012,0.0024,0.5,CS<BOM,RAC30599301-1,2025-05-15,1,AJR75243106,6.35φ×1,2021-09-27,2024-09-04,BOM최신
AJR75243015,"Tube Assembly, Evaporator(Out)",0.0012,0.0024,0.5,CS<BOM,RAC30599301-1,2025-05-14,1,AJR75243119,9.52φ×1,2022-01-06,2024-05-28,BOM최신
AJR75462802,"Tube Assembly,Suction",0.0159,0.0048,3.313,CS>BOM,RAC30599301-1,2026-07-31,1,,6.35φ×1·12.7φ×5·15.88φ×4,2023-12-20,2026-05-21,BOM최신
AJR75464301,"Tube Assembly,Manifold(Indoor)",0.0087,0.0102,0.853,CS<BOM,RAC30599301-1,2026-07-29,1,,6.35φ×5·7.94φ×1·12.7φ×1,2023-08-18,2024-04-02,BOM최신
AJR75544201,"Tube Assembly,Expansion",0.0105,0.0,,CS>BOM,RAC30599301-1,2026-05-08,1,,9.52φ×3·12.7φ×1·15.88φ×3,2019-05-08,2025-08-30,BOM최신
AJR75563402-은납,AJR75563402-은납,0.0015,0.0,,CS>BOM,RAC30599327,2026-07-31,1,AJR75563402,12.7φ×1,2025-05-26,2026-05-24,BOM최신
AJR75645201-SUB,AJR75645201-고주파,0.0147,0.0,,CS>BOM,RAC30599301-1,2026-07-27,1,AJR75645201,4.76φ×14,2025-06-18,2025-09-26,BOM최신
