node,name,cs_soyo,bom_soyo,ratio,direction,weld_item,last_prod,active,top_parent,cs_detail,cs_upd,bom_upd,newer
AJR73909902,AJR73909902,0.0162,0.0083,1.952,CS>BOM,RAC30599301-1,없음,0,AJR73944507,6.35φ×2·9.52φ×2·12.7φ×1·19.05φ×3,2023-10-04,2024-06-14,BOM최신
AJR73944509,"Tube Assembly,Reverse",0.015,0.0083,1.807,CS>BOM,RAC30599301-1,없음,0,AJR73822509,6.35φ×1·9.52φ×2·12.7φ×1·19.05φ×3,2023-10-04,2024-03-12,BOM최신
AJR73944516,"Tube Assembly,Reverse",0.0138,0.0109,1.266,CS>BOM,RAC30599301-1,없음,0,AJR73822520,6.35φ×1·9.52φ×1·12.7φ×1·19.05φ×3,2023-10-04,2020-12-28,CS최신
AJR73946113,"Tube Assembly,Discharge",0.0048,0.003,1.6,CS>BOM,RAC30599301-1,없음,0,,6.35φ×4,2023-10-05,2020-12-28,CS최신
AJR73964609,"Tube Assembly,Discharge(Outdoor)",0.0195,0.0167,1.168,CS>BOM,RAC30599301-1,2024-07-22,0,,4.76φ×2·6.35φ×2·9.52φ×4·12.7φ×1·15.88φ×3·19.05φ×1,2023-10-05,2024-07-18,BOM최신
AJR73964702,AJR73964702,0.0057,0.0035,1.629,CS>BOM,RAC30599301-1,없음,0,AJR74125301,4.76φ×2·6.35φ×1·9.52φ×2,2023-10-13,2026-04-05,BOM최신
AJR73964902,"Tube Assembly,Discharge(Outdoor)",0.0153,0.0194,0.789,CS<BOM,RAC30599301-1,없음,0,,4.76φ×2·6.35φ×3·9.52φ×1·12.7φ×1·15.88φ×2·19.05φ×1,2023-10-05,2020-12-28,CS최신
AJR73964905,"Tube Assembly,Discharge(Outdoor)",0.0147,0.0194,0.758,CS<BOM,RAC30599301-1,없음,0,,4.76φ×2·6.35φ×2·12.7φ×1·15.88φ×3·19.05φ×1,2023-10-05,2020-12-28,CS최신
AJR73964906,"Tube Assembly,Discharge(Outdoor)",0.0144,0.0194,0.742,CS<BOM,RAC30599301-1,없음,0,,4.76φ×2·6.35φ×2·12.7φ×2·15.88φ×2·19.05φ×1,2023-10-05,2020-12-28,CS최신
AJR73965102,"Tube Assembly,Suction(Outdoor)",0.0121,0.0153,0.791,CS<BOM,RAC30599301-1,없음,0,,6.35φ×3·31.75φ×1,2023-10-05,2023-08-17,CS최신
AJR73965701,"Tube Assembly,Expansion",0.0285,0.0358,0.796,CS<BOM,RAC30599301-1,없음,0,,6.35φ×4·9.52φ×16·12.7φ×3,2023-10-05,2016-02-03,CS최신
AJR73967516,"Tube Assembly,Suction",0.0066,0.0078,0.846,CS<BOM,RAC30599301-1,없음,0,,6.35φ×1·9.52φ×1·22.0φ×1,2022-04-09,2023-08-17,BOM최신
AJR73967517,Tube Assembly,0.0078,0.009,0.867,CS<BOM,RAC30599301-1,없음,0,,6.35φ×3·22.0φ×1,2022-03-23,2023-08-17,BOM최신
AJR73980317-S1-5,사내 SUB,0.0156,0.0168,0.929,CS<BOM,RAC30599301-1,없음,0,,6.35φ×1·15.88φ×1·22.0φ×3,2019-06-22,2023-08-17,BOM최신
AJR73980318-S1-5,사내 SUB,0.0156,0.0168,0.929,CS<BOM,RAC30599301-1,없음,0,,6.35φ×1·15.88φ×1·22.0φ×3,2019-06-27,2024-09-27,BOM최신
AJR73980319-S1-5,사내 SUB,0.0156,0.0168,0.929,CS<BOM,RAC30599301-1,없음,0,AJR73980319,6.35φ×1·15.88φ×1·22.0φ×3,2019-06-27,2025-08-15,BOM최신
AJR73980324-S1-4,사내 SUB,0.0016,0.0034,0.471,CS<BOM,RAC30599301-1,없음,0,AJR73980324-S1-5,6.35φ×1,2019-11-27,2026-02-13,BOM최신
AJR73981102,Tube Assembly,0.003,0.0052,0.577,CS<BOM,RAC30599301-1,없음,0,,6.35φ×1·15.88φ×1,2023-10-13,2020-12-28,CS최신
AJR73981104,Tube Assembly,0.0063,0.0052,1.212,CS>BOM,RAC30599301-1,없음,0,,6.35φ×1·15.88φ×1·19.05φ×1,2023-10-13,2020-12-28,CS최신
AJR73981107,Tube Assembly,0.0063,0.0051,1.235,CS>BOM,RAC30599301-1,없음,0,,6.35φ×1·15.88φ×1·19.05φ×1,2023-10-13,2020-12-28,CS최신
AJR73981108,Tube Assembly,0.0051,0.0012,4.25,CS>BOM,RAC30599301-1,없음,0,,15.88φ×1·19.05φ×1,2023-10-13,2020-12-28,CS최신
AJR74064004,"Tube Assembly,Reverse",0.021,0.0148,1.419,CS>BOM,RAC30599301-1,없음,0,,4.76φ×2·6.35φ×2·9.52φ×4·12.7φ×3·15.88φ×4,2023-10-13,2020-12-28,CS최신
AJR74206901,"Tube Assembly,Suction(Outdoor)",0.0048,0.0036,1.333,CS>BOM,RAC30599301-1,없음,0,,6.35φ×3·9.52φ×1,2023-10-14,2020-12-28,CS최신
AJR74229401,"Tube Assembly,Evaporator(Out)",0.0063,0.0012,5.25,CS>BOM,RAC30599301-1,없음,0,AJR74290701,6.35φ×3·9.52φ×1·12.7φ×1,2022-02-23,2024-04-24,BOM최신
AJR74283401,"Tube Assembly,Discharge(Outdoor)",0.0111,0.0085,1.306,CS>BOM,RAC30599301-1,없음,0,,4.76φ×2·6.35φ×5·12.7φ×2,2023-10-14,2025-02-19,BOM최신
AJR74364901-4-1,AJR74364901-4-1,0.0012,0.0,,CS>BOM,RAC30599301-1,없음,0,AJR74364901,6.35φ×1,2026-07-14,2024-04-03,CS최신
AJR74364901-4-2,AJR74364901-4-2,0.0012,0.0,,CS>BOM,RAC30599301-1,없음,0,AJR74364901,6.35φ×1,2026-07-14,2024-04-03,CS최신
AJR74364901-4-3,AJR74364901-4-3,0.0012,0.0,,CS>BOM,RAC30599301-1,없음,0,AJR74364901,6.35φ×1,2026-07-14,2024-04-03,CS최신
AJR74365002-S1-2,사내 SUB,0.0048,0.006,0.8,CS<BOM,RAC30599301-1,없음,0,AJR74365002,6.35φ×3·9.52φ×1,2019-06-17,2026-02-04,BOM최신
AJR74365003-S1-2,사내 SUB,0.0081,0.0105,0.771,CS<BOM,RAC30599301-1,없음,0,AJR74365003,6.35φ×3·9.52φ×1·19.05φ×1,2019-06-17,2023-08-17,BOM최신
AJR74365010-S1-2,사내 SUB,0.0081,0.0093,0.871,CS<BOM,RAC30599301-1,없음,0,AJR74365010-S1-4,6.35φ×3·9.52φ×1·19.05φ×1,2019-06-20,2025-01-02,BOM최신
AJR74365011-S1-2,사내 SUB,0.0081,0.0093,0.871,CS<BOM,RAC30599301-1,없음,0,AJR74365011,6.35φ×3·9.52φ×1·19.05φ×1,2019-06-20,2024-05-22,BOM최신
AJR74365101-13-1,SUB ASSY,0.0201,0.0363,0.554,CS<BOM,RAC30599301-1,없음,0,,4.76φ×2·6.35φ×15,2019-01-25,2023-08-17,BOM최신
AJR74366603,Tube Assembly,0.0063,0.0132,0.477,CS<BOM,RAC30599301-1,없음,0,,9.52φ×1·15.88φ×1·19.05φ×1,2023-10-14,2020-12-28,CS최신
AJR74366605,Tube Assembly,0.0063,0.01,0.63,CS<BOM,RAC30599301-1,없음,0,,9.52φ×1·15.88φ×1·19.05φ×1,2023-10-14,2020-12-28,CS최신
AJR74425401,"Tube Assembly,Manifold(Outdoor)",0.0225,0.0178,1.264,CS>BOM,RAC30599301-1,없음,0,,6.35φ×13·12.7φ×1·15.88φ×3,2023-10-14,2023-11-10,BOM최신
AJR74425403,"Tube Assembly,Manifold(Outdoor)",0.0183,0.0111,1.649,CS>BOM,RAC30599301-1,없음,0,,6.35φ×11·12.7φ×1·15.88φ×2,2023-10-14,2023-11-10,BOM최신
AJR74465905,1-way 표준화 제품,0.0066,0.0078,0.846,CS<BOM,RAC30599301-1,없음,0,,4.76φ×4·6.35φ×1·9.52φ×1,2020-12-28,2023-08-17,BOM최신
AJR74465906,1-way 표준화 제품,0.0066,0.0078,0.846,CS<BOM,RAC30599301-1,없음,0,,4.76φ×4·6.35φ×1·9.52φ×1,2020-12-28,2023-08-17,BOM최신
AJR74662702,"Tube Assembly,Suction",0.0141,0.0094,1.5,CS>BOM,RAC30599301-1,없음,0,,22.0φ×2·25.4φ×1,2023-10-16,2020-12-28,CS최신
AJR74683102,"Tube Assembly,Reverse",0.042,0.0323,1.3,CS>BOM,RAC30599301-1,없음,0,,6.35φ×5·9.52φ×10·19.05φ×1·22.0φ×5·25.4φ×1,2023-10-16,2024-04-25,BOM최신
AJR74803002,"Tube Assembly,Capillary",0.0171,0.0008,21.375,CS>BOM,RAC30599301-1,없음,0,,4.76φ×6·6.35φ×7·9.52φ×2,2023-10-16,2023-08-17,CS최신
AJR74803513,Condenser SUB,0.0072,0.0115,0.626,CS<BOM,RAC30599301-1,없음,0,,6.35φ×6,2020-10-13,2023-08-17,BOM최신
AJR74844101,"Tube Assembly,Manifold(Indoor)",0.0087,0.0105,0.829,CS<BOM,RAC30599301-1,2024-07-03,0,,6.35φ×6·12.7φ×1,2022-03-15,2024-07-03,BOM최신
AJR74844102,"Tube Assembly,Manifold(Indoor)",0.0075,0.0102,0.735,CS<BOM,RAC30599301-1,2024-07-03,0,,6.35φ×5·12.7φ×1,2022-03-15,2024-07-02,BOM최신
AJR74942617-4-1,미래 SUB,0.0089,0.0077,1.156,CS>BOM,RAC30599327,없음,0,AJR74942617,4.76φ×5·7.94φ×1·9.52φ×1·9.52φ×1,2025-09-10,2025-12-24,BOM최신
