parent_item,weld_item,item_name,use_qty,routing_st,reason,best_candidate
AJR30037101-J1,RAC30599327,지그1,0.0012,1.0,e_item_weld에 부모전무,
AJR30055502-S6-1,RAC30599327,사내 SUB,0.0012,1.0,e_item_weld에 부모전무,
AJR30069702-저압,RAC30599327,AJR30069702-SUB,0.0012,1.0,e_item_weld에 부모전무,
AJR30069801-고압,RAC30599327,AJR30069801-SUB,0.0012,1.0,e_item_weld에 부모전무,
AJR30077901-17-1,RAC30599301-1,유남 SUB,0.0062,5.0,e_item_weld에 부모전무,
AJR30117301,RAC30599301-1,"Tube Assembly, Manifold(Outdoor)",0.0143,12.0,e_item_weld에 부모전무,
AJR30118401,RAC30599301-1,"Tube Assembly, Connector",0.0024,2.0,e_item_weld에 부모전무,
AJR31790102-S1-1,RAC30599327,사내 SUB,0.0036,2.0,e_item_weld에 부모전무,
AJR32674704,RAC30599327,"Tube Assembly,Evaporator(In)",0.00922,13.0,e_item_weld에 부모전무,
AJR32674707,RAC30599327,"Tube Assembly,Evaporator(In)",0.00568,8.0,e_item_weld에 부모전무,
AJR32674708,RAC30599327,"Tube Assembly,Evaporator(In)",0.00568,8.0,e_item_weld에 부모전무,
AJR32674713-S6-1,RAC30599327,은납 원대 사내 SUB,0.0012,1.0,e_item_weld에 부모전무,
AJR32883902-은납,RAC30599327,은납 SUB,0.0018,1.0,e_item_weld에 부모전무,
AJR32883906,RAC30599327,"Tube Assembly,Manifold(Indoor)",0.0018,1.0,e_item_weld에 부모전무,
AJR32883906-3-1,RAC30599301-1,SUB ASSY,0.0108,13.0,e_item_weld에 부모전무,
AJR32883908-은납,RAC30599327,AJR32883908-SUB,0.0018,1.0,e_item_weld에 부모전무,
AJR33796502,RAC30599327,"Tube Assembly,Capillary",0.00083,1.0,e_item_weld에 부모전무,
AJR33796506,RAC30599327,"Tube Assembly,Capillary",0.00922,9.0,e_item_weld에 부모전무,
AJR34739807,RAC30599301-1,"Tube Assembly,Manifold(Outdoor)",0.004,5.0,e_item_weld에 부모전무,
AJR34739818,RAC30599301-1,"Tube Assembly,Manifold(Outdoor)",0.0089,10.0,e_item_weld에 부모전무,
AJR34739819-3-1,RAC30599301-1,SUB ASSY,0.004,5.0,e_item_weld에 부모전무,
AJR34909302,RAC30599301-1,"Tube Assembly,Condenser(Out)",0.0177,26.0,e_item_weld에 부모전무,
AJR36388615,RAC30599301-1,사내 SUB,0.0028,2.0,e_item_weld에 부모전무,
AJR36388615-9-1,RAC30599301-1,AJR36388615-9-1,0.0017,2.0,e_item_weld에 부모전무,
AJR36388615-9-2,RAC30599301-1,AJR36388615-9-2,0.0008,1.0,e_item_weld에 부모전무,
AJR36479502,RAC30599301-1,"Tube Assembly,Condenser(Out)",0.014,13.0,e_item_weld에 부모전무,
AJR36479508,RAC30599301-1,"Tube Assembly,Condenser(Out)",0.0046,6.0,e_item_weld에 부모전무,
AJR36479508-1-1,RAC30599301-1,AJR36479508-1-1,0.00402,6.0,e_item_weld에 부모전무,
AJR36541603-SUB1,RAC30599327,은납-SUB,0.0018,1.0,e_item_weld에 부모전무,
AJR36738207,RAC30599301-1,"Tube Assembly,Suction(Outdoor)",0.00282,5.0,e_item_weld에 부모전무,
AJR36852201-은납,RAC30599327,은납 SUB,0.0012,1.0,e_item_weld에 부모전무,
AJR36852207,RAC30599327,1-way 표준화 제품,0.0024,3.0,e_item_weld에 부모전무,
AJR36852208,RAC30599327,1-way 표준화 제품,0.0012,1.0,e_item_weld에 부모전무,
AJR36904201,RAC30599301-1,AJR36904201,0.0016,2.0,e_item_weld에 부모전무,
AJR37039702,RAC30599327,"Tube Assembly,Manifold(Indoor)",0.0033,1.0,e_item_weld에 부모전무,
AJR37039706-S6-2,RAC30599327,사내 SUB,0.0015,1.0,e_item_weld에 부모전무,
AJR37048417,RAC30599301-1,"Tube Assembly,Suction(Outdoor)",0.0042,2.0,e_item_weld에 부모전무,
AJR37048418,RAC30599301-1,AJR37048418,0.0029,2.0,e_item_weld에 부모전무,
AJR37161107,RAC30599301-1,"Tube Assembly,Suction(Outdoor)",0.0011,3.0,e_item_weld에 부모전무,
AJR52676202-S6-1,RAC30599327,사내 SUB,0.0015,1.0,e_item_weld에 부모전무,
AJR52737635,RAC30599301-1,AJR52737635,0.0012,1.0,e_item_weld에 부모전무,
AJR55707101-14-1,RAC30599327,JS ENG SUB,0.0015,1.0,e_item_weld에 부모전무,
AJR55707101-2-1,RAC30599327,외주 SUB,0.00284,4.0,e_item_weld에 부모전무,
AJR55707101-2-1,RAC30599301-1,외주 SUB,0.0008,1.0,e_item_weld에 부모전무,
AJR55707101-S6-1,RAC30599327,사내 SUB,0.0015,1.0,e_item_weld에 부모전무,
AJR55829101,RAC30599327,Tube Assembly,0.0282,6.0,e_item_weld에 부모전무,
AJR55829102,RAC30599327,Tube Assembly,0.0282,6.0,e_item_weld에 부모전무,
AJR65059803,RAC30599327,"Tube Assembly,Suction(Indoor)",0.0117,13.0,e_item_weld에 부모전무,
AJR65059804,RAC30599327,"Tube Assembly,Suction(Indoor)",0.0117,13.0,e_item_weld에 부모전무,
AJR65507704-S3-1,RAC30599301-1,사내 SUB,0.0024,2.0,e_item_weld에 부모전무,
AJR65507704-S3-2,RAC30599301-1,사내 SUB,0.0018,1.0,e_item_weld에 부모전무,
AJR67734302,RAC30599327,1-way 표준화 전 제품,0.0015,1.0,e_item_weld에 부모전무,
AJR68019501-S6-1,RAC30599327,사내 SUB,0.0012,1.0,e_item_weld에 부모전무,
AJR68019502-S6-1,RAC30599327,사내 SUB,0.0012,1.0,e_item_weld에 부모전무,
AJR68019506-S6-1,RAC30599327,사내 SUB,0.0024,1.0,e_item_weld에 부모전무,
AJR68019507-S6-1,RAC30599327,사내 SUB,0.0024,1.0,e_item_weld에 부모전무,
AJR71429415,RAC30599301-1,"Tube Assembly,Reverse",0.005,4.0,e_item_weld에 부모전무,
AJR71429439,RAC30599301-1,"Tube Assembly,Reverse",0.00505,5.0,e_item_weld에 부모전무,
AJR71433348,RAC30599301-1,"Tube Assembly, Expansion",0.001,29.0,e_item_weld에 부모전무,
AJR72914201-S6-2,RAC30599327,사내 SUB,0.0024,2.0,e_item_weld에 부모전무,
AJR72914202-S6-2,RAC30599327,사내 SUB,0.0024,1.0,e_item_weld에 부모전무,
AJR72919802,RAC30599301-1,"Tube Assembly,Connector",0.0008,1.0,e_item_weld에 부모전무,
AJR72920407,RAC30599301-1,"Tube Assembly,Reverse",0.0019,1.0,e_item_weld에 부모전무,
AJR72928103,RAC30599301-1,"Tube Assembly,Expansion",0.00658,12.0,e_item_weld에 부모전무,
AJR72928103-1,RAC30599301-1,AJR72928103-1,0.0031,2.0,e_item_weld에 부모전무,
AJR72928103-2,RAC30599301-1,AJR72928103-2,0.0046,3.0,e_item_weld에 부모전무,
AJR72928401,RAC30599301-1,"Tube Assembly,Expansion",0.0285,32.0,e_item_weld에 부모전무,
AJR72939901,RAC30599301-1,AJR72939901,0.0016,2.0,e_item_weld에 부모전무,
AJR72946422,RAC30599301-1,Tube Assembly,0.011,5.0,e_item_weld에 부모전무,
AJR73063201-S6-1,RAC30599327,사내 SUB,0.0057,6.0,e_item_weld에 부모전무,
AJR73326616,RAC30599301-1,"Tube Assembly,Manifold(Outdoor)",0.01531,17.0,e_item_weld에 부모전무,
AJR73326623,RAC30599301-1,"Tube Assembly,Manifold(Outdoor)",0.01595,18.0,e_item_weld에 부모전무,
AJR73326631,RAC30599301-1,"Tube Assembly,Manifold(Outdoor)",0.021,16.0,e_item_weld에 부모전무,
AJR73326650,RAC30599301-1,"Tube Assembly,Manifold(Outdoor)",0.0058,29.0,e_item_weld에 부모전무,
AJR73327007-은납,RAC30599327,은납 SUB,0.0018,1.0,e_item_weld에 부모전무,
AJR73343302,RAC30599301-1,AJR73343302,0.0008,1.0,e_item_weld에 부모전무,
AJR73603201-S6-2,RAC30599327,사내 SUB,0.00285,3.0,e_item_weld에 부모전무,
AJR73763001,RAC30599327,AJR73763001,0.0012,1.0,e_item_weld에 부모전무,
AJR73763001,RAC30599301-1,AJR73763001,0.00402,6.0,e_item_weld에 부모전무,
AJR73767413,RAC30599301-1,"Tube Assembly,Expansion",0.0042,5.0,e_item_weld에 부모전무,
AJR73767817-3-1,RAC30599301-1,AJR73767817-3-1,0.0036,3.0,e_item_weld에 부모전무,
AJR73768805-S6-4,RAC30599327,사내 SUB,0.00435,4.0,e_item_weld에 부모전무,
AJR73786307-S3-1,RAC30599301-1,사내 SUB,0.0069,5.0,e_item_weld에 부모전무,
AJR73787405,RAC30599301-1,"Tube Assembly,Condenser(In)",0.00417,5.0,e_item_weld에 부모전무,
AJR73822504,RAC30599301-1,Tube Assembly,0.0012,4.0,e_item_weld에 부모전무,
AJR73822507,RAC30599301-1,Tube Assembly,0.00496,4.0,e_item_weld에 부모전무,
AJR73822513,RAC30599301-1,Tube Assembly,0.002,5.0,e_item_weld에 부모전무,
AJR73822515,RAC30599301-1,Tube Assembly,0.00496,4.0,e_item_weld에 부모전무,
AJR73822516,RAC30599301-1,Tube Assembly,0.00496,4.0,e_item_weld에 부모전무,
AJR73822538,RAC30599301-1,Tube Assembly,0.03335,6.0,e_item_weld에 부모전무,
AJR73882508,RAC30599301-1,"Tube Assembly,Manifold(Outdoor)",0.03462,29.0,e_item_weld에 부모전무,
AJR73882540-1-2,RAC30599301-1,SUB ASSY,0.0008,1.0,e_item_weld에 부모전무,
AJR73943301,RAC30599327,AJR73943301,0.0008,1.0,e_item_weld에 부모전무,
AJR73943301,RAC30599301-1,AJR73943301,0.003,4.0,e_item_weld에 부모전무,
AJR73943302,RAC30599301-1,AJR73943302,0.00375,5.0,e_item_weld에 부모전무,
AJR73943302,RAC30599327,AJR73943302,0.00095,1.0,e_item_weld에 부모전무,
AJR73944514,RAC30599301-1,"Tube Assembly,Reverse",0.0083,7.0,e_item_weld에 부모전무,
AJR73944514-7-1,RAC30599301-1,AJR73944514-7-1,0.0042,3.0,e_item_weld에 부모전무,
AJR73944901,RAC30599327,SUB ASSY,0.0012,1.0,e_item_weld에 부모전무,
AJR73944901,RAC30599301-1,SUB ASSY,0.0015,2.0,e_item_weld에 부모전무,
AJR73950304,RAC30599301-1,AJR73950304,0.0065,8.0,e_item_weld에 부모전무,
AJR73950304-12-1,RAC30599301-1,SUB ASSY,0.0008,1.0,e_item_weld에 부모전무,
AJR73950306,RAC30599327,SUB ASSY,0.0033,4.0,e_item_weld에 부모전무,
AJR73950306,RAC30599301-1,SUB ASSY,0.0024,2.0,e_item_weld에 부모전무,
AJR73950306-12-1,RAC30599301-1,SUB ASSY,0.0008,1.0,e_item_weld에 부모전무,
AJR73950306-14-1,RAC30599301-1,SUB ASSY,0.0008,1.0,e_item_weld에 부모전무,
AJR73964602-S3-1,RAC30599301-1,사내 SUB,0.0012,1.0,e_item_weld에 부모전무,
AJR73964602-S3-2,RAC30599301-1,사내 SUB,0.0051,2.0,e_item_weld에 부모전무,
AJR73964602-S3-3,RAC30599301-1,사내 SUB,0.0024,2.0,e_item_weld에 부모전무,
AJR73964602-S3-4,RAC30599301-1,사내 SUB,0.0048,3.0,e_item_weld에 부모전무,
AJR73964602-S3-5,RAC30599301-1,사내 SUB,0.0081,7.0,e_item_weld에 부모전무,
AJR73964607-S3-1,RAC30599301-1,사내 SUB,0.0012,1.0,e_item_weld에 부모전무,
AJR73964607-S3-4,RAC30599301-1,사내 SUB,0.0048,3.0,e_item_weld에 부모전무,
AJR73964607-S3-5,RAC30599301-1,사내 SUB,0.0057,5.0,e_item_weld에 부모전무,
AJR73968605,RAC30599301-1,AJR73968605,0.0015,2.0,e_item_weld에 부모전무,
AJR73972012,RAC30599301-1,"Tube Assembly,Connector",0.0008,1.0,e_item_weld에 부모전무,
AJR73973702,RAC30599301-1,AJR73973702,0.00204,2.0,e_item_weld에 부모전무,
AJR73980318-S1-3,RAC30599301-1,사내 SUB,0.0096,3.0,e_item_weld에 부모전무,
AJR73984401,RAC30599327,SUB ASSY,0.004,6.0,e_item_weld에 부모전무,
AJR73984401,RAC30599301-1,SUB ASSY,0.0008,1.0,e_item_weld에 부모전무,
AJR73988107-9-1,RAC30599301-1,AJR73988107-9-1,0.00407,5.0,e_item_weld에 부모전무,
AJR73988107-S3-1,RAC30599301-1,사내 SUB,0.0012,1.0,e_item_weld에 부모전무,
AJR73988107-S3-2,RAC30599301-1,사내 SUB,0.0057,4.0,e_item_weld에 부모전무,
AJR73988107-S3-3,RAC30599301-1,사내 SUB,0.0027,2.0,e_item_weld에 부모전무,
AJR74149202,RAC30599301-1,"Tube Assembly,Expansion",0.0171,9.0,e_item_weld에 부모전무,
AJR74149202-S1-3,RAC30599301-1,사내 SUB,0.0072,4.0,e_item_weld에 부모전무,
AJR74149202-S1-4,RAC30599301-1,사내 SUB,0.0132,8.0,e_item_weld에 부모전무,
AJR74149202-S1-5,RAC30599301-1,사내 SUB,0.00345,2.0,e_item_weld에 부모전무,
AJR74149202-S1-6,RAC30599301-1,사내 SUB,0.00405,2.0,e_item_weld에 부모전무,
AJR74162603,RAC30599301-1,Tube Assembly,0.0112,9.0,e_item_weld에 부모전무,
AJR74169203,RAC30599301-1,"Tube Assembly,Condenser(Out)",0.00477,6.0,e_item_weld에 부모전무,
AJR74182305,RAC30599301-1,"Tube Assembly,Expansion",0.00615,3.0,e_item_weld에 부모전무,
AJR74182305-S1-1,RAC30599301-1,사내 SUB,0.00675,3.0,e_item_weld에 부모전무,
AJR74182305-S1-3,RAC30599301-1,사내 SUB,0.0036,2.0,e_item_weld에 부모전무,
AJR74182305-S1-4,RAC30599301-1,사내 SUB,0.009,4.0,e_item_weld에 부모전무,
AJR74182305-S1-5,RAC30599301-1,사내 SUB,0.0018,1.0,e_item_weld에 부모전무,
AJR74182305-S1-6,RAC30599301-1,사내 SUB,0.02055,10.0,e_item_weld에 부모전무,
AJR74182602-S1-1,RAC30599327,사내 SUB,0.00165,1.0,e_item_weld에 부모전무,
AJR74182602-S1-2,RAC30599301-1,사내 SUB,0.0213,2.0,e_item_weld에 부모전무,
AJR74282301,RAC30599301-1,AJR74282301,0.0016,2.0,e_item_weld에 부모전무,
AJR74291201,RAC30599301-1,AJR74291201,0.0041,5.0,e_item_weld에 부모전무,
AJR74302405-S6-1,RAC30599327,사내 SUB,0.0012,1.0,e_item_weld에 부모전무,
AJR74365101-S6-2,RAC30599327,사내 SUB,0.0015,1.0,e_item_weld에 부모전무,
AJR74424615,RAC30599301-1,SUB ASSY,0.00725,6.0,e_item_weld에 부모전무,
AJR74465901-S6-1,RAC30599327,사내 SUB,0.0012,1.0,e_item_weld에 부모전무,
AJR74465901-은납,RAC30599327,은납 SUB,0.0012,1.0,e_item_weld에 부모전무,
AJR74465903-S6-1,RAC30599327,사내 SUB,0.0024,3.0,e_item_weld에 부모전무,
AJR74467103,RAC30599301-1,"Tube Assembly,Condenser(In)",0.0069,6.0,e_item_weld에 부모전무,
AJR74523003,RAC30599301-1,AJR74523003,0.007,7.0,e_item_weld에 부모전무,
AJR74524701,RAC30599301-1,Tube Assembly,0.00439,4.0,e_item_weld에 부모전무,
AJR74524704,RAC30599301-1,Tube Assembly,0.005,6.0,e_item_weld에 부모전무,
AJR74803001,RAC30599327,"Tube Assembly,Capillary",0.0008,1.0,e_item_weld에 부모전무,
AJR74803517-R-1,RAC30599301-1,사내 SUB,0.0024,2.0,e_item_weld에 부모전무,
AJR74803517-R-2,RAC30599301-1,사내 SUB,0.0024,2.0,e_item_weld에 부모전무,
AJR74823002-S6-1,RAC30599327,사내 SUB,0.0012,1.0,e_item_weld에 부모전무,
AJR74843602,RAC30599301-1,"Tube Assembly,Expansion",0.004,4.0,e_item_weld에 부모전무,
AJR74844309-은납,RAC30599327,AJR74844309-SUB,0.0018,1.0,e_item_weld에 부모전무,
AJR74844310-은납,RAC30599327,AJR74844310-SUB,0.0036,1.0,e_item_weld에 부모전무,
AJR74942531-R-1,RAC30599327,사내 고압 원대 SUB,0.0012,1.0,e_item_weld에 부모전무,
AJR74942531-R-2,RAC30599327,사내 저압 원대 SUB,0.0015,1.0,e_item_weld에 부모전무,
AJR74942548-R-1,RAC30599327,고압 원대 사내 SUB,0.0012,1.0,e_item_weld에 부모전무,
AJR74942548-R-2,RAC30599327,저압 원대 사내 SUB,0.0015,1.0,e_item_weld에 부모전무,
AJR74942615,RAC30599327,고압부 SUB ASSY,0.0008,1.0,e_item_weld에 부모전무,
AJR74942615,RAC30599301-1,고압부 SUB ASSY,0.0008,1.0,e_item_weld에 부모전무,
AJR74942615-4-1,RAC30599327,미래 SUB,0.00645,6.0,e_item_weld에 부모전무,
AJR74942615-R-1,RAC30599327,AJR74942615-R-1,0.0093,6.0,e_item_weld에 부모전무,
AJR74942623-R-1,RAC30599327,고압부  SUB,0.0042,4.0,e_item_weld에 부모전무,
AJR74942709,RAC30599301-1,"Tube Assy, Evaporator(Out)",0.001,1.0,e_item_weld에 부모전무,
AJR74942709-3-1,RAC30599301-1,SUB ASSY,0.00477,6.0,e_item_weld에 부모전무,
AJR74942715,RAC30599327,AJR74942715,0.001,1.0,e_item_weld에 부모전무,
AJR74942715,RAC30599301-1,AJR74942715,0.00539,1.0,e_item_weld에 부모전무,
AJR74942715-3-1,RAC30599301-1,AJR74942715-3-1,0.00453,6.0,e_item_weld에 부모전무,
AJR74982401,RAC30599301-1,Tube Assembly,0.002,1.0,e_item_weld에 부모전무,
AJR74982402,RAC30599301-1,Tube Assembly,0.002,1.0,e_item_weld에 부모전무,
AJR74984305-S3-1,RAC30599301-1,사내 SUB,0.02115,11.0,e_item_weld에 부모전무,
AJR75062907-13-1,RAC30599327,엠케이 SUB,0.0078,7.0,e_item_weld에 부모전무,
AJR75062907-13-1,RAC30599301-1,엠케이 SUB,0.00855,8.0,e_item_weld에 부모전무,
AJR75103201-4-1,RAC30599301-1,SUB ASSY,0.00246,3.0,e_item_weld에 부모전무,
AJR75103201-4-2,RAC30599301-1,SUB ASSY,0.0016,2.0,e_item_weld에 부모전무,
AJR75103202,RAC30599301-1,SUB ASSY,0.0089,11.0,e_item_weld에 부모전무,
AJR75103202-4-1,RAC30599301-1,SUB ASSY,0.00246,3.0,e_item_weld에 부모전무,
AJR75104017,RAC30599301-1,"Tube Assembly, Expansion",0.0014,2.0,e_item_weld에 부모전무,
AJR75104017-1-1,RAC30599301-1,SUB ASSY,0.0024,3.0,e_item_weld에 부모전무,
AJR75142602-S6-2,RAC30599327,사내 SUB,0.003,2.0,e_item_weld에 부모전무,
AJR75163204,RAC30599327,"Tube Assembly,Manifold(Indoor)",0.001,1.0,e_item_weld에 부모전무,
AJR75163204,RAC30599301-1,"Tube Assembly,Manifold(Indoor)",0.00477,6.0,e_item_weld에 부모전무,
AJR75183001,RAC30599327,AJR75183001,0.00125,1.0,e_item_weld에 부모전무,
AJR75222301,RAC30599327,"Tube Assembly,Capillary",0.00501,7.0,e_item_weld에 부모전무,
AJR75242801-R-1,RAC30599327,사내 SUB,0.0012,1.0,e_item_weld에 부모전무,
AJR75242807,RAC30599301-1,"Tube Assembly, Evaporator",0.0008,1.0,e_item_weld에 부모전무,
AJR75242807,RAC30599327,"Tube Assembly, Evaporator",0.0008,1.0,e_item_weld에 부모전무,
AJR75242811,RAC30599327,"Tube Assembly, Evaporator(In)",0.0011,1.0,e_item_weld에 부모전무,
AJR75242811,RAC30599301-1,"Tube Assembly, Evaporator(In)",0.0011,1.0,e_item_weld에 부모전무,
AJR75243001,RAC30599327,AJR75243001,0.0012,1.0,e_item_weld에 부모전무,
AJR75243001,RAC30599301-1,AJR75243001,0.0036,4.0,e_item_weld에 부모전무,
AJR75243008,RAC30599327,"Tube Assembly, Evaporator",0.0008,1.0,e_item_weld에 부모전무,
AJR75243008,RAC30599301-1,"Tube Assembly, Evaporator",0.0008,4.0,e_item_weld에 부모전무,
AJR75243013,RAC30599327,"Tube Assembly, Evaporator(Out)",0.0012,1.0,e_item_weld에 부모전무,
AJR75243013,RAC30599301-1,"Tube Assembly, Evaporator(Out)",0.0012,1.0,e_item_weld에 부모전무,
AJR75243105-R-2,RAC30599327,사내 SUB,0.0012,1.0,e_item_weld에 부모전무,
AJR75244301,RAC30599301-1,"Tube Assembly,Suction(Outdoor)",0.00248,3.0,e_item_weld에 부모전무,
AJR75462809-S3-2,RAC30599301-1,사내 SUB,0.0051,2.0,e_item_weld에 부모전무,
AJR75462809-S3-4,RAC30599301-1,사내 SUB,0.0048,3.0,e_item_weld에 부모전무,
AJR75463110,RAC30599301-1,"Tube Assembly,Expansion",0.0196,8.0,e_item_weld에 부모전무,
AJR75482701,RAC30599327,"Tube Assembly,Distributor",0.001,1.0,e_item_weld에 부모전무,
AJR75482701,RAC30599301-1,"Tube Assembly,Distributor",0.0008,1.0,e_item_weld에 부모전무,
AJR75482701-2-1,RAC30599327,소신 SUB,0.0067,10.0,e_item_weld에 부모전무,
AJR75482701-2-1,RAC30599301-1,소신 SUB,0.0105,13.0,e_item_weld에 부모전무,
AJR75482702,RAC30599327,"Tube Assembly,Distributor",0.001,1.0,e_item_weld에 부모전무,
AJR75482702,RAC30599301-1,"Tube Assembly,Distributor",0.0008,1.0,e_item_weld에 부모전무,
AJR75482702-2-1,RAC30599327,AJR75482702-2-1,0.0067,10.0,e_item_weld에 부모전무,
AJR75482702-2-1,RAC30599301-1,AJR75482702-2-1,0.0105,14.0,e_item_weld에 부모전무,
AJR75483401,RAC30599301-1,"Tube Assembly,Expansion",0.0144,20.0,e_item_weld에 부모전무,
AJR75483401-1-1,RAC30599301-1,중앙 SUB,0.002,2.0,e_item_weld에 부모전무,
AJR75483603,RAC30599301-1,"Tube Assembly,Expansion",0.0033,4.0,e_item_weld에 부모전무,
AJR75483603-3-1,RAC30599301-1,SUB용접,0.00249,3.0,e_item_weld에 부모전무,
AJR75484604,RAC30599301-1,"Tube Assembly,Solenoide",0.006,7.0,e_item_weld에 부모전무,
AJR75503601,RAC30599301-1,"Tube Assembly, Expansion",0.00204,2.0,e_item_weld에 부모전무,
AJR75503602,RAC30599301-1,"Tube Assembly, Expansion",0.00102,2.0,e_item_weld에 부모전무,
AJR75503702,RAC30599301-1,AJR75503702,0.002,2.0,e_item_weld에 부모전무,
AJR75522802,RAC30599301-1,"Tube Assembly,Suction",0.00476,6.0,e_item_weld에 부모전무,
AJR75523201,RAC30599327,AJR75523201,0.001,1.0,e_item_weld에 부모전무,
AJR75523201,RAC30599301-1,AJR75523201,0.0015,1.0,e_item_weld에 부모전무,
AJR75523501,RAC30599327,AJR75523501,0.0012,1.0,e_item_weld에 부모전무,
AJR75523502,RAC30599327,AJR75523502,0.0018,1.0,e_item_weld에 부모전무,
AJR75544203-S1-4,RAC30599301-1,사내 SUB,0.0018,1.0,e_item_weld에 부모전무,
AJR75544502,RAC30599301-1,AJR75544502,0.00248,2.0,e_item_weld에 부모전무,
AJR75544503,RAC30599301-1,AJR75544503,0.00248,2.0,e_item_weld에 부모전무,
AJR75544602,RAC30599301-1,AJR75544602,0.00332,4.0,e_item_weld에 부모전무,
AJR75563602,RAC30599301-1,"Tube Assembly, Expansion",0.00204,2.0,e_item_weld에 부모전무,
AJR75604102,RAC30599327,AJR75604102,0.001,1.0,e_item_weld에 부모전무,
AJR75604801,RAC30599301-1,Tube Assembly,0.00294,7.0,e_item_weld에 부모전무,
AJR75604804,RAC30599301-1,Tube Assembly,0.00728,7.0,e_item_weld에 부모전무,
AJR75605801,RAC30599301-1,AJR75605801,0.003,2.0,e_item_weld에 부모전무,
AJR75605801-1-1,RAC30599301-1,중앙 SUB,0.0008,1.0,e_item_weld에 부모전무,
AJR75605801-1-2,RAC30599301-1,중앙 SUB,0.0008,1.0,e_item_weld에 부모전무,
AJR75623501-S1-1,RAC30599301-1,사내 SUB,0.0033,2.0,e_item_weld에 부모전무,
AJR75623501-S1-2,RAC30599301-1,사내 SUB,0.0012,2.0,e_item_weld에 부모전무,
AJR75645606,RAC30599301-1,"Tube Assembly,Condenser(Out)",0.003,4.0,e_item_weld에 부모전무,
AJR75645801,RAC30599301-1,"Tube Assembly,Condenser(Out)",0.00635,8.0,e_item_weld에 부모전무,
AJR75662317,RAC30599301-1,"Tube Assembly,Discharge(Outdoor)",0.0008,1.0,e_item_weld에 부모전무,
AJR75662344,RAC30599301-1,"Tube Assembly,Discharge(Outdoor)",0.0012,14.0,e_item_weld에 부모전무,
AJR75662804,RAC30599327,"Tube Assembly, Condenser",0.00505,4.0,e_item_weld에 부모전무,
AJR75662804,RAC30599301-1,"Tube Assembly, Condenser",0.0059,8.0,e_item_weld에 부모전무,
AJR75683501,RAC30599301-1,AJR75683501,0.00415,5.0,e_item_weld에 부모전무,
AJR75683601,RAC30599301-1,AJR75683601,0.00204,2.0,e_item_weld에 부모전무,
AJR75687907,RAC30599327,Tube Assembly,0.0075,2.0,e_item_weld에 부모전무,
AJR75709902,RAC30599301-1,"Tube Assembly, Expansion",0.0017,2.0,e_item_weld에 부모전무,
AJR75710506,RAC30599301-1,Tube Assembly,0.00248,2.0,e_item_weld에 부모전무,
AJR75711503,RAC30599301-1,"Tube Assembly,Reverse",0.00834,9.0,e_item_weld에 부모전무,
AJR75711504,RAC30599301-1,"Tube Assembly,Reverse",0.00834,9.0,e_item_weld에 부모전무,
AJR75743204,RAC30599301-1,"Tube Assembly,Condenser(In)",0.00375,5.0,e_item_weld에 부모전무,
AJR75743301,RAC30599301-1,"Tube Assembly,Condenser(Out)",0.0038,5.0,e_item_weld에 부모전무,
AJR75743302,RAC30599301-1,"Tube Assembly,Condenser(Out)",0.0017,2.0,e_item_weld에 부모전무,
AJR75743302-1-1,RAC30599301-1,중앙 SUB,0.0008,1.0,e_item_weld에 부모전무,
AJR75743302-1-2,RAC30599301-1,중앙 SUB,0.003,4.0,e_item_weld에 부모전무,
AJR75744115,RAC30599301-1,대원 SUB,0.0025,3.0,e_item_weld에 부모전무,
AJR75744116,RAC30599301-1,"Tube Assembly, Suciton",0.0028,3.0,e_item_weld에 부모전무,
AJR75744116-4-1,RAC30599301-1,미래 SUB,0.0024,3.0,e_item_weld에 부모전무,
AJR75744116-9-1,RAC30599301-1,SUB ASSY,0.0024,3.0,e_item_weld에 부모전무,
AJR75744119,RAC30599301-1,AJR75744119,0.0045,4.0,e_item_weld에 부모전무,
AJR75763103-1-1,RAC30599301-1,단가재협의필요함- c 센서삭제,0.0008,1.0,e_item_weld에 부모전무,
AJR75763201-3-1,RAC30599301-1,SUB ASSY,0.0017,2.0,e_item_weld에 부모전무,
AJR75763301,RAC30599301-1,"Tube Assembly, Capillary",0.00134,2.0,e_item_weld에 부모전무,
AJR75763301-1-1,RAC30599301-1,SUB ASSY,0.0008,1.0,e_item_weld에 부모전무,
AJR75784701,RAC30599301-1,"Tube Assembly,Reverse",0.00024,7.0,e_item_weld에 부모전무,
AJR75786302-S6-2,RAC30599327,사내 SUB,0.0012,1.0,e_item_weld에 부모전무,
AJR75802501-S3-1,RAC30599301-1,사내 SUB,0.0024,2.0,e_item_weld에 부모전무,
AJR75918509-R1-1,RAC30599301-1,사내 SUB,0.0014,3.0,e_item_weld에 부모전무,
AJR75923201,RAC30599301-1,"Tube Assembly,Suction",0.00605,5.0,e_item_weld에 부모전무,
AJR75942501-R-1,RAC30599327,고압부 사내 SUB,0.0042,4.0,e_item_weld에 부모전무,
AJR75942501-R-2,RAC30599327,고압부 원대 사내 SUB,0.0012,1.0,e_item_weld에 부모전무,
AJR75942501-R-3,RAC30599327,저압부 원대 사내 SUB,0.0015,1.0,e_item_weld에 부모전무,
AJR75942502-R-1,RAC30599327,고압 황동 사내 SUB,0.00525,5.0,e_item_weld에 부모전무,
AJR75942502-R-2,RAC30599327,고압 원대 사내 SUB,0.0012,1.0,e_item_weld에 부모전무,
