parent_item,weld_item,item_name,use_qty,routing_st,reason,best_candidate
AJR73663001-9-1,RAC30599301-1,SUB ASSY,0.00725,5.0,c_수기override(exact쌍 값불일치),"AJR73663001-9-1/RAC30599301-1 unit=0.00098 diam=12.7 (rule=exact(self), exp=0.00735)"
AJR73663002-4-1,RAC30599301-1,AJR73663002-4-1,0.01123,5.0,c_수기override(exact쌍 값불일치),"AJR73663002-4-1/RAC30599301-1 unit=0.00096 diam=12.7 (rule=exact(self), exp=0.0072)"
AJR73664801,RAC30599327,ADM75404602 내재화 SUB ASSY,0.0141,3.0,c_수기override(exact쌍 값불일치),"AJR73664801/RAC30599327 unit=0.0047 diam=28.0 (rule=exact(self), exp=0.02115)"
AJR73724104,RAC30599327,판형 SUB,0.0071,2.0,c_수기override(exact쌍 값불일치),"AJR73724104/RAC30599327 unit=0.0047 diam=28.0 (rule=exact(self), exp=0.0141)"
AJR73822509,RAC30599301-1,Tube Assembly,0.0034,3.0,c_수기override(exact쌍 값불일치),"AJR73822509/RAC30599301-1 unit=0.001867 diam=19.05 (rule=exact(self), exp=0.0084)"
AJR73822512,RAC30599301-1,Tube Assembly,0.01,3.0,c_수기override(exact쌍 값불일치),"AJR73822512/RAC30599301-1 unit=0.001733 diam=19.05 (rule=exact(self), exp=0.0078)"
AJR73822520,RAC30599301-1,Tube Assembly,0.01,3.0,c_수기override(exact쌍 값불일치),"AJR73822520/RAC30599301-1 unit=0.001733 diam=19.05 (rule=exact(self), exp=0.0078)"
AJR73822522,RAC30599301-1,Tube Assembly,0.02,3.0,c_수기override(exact쌍 값불일치),"AJR73822522/RAC30599301-1 unit=0.001733 diam=19.05 (rule=exact(self), exp=0.0078)"
AJR73822529,RAC30599301-1,Tube Assembly,0.02,3.0,c_수기override(exact쌍 값불일치),"AJR73822529/RAC30599301-1 unit=0.001733 diam=19.05 (rule=exact(self), exp=0.0078)"
AJR73822530,RAC30599301-1,Tube Assembly,0.00496,3.0,c_수기override(exact쌍 값불일치),"AJR73822530/RAC30599301-1 unit=0.001733 diam=19.05 (rule=exact(self), exp=0.0078)"
AJR73822536,RAC30599301-1,Tube Assembly,0.03335,3.0,c_수기override(exact쌍 값불일치),"AJR73822536/RAC30599301-1 unit=0.001733 diam=19.05 (rule=exact(self), exp=0.0078)"
AJR73882504-S5-1,RAC30599301-1,사내 SUB,0.03293,24.0,c_수기override(exact쌍 값불일치),"AJR73882504-S5-1/RAC30599301-1 unit=0.000917 diam=6.35 (rule=exact(self), exp=0.033)"
